,what,ended,up,being,used,for,the,streetcars,in,the,place,of,tesla,'s,system,?
they,0.4431931674480438,0.2637524902820587,0.32603394985198975,0.41845834255218506,0.37411078810691833,0.3466525673866272,0.49925389885902405,0.30516546964645386,0.4330179989337921,0.49925389885902405,0.3419739007949829,0.3426007330417633,0.1470530778169632,0.03738465905189514,0.24734781682491302,0.2753053903579712
ended,0.1532270610332489,1.0,0.2923337519168854,0.19099202752113342,0.20499995350837708,0.25393593311309814,0.3356485068798065,0.1618696004152298,0.3353011906147003,0.3356485068798065,0.22820550203323364,0.27636510133743286,0.10069108009338379,-0.00953457411378622,0.14897899329662323,0.15429291129112244
up,0.28591108322143555,0.2923337519168854,1.0000001192092896,0.2828742265701294,0.2526317238807678,0.342966228723526,0.38423117995262146,0.1851634979248047,0.3120773434638977,0.38423117995262146,0.2596170902252197,0.32945773005485535,0.17339079082012177,-0.08862818777561188,0.1728370487689972,0.1819818764925003
using,0.27984681725502014,0.17035071551799774,0.26740503311157227,0.37074416875839233,0.6102309226989746,0.3806014060974121,0.28364112973213196,0.1948356330394745,0.2717311978340149,0.28364112973213196,0.1476837396621704,0.24298200011253357,0.24952489137649536,-0.029558077454566956,0.31511810421943665,0.2804589569568634
a,0.3320399522781372,0.23481619358062744,0.32523053884506226,0.3727131485939026,0.3864384889602661,0.44038116931915283,0.5829201340675354,0.2485595941543579,0.539380669593811,0.5829201340675354,0.3079278767108917,0.5052502155303955,0.2211925983428955,0.04866964742541313,0.2589043080806732,0.23916715383529663
dc,0.1052524521946907,0.12905347347259521,0.13836978375911713,0.14729392528533936,0.1489696204662323,0.110370934009552,0.2332114279270172,0.27904361486434937,0.19641384482383728,0.2332114279270172,0.17612282931804657,0.16339635848999023,0.2117893099784851,-0.018424278125166893,0.17821542918682098,0.17813897132873535
traction,0.22468623518943787,0.09708277881145477,0.19926908612251282,0.2539505362510681,0.2594611644744873,0.19265216588974,0.2531668245792389,0.3919811546802521,0.18224193155765533,0.2531668245792389,0.18130090832710266,0.20298659801483154,0.29506635665893555,0.009629151783883572,0.3070128858089447,0.14741027355194092
motor,0.18952611088752747,0.07630212604999542,0.1569746434688568,0.18184277415275574,0.18947017192840576,0.19755128026008606,0.26024484634399414,0.3791770339012146,0.21732762455940247,0.26024484634399414,0.15619896352291107,0.20839329063892365,0.3617369830608368,0.061700910329818726,0.24123358726501465,0.0637441948056221
instead,0.4104403555393219,0.20757779479026794,0.36806681752204895,0.389177143573761,0.4228616952896118,0.4413341283798218,0.3940567970275879,0.2180551439523697,0.28091272711753845,0.3940567970275879,0.18223416805267334,0.31208282709121704,0.16731514036655426,0.025141391903162003,0.27583619952201843,0.2942638397216797
.,0.3567904531955719,0.23468057811260223,0.351434588432312,0.35574623942375183,0.33111312985420227,0.4726039469242096,0.5934505462646484,0.28604841232299805,0.5591574311256409,0.5934505462646484,0.2844318151473999,0.5352458953857422,0.17949827015399933,-0.003708066651597619,0.2277725487947464,0.4130953550338745
