,which,cidippid,is,used,as,a,description,on,ctenophores,in,most,textbooks,?
at,0.3286694884300232,0.24087178707122803,0.25906258821487427,0.22295412421226501,0.28092536330223083,0.3095070421695709,0.17779448628425598,0.4806317389011383,0.11860837042331696,0.4374977946281433,0.22451047599315643,0.22720681130886078,0.21978627145290375
least,0.38271406292915344,0.2680358290672302,0.25724145770072937,0.21684689819812775,0.2607470154762268,0.3442045748233795,0.25807589292526245,0.22816431522369385,0.2231322079896927,0.3232700824737549,0.46400970220565796,0.20907627046108246,0.28866854310035706
two,0.4674137234687805,0.2712593078613281,0.2315155267715454,0.226744145154953,0.3029302954673767,0.3289857804775238,0.17318342626094818,0.3205535411834717,0.21687746047973633,0.36463531851768494,0.3709908723831177,0.2007913887500763,0.19645625352859497
textbooks,0.26930636167526245,0.2650209069252014,0.16021937131881714,0.27965235710144043,0.22980190813541412,0.15908174216747284,0.32181698083877563,0.25447219610214233,0.3907366096973419,0.20231705904006958,0.24542002379894257,0.9999998807907104,0.22396863996982574
base,0.2855173349380493,0.20632073283195496,0.28868359327316284,0.23934544622898102,0.20152351260185242,0.27513372898101807,0.09004466235637665,0.22809679806232452,0.21566124260425568,0.2292785793542862,0.2086545079946518,0.08120667189359665,0.10518061369657516
their,0.4582767188549042,0.3153092563152313,0.2101074606180191,0.3259406089782715,0.29218852519989014,0.29698723554611206,0.1353091597557068,0.3598666191101074,0.34535476565361023,0.34976133704185486,0.3699820935726166,0.18055036664009094,0.1898253709077835
descriptions,0.34372302889823914,0.29811590909957886,0.2211870402097702,0.352068692445755,0.2609069347381592,0.31342771649360657,0.8912380933761597,0.2515506446361542,0.39512211084365845,0.24843370914459229,0.2669218182563782,0.3990202248096466,0.18662871420383453
of,0.5011631846427917,0.3070581555366516,0.4854315221309662,0.3075267970561981,0.3886612355709076,0.5052502155303955,0.3067724406719208,0.3966929316520691,0.2626190483570099,0.5696388483047485,0.4178851246833801,0.19161438941955566,0.1826142966747284
ctenophores,0.37328192591667175,0.5857511162757874,0.22332732379436493,0.30168187618255615,0.23381571471691132,0.25153061747550964,0.341802179813385,0.1922261118888855,1.0,0.1814151555299759,0.253574401140213,0.3907366096973419,0.2054179310798645
on,0.4245251417160034,0.2318238615989685,0.3635730445384979,0.24785758554935455,0.36047765612602234,0.3848365545272827,0.24874642491340637,0.9999999403953552,0.1922261118888855,0.46853652596473694,0.28303956985473633,0.25447219610214233,0.2714994251728058
the,0.6521818041801453,0.3497256338596344,0.5823672413825989,0.3718377649784088,0.48381632566452026,0.5829201340675354,0.27126896381378174,0.5107308030128479,0.2543465793132782,0.6662389636039734,0.47635307908058167,0.201830193400383,0.22068053483963013
cydippid,0.38067352771759033,0.828471839427948,0.22633759677410126,0.2731929123401642,0.3082635700702667,0.30327486991882324,0.30294665694236755,0.19014181196689606,0.5625914335250854,0.23286697268486023,0.2940138280391693,0.24718104302883148,0.2854539453983307
pleurobrachia,0.37621375918388367,0.582490086555481,0.25550252199172974,0.229217529296875,0.2068638950586319,0.2922356128692627,0.18269410729408264,0.21164819598197937,0.590568482875824,0.25890040397644043,0.24653050303459167,0.19341979920864105,0.2196917086839676
.,0.45942068099975586,0.3776327669620514,0.4569662809371948,0.33111312985420227,0.515582263469696,0.50484299659729,0.2588009834289551,0.49257001280784607,0.22269779443740845,0.5591574311256409,0.35404038429260254,0.2250293791294098,0.4130953550338745
