,if,polynomial,time,can,be,utilized,within,an,np-complete,problem,",",what,does,the,imply,p,is,equal,to,?
if,1.0,0.4140531122684479,0.36530032753944397,0.5903681516647339,0.5628611445426941,0.22553651034832,0.3103365898132324,0.26347705721855164,0.31617626547813416,0.43518564105033875,0.257730096578598,0.5277165174484253,0.4740144908428192,0.33724796772003174,0.36918601393699646,0.17701710760593414,0.30927813053131104,0.385101854801178,0.4559597074985504,0.4441644251346588
a,0.41272827982902527,0.2757834196090698,0.3292340338230133,0.3915780484676361,0.39883795380592346,0.23463666439056396,0.3858051896095276,0.44552403688430786,0.28990697860717773,0.2605542540550232,0.427140474319458,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.22465002536773682,0.15866722166538239,0.658733606338501,0.22565314173698425,0.45503583550453186,0.23916715383529663
problem,0.43518564105033875,0.4493931233882904,0.3373833894729614,0.36370179057121277,0.347878634929657,0.2306368052959442,0.12321300059556961,0.21292734146118164,0.2782294750213623,1.0,0.23938199877738953,0.42183366417884827,0.27746546268463135,0.24928659200668335,0.35518524050712585,0.1706637293100357,0.23238427937030792,0.27135205268859863,0.2502208352088928,0.3762950301170349
x,0.2319261133670807,0.3630049526691437,0.1682448536157608,0.22120405733585358,0.22865693271160126,0.12550045549869537,0.09167823195457458,0.20501652359962463,0.16365736722946167,0.17171038687229156,0.2696380019187927,0.13783220946788788,0.15616215765476227,0.20980626344680786,0.13463589549064636,0.19367241859436035,0.1738782823085785,0.24359041452407837,0.21431612968444824,0.23304535448551178
is,0.30927813053131104,0.2560946047306061,0.25187405943870544,0.44256699085235596,0.4819129705429077,0.15972350537776947,0.30135563015937805,0.4654068350791931,0.22069956362247467,0.23238427937030792,0.4691906273365021,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.27931728959083557,0.11757151037454605,1.0,0.20287640392780304,0.42745086550712585,0.22961433231830597
in,0.2589588761329651,0.1631830483675003,0.3431483507156372,0.26527702808380127,0.3481820821762085,0.21513785421848297,0.40576374530792236,0.2605783939361572,0.22477759420871735,0.16969570517539978,0.5201468467712402,0.30808621644973755,0.214483380317688,0.6662389636039734,0.11365438252687454,0.10853569954633713,0.5394441485404968,0.12870801985263824,0.45010748505592346,0.20430970191955566
c,0.1479276418685913,0.22251537442207336,0.10889210551977158,0.17217868566513062,0.1635768711566925,0.1298602968454361,0.0694631040096283,0.17012786865234375,0.14167575538158417,0.1311071813106537,0.2580876350402832,0.13697408139705658,0.12143991142511368,0.17891426384449005,0.052734632045030594,0.23143596947193146,0.21502047777175903,0.15664075314998627,0.1638970822095871,0.14264722168445587
and,0.3498523235321045,0.18511588871479034,0.3025408685207367,0.3675691485404968,0.41766801476478577,0.24055632948875427,0.35049548745155334,0.2838519215583801,0.1983288824558258,0.24328261613845825,0.6633074283599854,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.17614416778087616,0.198231041431427,0.3859752118587494,0.26747193932533264,0.48971283435821533,0.20544172823429108
hard,0.30554935336112976,0.24230439960956573,0.30400705337524414,0.3911363482475281,0.3036598861217499,0.23490473628044128,0.1668631136417389,0.1891300082206726,0.2056291252374649,0.3147989511489868,0.2742401659488678,0.3417404592037201,0.28054189682006836,0.25233224034309387,0.15230029821395874,0.10038067400455475,0.25768035650253296,0.20543330907821655,0.31646713614463806,0.1823338270187378
for,0.3609124422073364,0.21961666643619537,0.3992156386375427,0.35690054297447205,0.3801851272583008,0.2841069996356964,0.3087334632873535,0.3236706852912903,0.2447579801082611,0.2661307752132416,0.4464869201183319,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.23621124029159546,0.13376198709011078,0.43268078565597534,0.24821323156356812,0.4451248347759247,0.264628142118454
