,what,do,the,waal,and,the,nederrijn-lek,discharge,throguh,?
at,0.2838611304759979,0.1511090099811554,0.457212895154953,0.09101667255163193,0.3571503460407257,0.457212895154953,0.22323845326900482,0.15364322066307068,0.2208450436592102,0.21978627145290375
present,0.30940163135528564,0.13416007161140442,0.2829846143722534,0.08822132647037506,0.2790124714374542,0.2829846143722534,0.11884614080190659,0.16630318760871887,0.18556347489356995,0.21759982407093048
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.2183123230934143,0.6633074283599854,0.4933079481124878,0.35593152046203613,0.1608646810054779,0.29540547728538513,0.31091248989105225
the,0.42745697498321533,0.30239659547805786,1.0,0.14903073012828827,0.5171257257461548,1.0,0.22182253003120422,0.2714732885360718,0.39120134711265564,0.22068053483963013
branches,0.1727389693260193,0.23859447240829468,0.3295007646083832,0.16893550753593445,0.2934940755367279,0.3295007646083832,0.17850995063781738,0.19484788179397583,0.27616527676582336,0.12858285009860992
waal,0.18199798464775085,0.14597287774085999,0.14903073012828827,0.9999999403953552,0.2400875836610794,0.14903073012828827,0.5167920589447021,0.23512408137321472,0.15293866395950317,0.11904393881559372
and,0.31309178471565247,0.276123583316803,0.5171257257461548,0.2400875836610794,1.0,0.5171257257461548,0.2754252851009369,0.23449279367923737,0.3059587776660919,0.20544172823429108
nederrijn-lek,0.19727066159248352,0.11911273002624512,0.22182253003120422,0.5167920589447021,0.2754252851009369,0.22182253003120422,0.9999999403953552,0.178369402885437,0.18977896869182587,0.27634695172309875
discharge,0.19507750868797302,0.13635222613811493,0.2714732885360718,0.23512408137321472,0.23449279367923737,0.2714732885360718,0.178369402885437,1.0,0.2749955356121063,0.13592740893363953
to,0.455847829580307,0.38876664638519287,0.535392165184021,0.16721856594085693,0.48971283435821533,0.535392165184021,0.1774376928806305,0.22832615673542023,0.30313044786453247,0.29463258385658264
the,0.42745697498321533,0.30239659547805786,1.0,0.14903073012828827,0.5171257257461548,1.0,0.22182253003120422,0.2714732885360718,0.39120134711265564,0.22068053483963013
north,0.18673177063465118,0.1764671355485916,0.36298373341560364,0.2935261130332947,0.2776443064212799,0.36298373341560364,0.20146745443344116,0.1727205067873001,0.20749768614768982,0.11829731613397598
sea,0.19525039196014404,0.17126357555389404,0.30363768339157104,0.22993098199367523,0.30105236172676086,0.30363768339157104,0.13400579988956451,0.29243379831314087,0.21686184406280518,0.15551945567131042
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.2183123230934143,0.6633074283599854,0.4933079481124878,0.35593152046203613,0.1608646810054779,0.29540547728538513,0.31091248989105225
through,0.23167094588279724,0.24726749956607819,0.44071322679519653,0.12586866319179535,0.3666759729385376,0.44071322679519653,0.12725327908992767,0.3148696720600128,0.4711909294128418,0.16913433372974396
the,0.42745697498321533,0.30239659547805786,1.0,0.14903073012828827,0.5171257257461548,1.0,0.22182253003120422,0.2714732885360718,0.39120134711265564,0.22068053483963013
former,0.13598288595676422,0.11748439818620682,0.2251449078321457,0.10647327452898026,0.2516189515590668,0.2251449078321457,0.3515588939189911,0.112052783370018,0.17587190866470337,0.10570605844259262
meuse,0.1806630939245224,0.14224891364574432,0.28249096870422363,0.45813530683517456,0.19935591518878937,0.28249096870422363,0.4142184555530548,0.28723958134651184,0.24002666771411896,0.21687322854995728
estuary,0.16203543543815613,0.1329498440027237,0.32509705424308777,0.19820083677768707,0.20765699446201324,0.32509705424308777,0.15978661179542542,0.3101331293582916,0.2461445927619934,0.17284251749515533
",",0.3087472915649414,0.3283645510673523,0.4933079481124878,0.2183123230934143,0.6633074283599854,0.4933079481124878,0.35593152046203613,0.1608646810054779,0.29540547728538513,0.31091248989105225
near,0.19414293766021729,0.07364393025636673,0.2879819869995117,0.23960429430007935,0.25046437978744507,0.2879819869995117,0.20585913956165314,0.16253331303596497,0.1965060532093048,0.10734958201646805
rotterdam,0.11243750900030136,0.12753643095493317,0.22153283655643463,0.43896979093551636,0.2400597631931305,0.22153283655643463,0.44155246019363403,0.1847425252199173,0.156346395611763,0.10616995394229889
.,0.3567904531955719,0.3613996207714081,0.5934505462646484,0.1970512419939041,0.588965117931366,0.5934505462646484,0.3305589556694031,0.18806886672973633,0.29146140813827515,0.4130953550338745
