,what,does,piketty,feel,was,the,biggest,factors,in,reducing,inequality,between,1914,to,1945,?
economist,0.16227665543556213,0.12617771327495575,0.20475628972053528,0.1680617481470108,0.2793600261211395,0.1439521312713623,0.15986277163028717,0.22774285078048706,0.15501753985881805,0.1283898949623108,0.2923416793346405,0.13630281388759613,0.10756970942020416,0.15470074117183685,0.12072373181581497,0.15311987698078156
thomas,0.1806955188512802,0.12612436711788177,0.2773318290710449,0.12339667975902557,0.26629963517189026,0.23505409061908722,0.034749969840049744,0.04065520316362381,0.21133768558502197,0.05697222054004669,0.13228389620780945,0.13746844232082367,0.031001366674900055,0.1928519904613495,0.07883498817682266,0.16133050620555878
piketty,0.23601166903972626,0.17660172283649445,1.0,0.21123790740966797,0.3077266216278076,0.27088600397109985,0.13003213703632355,0.14599482715129852,0.2813325822353363,0.15960343182086945,0.17187516391277313,0.1191832572221756,0.14502939581871033,0.26509717106819153,0.12130573391914368,0.200417622923851
challenges,0.2590004801750183,0.2247840017080307,0.1604970246553421,0.18958711624145508,0.17163781821727753,0.30580970644950867,0.17138871550559998,0.3453216850757599,0.2187376767396927,0.22996383905410767,0.37607651948928833,0.1904640793800354,0.027170836925506592,0.32444867491722107,-0.04196283221244812,0.16748188436031342
this,0.5489566326141357,0.4166489243507385,0.2687380015850067,0.41221967339515686,0.3638818562030792,0.6274310946464539,0.2541190981864929,0.32766541838645935,0.45205554366111755,0.3266161382198334,0.285918265581131,0.29040461778640747,0.15656496584415436,0.5759071707725525,-0.20502284169197083,0.3155723512172699
notion,0.3655226528644562,0.24597620964050293,0.16491013765335083,0.2561753988265991,0.19112789630889893,0.23529204726219177,0.07854276895523071,0.32226788997650146,0.1522059291601181,0.2792881727218628,0.43260452151298523,0.1745772808790207,0.13421407341957092,0.2296772450208664,-0.08461001515388489,0.20487375557422638
",",0.3087472915649414,0.28617382049560547,0.36849284172058105,0.23670589923858643,0.45456063747406006,0.4933079481124878,0.28671082854270935,0.20595882833003998,0.5201468467712402,0.16922147572040558,0.21822890639305115,0.27714940905570984,0.1163671687245369,0.44245919585227966,0.05705150589346886,0.31091248989105225
claiming,0.34834736585617065,0.3158922791481018,0.13572117686271667,0.28279733657836914,0.2680627703666687,0.3210364878177643,0.1535426676273346,0.2078794240951538,0.17155934870243073,0.18985463678836823,0.28591829538345337,0.12998005747795105,-0.01140386052429676,0.3378172814846039,-0.08109874278306961,0.2698664963245392
that,0.6297725439071655,0.4764937460422516,0.2496175616979599,0.41628018021583557,0.33670201897621155,0.5473989248275757,0.24041053652763367,0.3409535884857178,0.435920387506485,0.2850290834903717,0.3467824459075928,0.299440860748291,0.12742668390274048,0.5436353087425232,-0.17385223507881165,0.32716336846351624
from,0.2737620174884796,0.1777622550725937,0.17768821120262146,0.14025132358074188,0.31171464920043945,0.40150508284568787,0.1961478441953659,0.21590188145637512,0.4274188280105591,0.1846999078989029,0.06381086260080338,0.3269653618335724,0.05525241419672966,0.4069952368736267,-0.06501483172178268,0.19969791173934937
