,which,article,made,provisions,for,concentrations,or,mergers,and,the,abuse,of,a,dominant,position,by,companies,?
article,0.3171063959598541,0.9999999403953552,0.180598646402359,0.31265199184417725,0.31357312202453613,0.11355304718017578,0.28299111127853394,0.2775726914405823,0.23647621273994446,0.3329811692237854,0.2380969375371933,0.25720444321632385,0.30913418531417847,0.12067847698926926,0.2100917249917984,0.22247393429279327,0.20708860456943512,0.4948462247848511
65,0.01889987103641033,0.20205532014369965,0.07884996384382248,0.18730969727039337,0.03512706980109215,0.07797730714082718,0.09955866634845734,-0.06287936866283417,0.10020112991333008,0.1360354721546173,0.17468330264091492,0.16624827682971954,0.14771664142608643,0.10076108574867249,0.16770991683006287,0.20121151208877563,0.05028676614165306,0.1632431149482727
of,0.5011631846427917,0.25720444321632385,0.33167365193367004,0.2910953760147095,0.4185989499092102,0.2697436809539795,0.3792596757411957,0.20111000537872314,0.5116966962814331,0.733189046382904,0.1888238936662674,1.0,0.5052502155303955,0.3018357455730438,0.23636478185653687,0.3646814823150635,0.22608543932437897,0.1826142966747284
the,0.6521818041801453,0.3329811692237854,0.3885267674922943,0.28538835048675537,0.4739971458911896,0.24966663122177124,0.4174870550632477,0.2736377418041229,0.5171257257461548,1.0,0.18934819102287292,0.733189046382904,0.5829201340675354,0.3743239641189575,0.3183514177799225,0.4408751428127289,0.26917189359664917,0.22068053483963013
agreement,0.24597544968128204,0.26174482703208923,0.2034226804971695,0.3352331519126892,0.20913051068782806,0.1192912608385086,0.13085752725601196,0.30274850130081177,0.22375741600990295,0.2490699142217636,0.2334270179271698,0.21259461343288422,0.203191339969635,0.1751740425825119,0.20122002065181732,0.19332832098007202,0.2539185881614685,0.15830197930335999
banned,0.25998979806900024,0.2946382164955139,0.23505088686943054,0.2912966310977936,0.23324309289455414,0.2425357848405838,0.19592852890491486,0.2318652868270874,0.23775780200958252,0.2399827241897583,0.3607405424118042,0.19701224565505981,0.21297195553779602,0.09043874591588974,0.18163251876831055,0.23739035427570343,0.17936503887176514,0.3147534728050232
cartels,0.2943686544895172,0.18471325933933258,0.1898116171360016,0.37264102697372437,0.2605055868625641,0.3654642701148987,0.2947775721549988,0.29614678025245667,0.324250191450119,0.2566133141517639,0.28363755345344543,0.2859932482242584,0.21126754581928253,0.18493105471134186,0.15789471566677094,0.26827284693717957,0.3986918032169342,0.1410376876592636
and,0.506277859210968,0.23647621273994446,0.34954607486724854,0.291280597448349,0.5064792633056641,0.32814347743988037,0.4713204801082611,0.2048792839050293,1.0,0.5171257257461548,0.19682516157627106,0.5116966962814331,0.3739250600337982,0.3049371540546417,0.22603030502796173,0.4289871156215668,0.2527635991573334,0.20544172823429108
article,0.3171063959598541,0.9999999403953552,0.180598646402359,0.31265199184417725,0.31357312202453613,0.11355304718017578,0.28299111127853394,0.2775726914405823,0.23647621273994446,0.3329811692237854,0.2380969375371933,0.25720444321632385,0.30913418531417847,0.12067847698926926,0.2100917249917984,0.22247393429279327,0.20708860456943512,0.4948462247848511
66,-0.04076303914189339,-0.018929583951830864,0.05101406201720238,-0.06151356175541878,-0.03358364850282669,-0.047894448041915894,0.013962334021925926,-0.03038603998720646,-0.01843772828578949,-0.01815365068614483,-0.11489571630954742,-0.032907720655202866,-0.023009857162833214,-0.00025436378200538456,0.04730517789721489,0.019617311656475067,-0.0032253717072308064,-0.056611161679029465
