,what,do,you,have,to,cross,to,reach,the,chloroplast,in,many,secondary,plastids,?
some,0.4491020441055298,0.4725562036037445,0.39795851707458496,0.6421269774436951,0.4636894166469574,0.14849287271499634,0.4636894166469574,0.2265619933605194,0.4566698372364044,0.2777946889400482,0.4010399878025055,0.7976660132408142,0.2321978360414505,0.43828362226486206,0.2562315762042999
transferred,0.16428381204605103,0.14275336265563965,0.11226972937583923,0.17829863727092743,0.2984115183353424,0.22598114609718323,0.2984115183353424,0.16242168843746185,0.34201255440711975,0.24921798706054688,0.34616342186927795,0.16758127510547638,0.23825983703136444,0.18445654213428497,0.1139405146241188
chloroplast,0.23505516350269318,0.2310386300086975,0.17868493497371674,0.26476383209228516,0.22531428933143616,0.14123165607452393,0.22531428933143616,0.13338066637516022,0.21317854523658752,1.0000001192092896,0.19207799434661865,0.2363777756690979,0.2597424387931824,0.7458702325820923,0.12532055377960205
dna,0.24220526218414307,0.18817812204360962,0.2152118980884552,0.23252472281455994,0.22861447930335999,0.15895715355873108,0.22861447930335999,0.11535217612981796,0.19235704839229584,0.5331895351409912,0.15587100386619568,0.19319185614585876,0.15307439863681793,0.5034422278404236,0.1548636108636856
protein,0.20633074641227722,0.1999005228281021,0.23395581543445587,0.28631678223609924,0.18705467879772186,0.0841934010386467,0.18705467879772186,0.11260490864515305,0.22310464084148407,0.5824171304702759,0.22392553091049194,0.22064612805843353,0.21470122039318085,0.5185256600379944,0.169142946600914
products,0.2088814079761505,0.24249263107776642,0.24871593713760376,0.25600454211235046,0.2591564655303955,0.14154815673828125,0.2591564655303955,0.14621038734912872,0.2547704577445984,0.30174893140792847,0.21192872524261475,0.3371672034263611,0.19640769064426422,0.35279303789138794,0.20429900288581848
get,0.3490515947341919,0.46355509757995605,0.43974775075912476,0.5343971252441406,0.4388369917869568,0.1780012845993042,0.4388369917869568,0.41702982783317566,0.29667025804519653,0.17309294641017914,0.24899829924106598,0.3039306700229645,0.18196500837802887,0.21628068387508392,0.3499825894832611
directed,0.1783117949962616,0.13397130370140076,0.16777655482292175,0.1278725564479828,0.16784803569316864,0.1362677812576294,0.16784803569316864,0.1586037576198578,0.21284286677837372,0.11962377279996872,0.1949853003025055,0.16418223083019257,0.0915515348315239,0.03030790388584137,0.1359327733516693
to,0.455847829580307,0.38876664638519287,0.4194425344467163,0.4544740617275238,1.0,0.21814192831516266,1.0,0.37959611415863037,0.535392165184021,0.22531428933143616,0.45010748505592346,0.40243685245513916,0.27947136759757996,0.28338977694511414,0.29463258385658264
the,0.42745697498321533,0.30239659547805786,0.30037742853164673,0.40389683842658997,0.535392165184021,0.25741100311279297,0.535392165184021,0.31808504462242126,1.0,0.21317854523658752,0.6662389636039734,0.4335206151008606,0.21037471294403076,0.2242976725101471,0.22068053483963013
secretory,0.23444072902202606,0.23327012360095978,0.14562037587165833,0.2838006615638733,0.2777020335197449,0.17467033863067627,0.2777020335197449,0.24301061034202576,0.3428295850753784,0.41074714064598083,0.31494638323783875,0.28962188959121704,0.2670409679412842,0.3946268558502197,0.10768159478902817
pathway,0.24952521920204163,0.2262427806854248,0.18956159055233002,0.27973079681396484,0.3263125419616699,0.26201626658439636,0.3263125419616699,0.2573491334915161,0.2750947177410126,0.4490404427051544,0.2214120626449585,0.2713666558265686,0.2658134698867798,0.39560461044311523,0.14858829975128174
(,0.2411840260028839,0.24216170608997345,0.3087708055973053,0.23072676360607147,0.30882009863853455,0.16738106310367584,0.30882009863853455,0.21382570266723633,0.33289089798927307,0.17505401372909546,0.3087427020072937,0.1455259770154953,0.20586027204990387,0.17513619363307953,0.40561532974243164
though,0.4089210331439972,0.3790329694747925,0.33675631880760193,0.5477935671806335,0.46191829442977905,0.17057737708091736,0.46191829442977905,0.2525361478328705,0.38776206970214844,0.25277602672576904,0.3193182945251465,0.4423123300075531,0.19928978383541107,0.3110952377319336,0.3188856542110443
it,0.45803478360176086,0.337066113948822,0.3833105266094208,0.40974161028862,0.513711154460907,0.23223239183425903,0.513711154460907,0.27278128266334534,0.6251175999641418,0.23054824769496918,0.5130809545516968,0.39615920186042786,0.1778610795736313,0.24281969666481018,0.25732165575027466
should,0.43830034136772156,0.49775537848472595,0.48608309030532837,0.4533415734767914,0.44452130794525146,0.15220500528812408,0.44452130794525146,0.17903153598308563,0.32399165630340576,0.24246720969676971,0.23054338991641998,0.3226470351219177,0.23862971365451813,0.31357353925704956,0.4442402422428131
