,what,is,considered,the,epitome,of,the,rhine,romanticism,?
with,0.2464839518070221,0.3250955045223236,0.24176937341690063,0.4223487675189972,0.252714067697525,0.41827285289764404,0.4223487675189972,0.18184249103069305,0.18919681012630463,0.2433311939239502
its,0.30393704771995544,0.4447362422943115,0.30358725786209106,0.559237003326416,0.2312190681695938,0.48690423369407654,0.559237003326416,0.17144687473773956,0.1519223004579544,0.15103481709957123
outstanding,0.17298035323619843,0.23078469932079315,0.24155330657958984,0.23422245681285858,0.12610256671905518,0.22859783470630646,0.23422245681285858,0.17842620611190796,0.2174210548400879,0.15249712765216827
architectural,0.20413975417613983,0.16683503985404968,0.24807587265968323,0.22612835466861725,0.3239155411720276,0.2795933783054352,0.22612835466861725,0.09070385992527008,0.4021277129650116,0.13917183876037598
monuments,0.17082810401916504,0.22874300181865692,0.20313438773155212,0.2761452794075012,0.22167420387268066,0.280117005109787,0.2761452794075012,0.19487954676151276,0.2952636182308197,0.1164054125547409
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.28687211871147156,0.4946078956127167,0.4933079481124878,0.167837992310524,0.250553697347641,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.2896095812320709,0.733189046382904,1.0,0.30735138058662415,0.2198692262172699,0.22068053483963013
slopes,0.13553699851036072,0.23562204837799072,0.13053055107593536,0.29032766819000244,0.1908743530511856,0.2086130827665329,0.29032766819000244,0.2870675027370453,0.18736492097377777,0.04745080694556236
full,0.20298334956169128,0.18005375564098358,0.14811615645885468,0.2988807260990143,0.22701136767864227,0.3238043189048767,0.2988807260990143,0.06635347753763199,0.14351622760295868,0.168479785323143
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.3626016676425934,1.0,0.733189046382904,0.2548927664756775,0.23626433312892914,0.1826142966747284
vines,0.1779925674200058,0.23093292117118835,0.21763445436954498,0.24991609156131744,0.18270143866539001,0.2191205620765686,0.24991609156131744,0.18324875831604004,0.1432449370622635,0.14292331039905548
",",0.3087472915649414,0.4691906273365021,0.32932984828948975,0.4933079481124878,0.28687211871147156,0.4946078956127167,0.4933079481124878,0.167837992310524,0.250553697347641,0.31091248989105225
settlements,0.24496693909168243,0.2297375649213791,0.11932164430618286,0.24227768182754517,0.1863265484571457,0.2813670039176941,0.24227768182754517,0.19425366818904877,0.15055818855762482,0.1671062707901001
crowded,0.18213561177253723,0.18178395926952362,0.159767284989357,0.256705641746521,0.08078859001398087,0.25737929344177246,0.256705641746521,0.21684402227401733,0.10695651918649673,0.11326183378696442
on,0.34226128458976746,0.3635730445384979,0.24379022419452667,0.5107308030128479,0.13580596446990967,0.3966929316520691,0.5107308030128479,0.20067645609378815,0.1592017114162445,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.2896095812320709,0.733189046382904,1.0,0.30735138058662415,0.2198692262172699,0.22068053483963013
narrow,0.21173065900802612,0.26095157861709595,0.19184978306293488,0.3104094862937927,0.18372328579425812,0.248264878988266,0.3104094862937927,0.14658653736114502,0.13112595677375793,0.1023377925157547
river,0.13815869390964508,0.20670881867408752,0.10340692102909088,0.2894456386566162,0.14713400602340698,0.19903257489204407,0.2894456386566162,0.3672541379928589,0.11956509202718735,0.15390869975090027
banks,0.11580011993646622,0.18453240394592285,0.1383598893880844,0.28661349415779114,0.06894571334123611,0.21528330445289612,0.28661349415779114,0.2710939347743988,0.08637923747301102,0.11048095673322678
and,0.31309178471565247,0.3859752118587494,0.3359341621398926,0.5171257257461548,0.29973894357681274,0.5116966962814331,0.5171257257461548,0.22029656171798706,0.2395375519990921,0.20544172823429108
scores,0.20473165810108185,0.21619120240211487,0.1881324201822281,0.2456876039505005,0.054755281656980515,0.18901348114013672,0.2456876039505005,0.13592031598091125,0.1543291211128235,0.17722187936306
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.3626016676425934,1.0,0.733189046382904,0.2548927664756775,0.23626433312892914,0.1826142966747284
castles,0.15941859781742096,0.2336672991514206,0.15579655766487122,0.31752192974090576,0.2899939715862274,0.3039475083351135,0.31752192974090576,0.32023119926452637,0.23978784680366516,0.08299993723630905
lined,0.1342983841896057,0.2078096568584442,0.18802519142627716,0.31698378920555115,0.1282130479812622,0.24734710156917572,0.31698378920555115,0.18844416737556458,0.06280491501092911,0.1190037727355957
up,0.28591108322143555,0.2853454053401947,0.16329240798950195,0.38423117995262146,0.11822304874658585,0.32945773005485535,0.38423117995262146,0.1867746114730835,0.08364339172840118,0.1819818764925003
along,0.22421957552433014,0.23571021854877472,0.1839529424905777,0.39495137333869934,0.11325233429670334,0.34889817237854004,0.39495137333869934,0.24867600202560425,0.12674963474273682,0.17134909331798553
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.2896095812320709,0.733189046382904,1.0,0.30735138058662415,0.2198692262172699,0.22068053483963013
top,0.21232028305530548,0.17102722823619843,0.14672768115997314,0.31754136085510254,0.16820621490478516,0.20362378656864166,0.31754136085510254,0.14088863134384155,0.1358833760023117,0.17265194654464722
of,0.33290785551071167,0.4854315221309662,0.4190242290496826,0.733189046382904,0.3626016676425934,1.0,0.733189046382904,0.2548927664756775,0.23626433312892914,0.1826142966747284
the,0.42745697498321533,0.5823672413825989,0.4028765559196472,1.0,0.2896095812320709,0.733189046382904,1.0,0.30735138058662415,0.2198692262172699,0.22068053483963013
