,what,has,been,the,result,of,this,publicity,?
in,0.30808621644973755,0.4173259735107422,0.3515113592147827,0.6662389636039734,0.25670310854911804,0.5696388483047485,0.45205554366111755,0.17883411049842834,0.20430970191955566
the,0.42745697498321533,0.4177538752555847,0.3563927710056305,1.0,0.27778977155685425,0.733189046382904,0.6274310946464539,0.22379745543003082,0.22068053483963013
united,0.20036718249320984,0.17934498190879822,0.21903765201568604,0.34367692470550537,0.16438019275665283,0.3187655806541443,0.23579099774360657,0.2465886026620865,0.17266890406608582
states,0.21526020765304565,0.1958659142255783,0.20674076676368713,0.3463578522205353,0.17278510332107544,0.30884552001953125,0.2684851288795471,0.26463985443115234,0.16272737085819244
especially,0.3590192496776581,0.2626020014286041,0.36241304874420166,0.39420849084854126,0.2789061367511749,0.37220633029937744,0.43445613980293274,0.2805350422859192,0.19751401245594025
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4316047728061676,0.2584705352783203,0.31091248989105225
several,0.22446060180664062,0.4080820679664612,0.5172662734985352,0.40559855103492737,0.12628479301929474,0.3271615505218506,0.34718775749206543,0.27608492970466614,0.15595775842666626
high-profile,0.17151661217212677,0.2530307173728943,0.17763684689998627,0.27350714802742004,0.14274859428405762,0.282701700925827,0.21365495026111603,0.27222785353660583,0.22897151112556458
cases,0.2612028121948242,0.29818248748779297,0.3144885301589966,0.33415094017982483,0.33225488662719727,0.31000128388404846,0.392394095659256,0.27318525314331055,0.25599566102027893
such,0.23989605903625488,0.26101309061050415,0.33591920137405396,0.3575236201286316,0.2739434242248535,0.3209529519081116,0.4230159521102905,0.2596004009246826,0.17851735651493073
as,0.31749409437179565,0.351646363735199,0.3975982367992401,0.48381632566452026,0.2939164340496063,0.3886612355709076,0.43993282318115234,0.29822319746017456,0.27043893933296204
debra,0.15611903369426727,0.1603170782327652,0.15811745822429657,0.1840357482433319,0.10364935547113419,0.14901778101921082,0.10275065898895264,0.21750885248184204,0.14912204444408417
lafave,0.30472972989082336,0.1859421730041504,0.20940512418746948,0.331360399723053,0.11556770652532578,0.28166407346725464,0.2809446156024933,0.24397669732570648,0.27401894330978394
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4316047728061676,0.2584705352783203,0.31091248989105225
pamela,0.1385999619960785,0.15569405257701874,0.19900323450565338,0.1094505786895752,0.05285361036658287,0.08202259242534637,0.052173275500535965,0.24344715476036072,0.16894355416297913
rogers,0.15824414789676666,0.19636403024196625,0.18491172790527344,0.20540136098861694,0.14447946846485138,0.18457171320915222,0.14809459447860718,0.23160117864608765,0.12813130021095276
",",0.3087472915649414,0.3734780251979828,0.34873589873313904,0.4933079481124878,0.23341737687587738,0.4946078956127167,0.4316047728061676,0.2584705352783203,0.31091248989105225
and,0.31309178471565247,0.43716782331466675,0.3424558639526367,0.5171257257461548,0.27436327934265137,0.5116966962814331,0.42353692650794983,0.23629413545131683,0.20544172823429108
mary,0.2064262330532074,0.14895595610141754,0.1841517984867096,0.18200480937957764,0.01918944902718067,0.17272977530956268,0.1565241515636444,0.2149619311094284,0.17181165516376495
kay,0.25244560837745667,0.1511283814907074,0.18095934391021729,0.15005162358283997,0.02959182858467102,0.09638576209545135,0.17284898459911346,0.1669871211051941,0.3186453580856323
letourneau,0.15885280072689056,0.20986531674861908,0.21913264691829681,0.3301513195037842,0.20631097257137299,0.2636318802833557,0.22291728854179382,0.2557286322116852,0.15637637674808502
have,0.39808809757232666,0.6353569626808167,0.6493861675262451,0.40389683842658997,0.28083348274230957,0.3802283704280853,0.4660032093524933,0.2613198459148407,0.32991164922714233
caused,0.22264783084392548,0.1852779984474182,0.2684411406517029,0.24990202486515045,0.41822704672813416,0.29665443301200867,0.2965903580188751,0.202169731259346,0.20679491758346558
increased,0.1599731743335724,0.2821793556213379,0.3297082185745239,0.3188653886318207,0.2966756820678711,0.3371390700340271,0.30607330799102783,0.28517529368400574,0.09587585180997849
scrutiny,0.4017239212989807,0.1668621003627777,0.2957347333431244,0.30078384280204773,0.24028663337230682,0.2483227252960205,0.37717360258102417,0.44313547015190125,0.3489108085632324
on,0.34226128458976746,0.34604379534721375,0.29937630891799927,0.5107308030128479,0.22479186952114105,0.3966929316520691,0.4193967580795288,0.27230992913246155,0.2714994251728058
teacher,0.20492632687091827,0.16918911039829254,0.149984672665596,0.17760860919952393,0.09391458332538605,0.19968076050281525,0.15561269223690033,0.19972464442253113,0.1797819435596466
misconduct,0.2703917920589447,0.16586272418498993,0.268328458070755,0.21778301894664764,0.29566600918769836,0.2208290994167328,0.3173118829727173,0.4292140305042267,0.21460698544979095
.,0.3567904531955719,0.4105546176433563,0.33645182847976685,0.5934505462646484,0.31092435121536255,0.5352458953857422,0.500583827495575,0.21105511486530304,0.4130953550338745
