,what,type,of,film,were,excerpts,from,the,show,film,on,?
early,0.2454567849636078,0.24463579058647156,0.30937549471855164,0.1316242665052414,0.39198037981987,0.20440448820590973,0.2746177613735199,0.34442198276519775,0.23138250410556793,0.1316242665052414,0.2426261156797409,0.15272949635982513
colour,0.23863904178142548,0.2778712213039398,0.1579323709011078,0.1539783924818039,0.14955520629882812,0.12623363733291626,0.19953623414039612,0.23851054906845093,0.21704064309597015,0.1539783924818039,0.24079640209674835,0.1683434098958969
videotape,0.24402296543121338,0.12250833958387375,0.22991187870502472,0.40318870544433594,0.2530779242515564,0.288349449634552,0.20756416022777557,0.2789892852306366,0.29054298996925354,0.40318870544433594,0.28643980622291565,0.1862143874168396
recordings,0.173174649477005,0.06608718633651733,0.17864534258842468,0.29990360140800476,0.2252539098262787,0.3377668261528015,0.1899273544549942,0.21458035707473755,0.22646668553352356,0.29990360140800476,0.2583944499492645,0.18278516829013824
made,0.23419176042079926,0.2166324257850647,0.33167365193367004,0.12445706129074097,0.32412371039390564,0.16214407980442047,0.23003742098808289,0.3885267674922943,0.23364688456058502,0.12445706129074097,0.37619519233703613,0.17218779027462006
off-air,0.16912104189395905,0.19955426454544067,0.2470606416463852,0.21746332943439484,0.2101663202047348,0.1984214037656784,0.268675297498703,0.3000775873661041,0.25582578778266907,0.21746332943439484,0.3414193391799927,0.2015172243118286
by,0.2455483376979828,0.15232881903648376,0.3646814823150635,0.17890147864818573,0.4406847059726715,0.30053529143333435,0.3373257517814636,0.4408751428127289,0.2779667377471924,0.17890147864818573,0.33887791633605957,0.17966607213020325
fans,0.17731891572475433,0.1076364740729332,0.14162687957286835,0.2649409770965576,0.3112231492996216,0.21377839148044586,0.16656720638275146,0.2338283360004425,0.2043827325105667,0.2649409770965576,0.1861785501241684,0.09329766035079956
have,0.39808809757232666,0.242574080824852,0.3802283704280853,0.13394346833229065,0.5193349123001099,0.12966908514499664,0.30702701210975647,0.40389683842658997,0.33534201979637146,0.13394346833229065,0.36494916677474976,0.32991164922714233
also,0.42747777700424194,0.26631516218185425,0.4924938678741455,0.21156583726406097,0.31877249479293823,0.1789352297782898,0.33783096075057983,0.6021018624305725,0.32992470264434814,0.21156583726406097,0.3762153089046478,0.21848613023757935
been,0.2567804455757141,0.19062602519989014,0.31685134768486023,0.17852230370044708,0.5062422156333923,0.14897873997688293,0.27624839544296265,0.3563927710056305,0.23647178709506989,0.17852230370044708,0.29937630891799927,0.24354910850524902
retrieved,0.15753085911273956,0.1662478893995285,0.20252205431461334,0.06337372213602066,0.13628754019737244,0.2492275834083557,0.24260789155960083,0.1810625195503235,0.15193477272987366,0.06337372213602066,0.20623426139354706,0.2560236155986786
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.2552308440208435,0.36755475401878357,0.25229912996292114,0.39760664105415344,0.4933079481124878,0.31928569078445435,0.2552308440208435,0.49057599902153015,0.31091248989105225
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21341748535633087,0.3025437891483307,0.17546899616718292,0.3251767158508301,0.48381632566452026,0.30768129229545593,0.21341748535633087,0.36047765612602234,0.27043893933296204
well,0.4154493808746338,0.18039114773273468,0.3343164324760437,0.18611294031143188,0.37577003240585327,0.13767695426940918,0.31084778904914856,0.42630070447921753,0.2877497673034668,0.18611294031143188,0.2982843816280365,0.24815571308135986
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.21341748535633087,0.3025437891483307,0.17546899616718292,0.3251767158508301,0.48381632566452026,0.30768129229545593,0.21341748535633087,0.36047765612602234,0.27043893933296204
excerpts,0.18168824911117554,0.07573428004980087,0.2266622632741928,0.2723713517189026,0.16988584399223328,1.0000001192092896,0.1973421424627304,0.2258518636226654,0.19929280877113342,0.2723713517189026,0.20263800024986267,0.20234771072864532
filmed,0.16028854250907898,0.10315092653036118,0.19801081717014313,0.5428473949432373,0.23667742311954498,0.2338070273399353,0.18563923239707947,0.2799699008464813,0.29242947697639465,0.5428473949432373,0.26202404499053955,0.12269312888383865
from,0.2737620174884796,0.1559610366821289,0.4249346852302551,0.17437699437141418,0.29991888999938965,0.1973421424627304,1.0,0.40150508284568787,0.2004580795764923,0.17437699437141418,0.36926645040512085,0.19969791173934937
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2824619710445404,0.3906462490558624,0.2258518636226654,0.40150508284568787,1.0,0.319829523563385,0.2824619710445404,0.5107308030128479,0.22068053483963013
television,0.19838058948516846,0.11052465438842773,0.21995750069618225,0.39371010661125183,0.18070289492607117,0.22542114555835724,0.19486135244369507,0.24569597840309143,0.5277389287948608,0.39371010661125183,0.2825660705566406,0.16825827956199646
screen,0.2579151391983032,0.13564945757389069,0.1909627914428711,0.37291404604911804,0.16051186621189117,0.1686774641275406,0.1493392139673233,0.2616176903247833,0.3228834867477417,0.37291404604911804,0.25898346304893494,0.1954205334186554
onto,0.24182499945163727,0.17904070019721985,0.18590226769447327,0.10751435160636902,0.20128051936626434,0.1467292159795761,0.2967802882194519,0.26941725611686707,0.22092194855213165,0.10751435160636902,0.4311235249042511,0.1694815307855606
8,-0.005443718284368515,0.0004887281102128327,0.03280399739742279,0.008045398630201817,-0.03923911228775978,0.0012776522198691964,-0.039493054151535034,0.0063715726137161255,0.03225558623671532,0.008045398630201817,-0.04966927692294121,-0.04056251794099808
mm,0.16184760630130768,0.22393956780433655,0.16425222158432007,0.23533698916435242,0.1307191550731659,0.12080078572034836,0.12208691239356995,0.20466946065425873,0.0963650643825531,0.23533698916435242,0.2133582979440689,0.16094553470611572
cine,0.12668408453464508,0.10559187829494476,0.1926148384809494,0.43974754214286804,0.05813226476311684,0.13905069231987,0.131458580493927,0.2650967240333557,0.1633574664592743,0.43974754214286804,0.15299928188323975,0.1490994542837143
film,0.17437689006328583,0.04284633323550224,0.22166931629180908,0.9999999403953552,0.14881446957588196,0.2723713517189026,0.17437699437141418,0.2824619710445404,0.20821957290172577,0.9999999403953552,0.162833571434021,0.16369038820266724
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23832054436206818,0.42175528407096863,0.18815617263317108,0.3601827025413513,0.5171257257461548,0.3455478549003601,0.23832054436206818,0.4077630043029785,0.20544172823429108
clips,0.20563474297523499,0.1154196709394455,0.19882121682167053,0.3065185546875,0.21366137266159058,0.39598581194877625,0.20118431746959686,0.21622200310230255,0.27191421389579773,0.3065185546875,0.2651854157447815,0.19700689613819122
that,0.6297725439071655,0.25817251205444336,0.41498205065727234,0.19801650941371918,0.35517072677612305,0.2105090618133545,0.3477667272090912,0.5473989248275757,0.3486354649066925,0.19801650941371918,0.42569106817245483,0.32716336846351624
were,0.22298263013362885,0.09534358233213425,0.34038281440734863,0.14881446957588196,1.0000001192092896,0.16988584399223328,0.29991888999938965,0.3906462490558624,0.22895647585391998,0.14881446957588196,0.2774328887462616,0.17890112102031708
