,what,caused,uk,to,have,an,oil,crisis,in,its,own,country,?
despite,0.1825345903635025,0.339798241853714,0.18886730074882507,0.3584847152233124,0.33455711603164673,0.15481685101985931,0.09642002731561661,0.1614249050617218,0.27473363280296326,0.39397209882736206,0.2583276927471161,0.20274372398853302,0.14350546896457672
being,0.3760843276977539,0.23100005090236664,0.17999407649040222,0.4514104127883911,0.47529760003089905,0.2743402123451233,0.16502055525779724,0.18268193304538727,0.33162933588027954,0.3381310999393463,0.30110353231430054,0.2409067302942276,0.26743772625923157
relatively,0.24081343412399292,0.2696537971496582,0.07947248220443726,0.3473149538040161,0.4228270351886749,0.1656145304441452,0.15743198990821838,0.15930430591106415,0.2696114182472229,0.3888343274593353,0.23965957760810852,0.14740562438964844,0.1281091868877411
unaffected,0.35635268688201904,0.5691555142402649,0.14968442916870117,0.3401241898536682,0.38045287132263184,0.23392556607723236,0.18334215879440308,0.2291703075170517,0.28027573227882385,0.28014951944351196,0.28477373719215393,0.19749946892261505,0.23165734112262726
by,0.2455483376979828,0.30491310358047485,0.1589900702238083,0.33534231781959534,0.3359639644622803,0.2719563841819763,0.20634248852729797,0.1594943255186081,0.370934396982193,0.24398943781852722,0.2755888104438782,0.24224938452243805,0.17966607213020325
the,0.42745697498321533,0.24990202486515045,0.2143084555864334,0.535392165184021,0.40389683842658997,0.4207492768764496,0.21849922835826874,0.263981431722641,0.6662389636039734,0.559237003326416,0.334675133228302,0.30432501435279846,0.22068053483963013
embargo,0.2279047667980194,0.15110433101654053,0.22606058418750763,0.24951419234275818,0.11385632306337357,0.24449676275253296,0.316433310508728,0.4160068929195404,0.171186164021492,0.1876133233308792,0.14675205945968628,0.2854992151260376,0.21724076569080353
",",0.3087472915649414,0.2600580155849457,0.2632971405982971,0.44245919585227966,0.3541618287563324,0.3581022024154663,0.20043784379959106,0.18660308420658112,0.5201468467712402,0.33157986402511597,0.2796398997306824,0.27878350019454956,0.31091248989105225
the,0.42745697498321533,0.24990202486515045,0.2143084555864334,0.535392165184021,0.40389683842658997,0.4207492768764496,0.21849922835826874,0.263981431722641,0.6662389636039734,0.559237003326416,0.334675133228302,0.30432501435279846,0.22068053483963013
uk,0.17163191735744476,0.1082519069314003,1.0,0.18409153819084167,0.1696256846189499,0.1160384938120842,0.07964248210191727,0.21588283777236938,0.2261405885219574,0.20124290883541107,0.12118859589099884,0.19472895562648773,0.20222434401512146
nonetheless,0.368646502494812,0.17895086109638214,0.14596278965473175,0.37628138065338135,0.4413967430591583,0.11404134333133698,0.1355905383825302,0.1756390929222107,0.2491397112607956,0.2802658975124359,0.38668379187583923,0.22409014403820038,0.22137337923049927
faced,0.1428881287574768,0.33230265974998474,0.1466403603553772,0.19094133377075195,0.24086280167102814,0.11449255049228668,0.10065013915300369,0.27054595947265625,0.20601411163806915,0.15054114162921906,0.037442971020936966,0.15700379014015198,0.12312540411949158
an,0.2821882665157318,0.2219875156879425,0.1160384938120842,0.3138085603713989,0.22897054255008698,1.0,0.13089607656002045,0.18490846455097198,0.2605783939361572,0.28139030933380127,0.1993594467639923,0.19811232388019562,0.19793890416622162
oil,0.14842186868190765,0.1656581610441208,0.07964248210191727,0.1619214415550232,0.14215372502803802,0.13089607656002045,1.0,0.2694509029388428,0.21800900995731354,0.17392194271087646,0.10596317052841187,0.17200785875320435,0.14867261052131653
crisis,0.23514460027217865,0.25349679589271545,0.21588283777236938,0.21038146317005157,0.1455305516719818,0.18490846455097198,0.2694509029388428,1.0,0.19426369667053223,0.18487988412380219,0.10016637295484543,0.18197865784168243,0.17902959883213043
