,who,was,the,final,prime,minister,of,east,germany,?
the,0.3733934462070465,0.48711544275283813,1.0,0.3543182611465454,0.19960100948810577,0.19297581911087036,0.733189046382904,0.3383176326751709,0.3181285262107849,0.22068053483963013
last,0.30598369240760803,0.32424551248550415,0.3698786795139313,0.4394223988056183,0.13731266558170319,0.12244242429733276,0.3052992522716522,0.1896558254957199,0.1656849980354309,0.22371746599674225
prime,0.16031751036643982,0.21048103272914886,0.19960100948810577,0.12312015891075134,1.0,0.8818941116333008,0.23935265839099884,0.10426557809114456,0.16203679144382477,0.11276303976774216
minister,0.18775032460689545,0.26634681224823,0.19297581911087036,0.11023039370775223,0.8818941116333008,0.9999998807907104,0.23343199491500854,0.1531859040260315,0.2515335977077484,0.10825661569833755
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.24563951790332794,0.23935265839099884,0.23343199491500854,1.0,0.314786434173584,0.2942050099372864,0.1826142966747284
the,0.3733934462070465,0.48711544275283813,1.0,0.3543182611465454,0.19960100948810577,0.19297581911087036,0.733189046382904,0.3383176326751709,0.3181285262107849,0.22068053483963013
(,0.2443375140428543,0.2980341613292694,0.33289089798927307,0.2353750467300415,0.21646767854690552,0.2223266065120697,0.35032153129577637,0.21615204215049744,0.14963670074939728,0.40561532974243164
east,0.20229652523994446,0.2747166156768799,0.3383176326751709,0.14135447144508362,0.10426557809114456,0.1531859040260315,0.314786434173584,1.0000001192092896,0.32127928733825684,0.10070597380399704
),0.2457384318113327,0.3267642855644226,0.3456730246543884,0.23999759554862976,0.20705947279930115,0.20952601730823517,0.3680361211299896,0.20465658605098724,0.16241523623466492,0.42300865054130554
german,0.29263320565223694,0.26016926765441895,0.256483793258667,0.09411755204200745,0.11165537685155869,0.18985439836978912,0.2122138887643814,0.2459583878517151,0.69117671251297,0.13978645205497742
democratic,0.1775825470685959,0.24946795403957367,0.21570740640163422,0.1119202971458435,0.2856751084327698,0.3286300301551819,0.2273487150669098,0.22688013315200806,0.30568093061447144,0.1668088138103485
republic,0.1744387000799179,0.21385665237903595,0.2862427830696106,0.1105835884809494,0.19431714713573456,0.2422494888305664,0.2802940905094147,0.2939453721046448,0.3595566153526306,0.16880398988723755
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.2565026581287384,0.24737542867660522,0.4946078956127167,0.319791704416275,0.2898865044116974,0.31091248989105225
lothar,0.3038906157016754,0.2899481952190399,0.25669342279434204,0.17395642399787903,0.2582424283027649,0.31462106108665466,0.23294605314731598,0.21566961705684662,0.5048505067825317,0.18294039368629456
de,0.18189555406570435,0.20575080811977386,0.23491892218589783,0.13548316061496735,0.11181380599737167,0.17204073071479797,0.26292696595191956,0.2008291482925415,0.20181502401828766,0.11064168810844421
maizière,0.2681731879711151,0.34471410512924194,0.303013414144516,0.14135321974754333,0.2603859007358551,0.3350885212421417,0.32898184657096863,0.23413759469985962,0.3674573302268982,0.20226430892944336
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.2565026581287384,0.24737542867660522,0.4946078956127167,0.319791704416275,0.2898865044116974,0.31091248989105225
is,0.24293622374534607,0.5810302495956421,0.5823672413825989,0.1859603077173233,0.16680827736854553,0.15245889127254486,0.4854315221309662,0.2596127688884735,0.2201172411441803,0.22961433231830597
also,0.47919341921806335,0.4032125174999237,0.6021018624305725,0.24655134975910187,0.20427973568439484,0.19672662019729614,0.4924938678741455,0.23964199423789978,0.24744677543640137,0.21848613023757935
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.24625235795974731,0.17998681962490082,0.1532600224018097,0.5052502155303955,0.18767057359218597,0.2606942057609558,0.23916715383529663
descendant,0.3264788091182709,0.2843533754348755,0.27002206444740295,0.08530695736408234,0.21652765572071075,0.23441478610038757,0.29808375239372253,0.21236127614974976,0.05899861454963684,0.109697625041008
of,0.2827862501144409,0.4069072902202606,0.733189046382904,0.24563951790332794,0.23935265839099884,0.23343199491500854,1.0,0.314786434173584,0.2942050099372864,0.1826142966747284
a,0.36608949303627014,0.4508470594882965,0.5829201340675354,0.24625235795974731,0.17998681962490082,0.1532600224018097,0.5052502155303955,0.18767057359218597,0.2606942057609558,0.23916715383529663
huguenot,0.32233482599258423,0.24281072616577148,0.29557526111602783,0.18596725165843964,0.21519140899181366,0.2619774639606476,0.29061198234558105,0.24105677008628845,0.3405469059944153,0.1359742432832718
family,0.23428858816623688,0.21917963027954102,0.2394849956035614,0.10407883673906326,0.11504531651735306,0.1142004206776619,0.1893671154975891,0.1446225643157959,0.11746259033679962,0.15222905576229095
",",0.3365725874900818,0.45456063747406006,0.4933079481124878,0.24864837527275085,0.2565026581287384,0.24737542867660522,0.4946078956127167,0.319791704416275,0.2898865044116974,0.31091248989105225
as,0.3923053741455078,0.3677520453929901,0.48381632566452026,0.18874843418598175,0.17482610046863556,0.17012841999530792,0.3886612355709076,0.19617025554180145,0.17682115733623505,0.27043893933296204
is,0.24293622374534607,0.5810302495956421,0.5823672413825989,0.1859603077173233,0.16680827736854553,0.15245889127254486,0.4854315221309662,0.2596127688884735,0.2201172411441803,0.22961433231830597
the,0.3733934462070465,0.48711544275283813,1.0,0.3543182611465454,0.19960100948810577,0.19297581911087036,0.733189046382904,0.3383176326751709,0.3181285262107849,0.22068053483963013
