,what,does,an,increase,in,the,income,share,of,the,bottom,20,percent,of,people,of,a,society,result,in,?
in,0.30808621644973755,0.214483380317688,0.2605783939361572,0.25893163681030273,1.0,0.6662389636039734,0.1795814335346222,0.21491074562072754,0.5696388483047485,0.6662389636039734,0.1894155740737915,-0.022708838805556297,0.24886950850486755,0.5696388483047485,0.39605680108070374,0.5696388483047485,0.539380669593811,0.21229879558086395,0.25670310854911804,1.0,0.20430970191955566
contrast,0.2773490250110626,0.29833805561065674,0.18112654983997345,0.3164539337158203,0.2357589453458786,0.25799670815467834,0.19828851521015167,0.22352038323879242,0.3046875298023224,0.25799670815467834,0.2130061388015747,0.00429507065564394,0.23234932124614716,0.3046875298023224,0.11306241154670715,0.3046875298023224,0.29432156682014465,0.24409008026123047,0.241590216755867,0.2357589453458786,0.15469981729984283
",",0.3087472915649414,0.28617382049560547,0.3581022024154663,0.20005576312541962,0.5201468467712402,0.4933079481124878,0.19703416526317596,0.29725754261016846,0.4946078956127167,0.4933079481124878,0.20182575285434723,0.02128993533551693,0.19088563323020935,0.4946078956127167,0.36644625663757324,0.4946078956127167,0.427140474319458,0.20629194378852844,0.23341737687587738,0.5201468467712402,0.31091248989105225
an,0.2821882665157318,0.29477936029434204,1.0,0.22955887019634247,0.2605783939361572,0.4207492768764496,0.12479376047849655,0.13699986040592194,0.32280945777893066,0.4207492768764496,0.09940209984779358,0.022018564864993095,0.1881512999534607,0.32280945777893066,0.16753636300563812,0.32280945777893066,0.44552403688430786,0.17547515034675598,0.20189309120178223,0.2605783939361572,0.19793890416622162
increase,0.21153631806373596,0.19757407903671265,0.22955887019634247,1.0,0.25893163681030273,0.32049667835235596,0.3552919328212738,0.26905620098114014,0.3156060576438904,0.32049667835235596,0.2023988962173462,-0.000980465323664248,0.4012279808521271,0.3156060576438904,0.23550847172737122,0.3156060576438904,0.24428929388523102,0.18028032779693604,0.322893887758255,0.25893163681030273,0.11119163036346436
in,0.30808621644973755,0.214483380317688,0.2605783939361572,0.25893163681030273,1.0,0.6662389636039734,0.1795814335346222,0.21491074562072754,0.5696388483047485,0.6662389636039734,0.1894155740737915,-0.022708838805556297,0.24886950850486755,0.5696388483047485,0.39605680108070374,0.5696388483047485,0.539380669593811,0.21229879558086395,0.25670310854911804,1.0,0.20430970191955566
the,0.42745697498321533,0.35928019881248474,0.4207492768764496,0.32049667835235596,0.6662389636039734,1.0,0.23699946701526642,0.249948650598526,0.733189046382904,1.0,0.3075515031814575,-0.06418957561254501,0.277066707611084,0.733189046382904,0.36838498711586,0.733189046382904,0.5829201340675354,0.2789285480976105,0.27778977155685425,0.6662389636039734,0.22068053483963013
income,0.21837803721427917,0.18851257860660553,0.12479376047849655,0.3552919328212738,0.1795814335346222,0.23699946701526642,1.0,0.28178873658180237,0.2581324577331543,0.23699946701526642,0.1732090711593628,0.06477738171815872,0.42370086908340454,0.2581324577331543,0.2230251580476761,0.2581324577331543,0.2084353119134903,0.2488999217748642,0.19292858242988586,0.1795814335346222,0.14935168623924255
share,0.2764742076396942,0.2503064274787903,0.13699986040592194,0.26905620098114014,0.21491074562072754,0.249948650598526,0.28178873658180237,1.0,0.2850857973098755,0.249948650598526,0.1583148092031479,0.0902727022767067,0.2633410394191742,0.2850857973098755,0.2234714776277542,0.2850857973098755,0.18168987333774567,0.17034542560577393,0.149933323264122,0.21491074562072754,0.1754547506570816
of,0.33290785551071167,0.3119818866252899,0.32280945777893066,0.3156060576438904,0.5696388483047485,0.733189046382904,0.2581324577331543,0.2850857973098755,1.0,0.733189046382904,0.2214360237121582,-0.0318976491689682,0.3004763424396515,1.0,0.3251037895679474,1.0,0.5052502155303955,0.23646748065948486,0.231380432844162,0.5696388483047485,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,0.4207492768764496,0.32049667835235596,0.6662389636039734,1.0,0.23699946701526642,0.249948650598526,0.733189046382904,1.0,0.3075515031814575,-0.06418957561254501,0.277066707611084,0.733189046382904,0.36838498711586,0.733189046382904,0.5829201340675354,0.2789285480976105,0.27778977155685425,0.6662389636039734,0.22068053483963013
bottom,0.22912470996379852,0.20897172391414642,0.09940209984779358,0.2023988962173462,0.1894155740737915,0.3075515031814575,0.1732090711593628,0.1583148092031479,0.2214360237121582,0.3075515031814575,0.9999999403953552,-0.050510697066783905,0.1778619885444641,0.2214360237121582,0.12769339978694916,0.2214360237121582,0.2053840160369873,0.14396649599075317,0.1522216945886612,0.1894155740737915,0.21899469196796417
