,approximately,how,many,european,oil,paintings,does,the,museum,have,?
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.3423081040382385,0.21849922835826874,0.2167874127626419,0.35928019881248474,1.0,0.24861779808998108,0.40389683842658997,0.22068053483963013
collection,0.15115109086036682,0.11592676490545273,0.24966391921043396,0.10411082953214645,0.1657792031764984,0.3678726255893707,0.10356780141592026,0.25281965732574463,0.4441815912723541,0.22995401918888092,0.20069393515586853
includes,0.2758536636829376,0.14845652878284454,0.2885901629924774,0.2308114916086197,0.14898328483104706,0.14975453913211823,0.2753782868385315,0.3388250470161438,0.1933429092168808,0.317841500043869,0.14011523127555847
about,0.4354960322380066,0.44264400005340576,0.3800397515296936,0.10892312228679657,0.14841169118881226,0.2243567556142807,0.26877498626708984,0.37995871901512146,0.19708289206027985,0.3940475583076477,0.302409827709198
1130,-0.03167536109685898,0.038340188562870026,0.14997628331184387,0.08115819096565247,0.13023734092712402,0.08765649795532227,-0.010962544940412045,0.010465423576533794,0.07116227596998215,0.06968323886394501,-0.011017857119441032
british,0.09731001406908035,0.17564475536346436,0.23270447552204132,0.21545198559761047,0.13256411254405975,0.16699564456939697,0.10894544422626495,0.28973397612571716,0.1519032120704651,0.18602940440177917,0.09711728990077972
and,0.3228789269924164,0.33647966384887695,0.5296266674995422,0.24143946170806885,0.19239190220832825,0.2532086968421936,0.3461615741252899,0.5171257257461548,0.21554097533226013,0.4711785912513733,0.20544172823429108
650,0.01823427714407444,0.12330715358257294,0.13430091738700867,0.07582542300224304,-0.015550329349935055,0.12034636735916138,0.05711477994918823,0.22335943579673767,0.1259182095527649,0.06651336699724197,0.1771179437637329
european,0.18031030893325806,0.123964823782444,0.24996337294578552,0.9999998807907104,0.1377556174993515,0.13785581290721893,0.11488570272922516,0.3423081040382385,0.07021971046924591,0.19048169255256653,0.14560863375663757
oil,0.16102522611618042,0.13798584043979645,0.19348452985286713,0.1377556174993515,1.0,0.426624596118927,0.1577383130788803,0.21849922835826874,0.19486266374588013,0.14215372502803802,0.14867261052131653
paintings,0.04175901412963867,0.19760052859783173,0.3093363344669342,0.13785581290721893,0.426624596118927,1.0,0.16820548474788666,0.2167874127626419,0.3647291660308838,0.21913306415081024,0.1866389960050583
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.19684812426567078,0.20043784379959106,0.22040317952632904,0.28617382049560547,0.4933079481124878,0.20741747319698334,0.3541618287563324,0.31091248989105225
6800,0.03620248660445213,0.08035090565681458,0.06578345596790314,0.08889621496200562,0.03608817607164383,0.03431856632232666,0.07645447552204132,0.0056223575957119465,0.09043359756469727,-0.035786222666502,0.05272204801440239
british,0.09731001406908035,0.17564475536346436,0.23270447552204132,0.21545198559761047,0.13256411254405975,0.16699564456939697,0.10894544422626495,0.28973397612571716,0.1519032120704651,0.18602940440177917,0.09711728990077972
watercolours,0.1343759298324585,0.20561502873897552,0.3439278304576874,0.23119236528873444,0.43638932704925537,0.6207064390182495,0.14483605325222015,0.2635783851146698,0.28153136372566223,0.21709950268268585,0.13284827768802643
",",0.3057648837566376,0.22659391164779663,0.40610817074775696,0.19684812426567078,0.20043784379959106,0.22040317952632904,0.28617382049560547,0.4933079481124878,0.20741747319698334,0.3541618287563324,0.31091248989105225
pastels,0.0964326336979866,0.20971570909023285,0.2740563154220581,0.1735665500164032,0.364806592464447,0.4204787611961365,0.22683434188365936,0.2154940664768219,0.18782147765159607,0.29582107067108154,0.26089367270469666
