,who,agreed,with,the,burning,of,synagogues,?
according,0.22336459159851074,0.3104740381240845,0.25230053067207336,0.3202974498271942,0.1596280187368393,0.3307822346687317,0.21978718042373657,0.21173474192619324
to,0.42656609416007996,0.35596710443496704,0.4239959120750427,0.535392165184021,0.24785497784614563,0.41548454761505127,0.21851280331611633,0.29463258385658264
daniel,0.2651176154613495,0.14171470701694489,0.1615474373102188,0.16781723499298096,0.15527532994747162,0.13703610002994537,0.1987113654613495,0.1540297418832779
goldhagen,0.29033535718917847,0.19265489280223846,0.22303734719753265,0.34193336963653564,0.21062831580638885,0.2709397077560425,0.30406275391578674,0.22833962738513947
",",0.3365725874900818,0.27350708842277527,0.4120737314224243,0.4933079481124878,0.2103968858718872,0.4946078956127167,0.2421557754278183,0.31091248989105225
bishop,0.19501325488090515,0.11352246254682541,0.0883449986577034,0.2112889289855957,0.14490723609924316,0.22951185703277588,0.26200932264328003,0.19730713963508606
martin,0.22000780701637268,0.13216616213321686,0.18055595457553864,0.22029393911361694,0.19080880284309387,0.13722093403339386,0.1529323309659958,0.060103293508291245
sasse,0.17676939070224762,0.18393880128860474,0.1258971095085144,0.19916421175003052,0.1047922745347023,0.1592739224433899,0.15588752925395966,0.1264742612838745
",",0.3365725874900818,0.27350708842277527,0.4120737314224243,0.4933079481124878,0.2103968858718872,0.4946078956127167,0.2421557754278183,0.31091248989105225
a,0.36608949303627014,0.17516115307807922,0.3783375024795532,0.5829201340675354,0.2315863072872162,0.5052502155303955,0.22899404168128967,0.23916715383529663
leading,0.25606170296669006,0.181285560131073,0.2195664644241333,0.3809107840061188,0.20766040682792664,0.29180192947387695,0.15681256353855133,0.1360926628112793
protestant,0.2817428708076477,0.2580658197402954,0.19056472182273865,0.2679212689399719,0.1517951488494873,0.31440475583076477,0.3803689777851105,0.14798137545585632
churchman,0.33979904651641846,0.28316739201545715,0.17469030618667603,0.23480360209941864,0.18596865236759186,0.2614855468273163,0.2735931873321533,0.23667848110198975
",",0.3365725874900818,0.27350708842277527,0.4120737314224243,0.4933079481124878,0.2103968858718872,0.4946078956127167,0.2421557754278183,0.31091248989105225
published,0.16961833834648132,0.18758298456668854,0.1949073225259781,0.22017472982406616,0.11749817430973053,0.23023100197315216,0.1701781153678894,0.16280238330364227
a,0.36608949303627014,0.17516115307807922,0.3783375024795532,0.5829201340675354,0.2315863072872162,0.5052502155303955,0.22899404168128967,0.23916715383529663
compendium,0.14924274384975433,0.24717171490192413,0.17751874029636383,0.2656499147415161,0.20169292390346527,0.327317476272583,0.13602273166179657,0.2197672724723816
of,0.2827862501144409,0.24395716190338135,0.41827285289764404,0.733189046382904,0.26340749859809875,1.0,0.18388430774211884,0.1826142966747284
luther,0.21013082563877106,0.1856583058834076,0.14705438911914825,0.1759674996137619,0.23471222817897797,0.1719115972518921,0.2656160295009613,0.1732746809720993
's,0.05599616840481758,0.017121348530054092,-0.04624466598033905,-0.01540423184633255,-0.002211935818195343,-0.03817026689648628,0.002745957812294364,-0.023395681753754616
writings,0.25615644454956055,0.1863013058900833,0.16161760687828064,0.21431727707386017,0.17577584087848663,0.24593348801136017,0.3201386332511902,0.1770159751176834
shortly,0.2122824490070343,0.19097019731998444,0.27037379145622253,0.3447211682796478,0.2056855410337448,0.29828354716300964,0.14523720741271973,0.13327454030513763
after,0.32549580931663513,0.2551513612270355,0.33843478560447693,0.4565047025680542,0.21789565682411194,0.3867455720901489,0.2040230631828308,0.16608688235282898
kristallnacht,0.2891860902309418,0.2426203340291977,0.23034827411174774,0.30950623750686646,0.29710662364959717,0.2379758208990097,0.41423195600509644,0.24590197205543518
",",0.3365725874900818,0.27350708842277527,0.4120737314224243,0.4933079481124878,0.2103968858718872,0.4946078956127167,0.2421557754278183,0.31091248989105225
for,0.37110671401023865,0.23074856400489807,0.39140474796295166,0.4739971458911896,0.18434680998325348,0.4185989499092102,0.15070807933807373,0.264628142118454
which,0.3688730001449585,0.20638391375541687,0.46403205394744873,0.6521818041801453,0.32540735602378845,0.5011631846427917,0.2406531274318695,0.25814583897590637
diarmaid,0.39505231380462646,0.1732468605041504,0.22994621098041534,0.239267498254776,0.2839026153087616,0.2689197063446045,0.21721391379833221,0.18899855017662048
macculloch,0.3408779799938202,0.3457854986190796,0.2508128583431244,0.3751732409000397,0.15078605711460114,0.3422292172908783,0.20512351393699646,0.21976332366466522
",",0.3365725874900818,0.27350708842277527,0.4120737314224243,0.4933079481124878,0.2103968858718872,0.4946078956127167,0.2421557754278183,0.31091248989105225
professor,0.2747347950935364,0.14063559472560883,0.12332113087177277,0.19516055285930634,0.063325434923172,0.22687776386737823,0.17246918380260468,0.09837866574525833
of,0.2827862501144409,0.24395716190338135,0.41827285289764404,0.733189046382904,0.26340749859809875,1.0,0.18388430774211884,0.1826142966747284
the,0.3733934462070465,0.24722334742546082,0.4223487675189972,1.0,0.2821531891822815,0.733189046382904,0.2546261250972748,0.22068053483963013
history,0.22458811104297638,0.15206897258758545,0.1947222352027893,0.33215048909187317,0.18475724756717682,0.31014925241470337,0.20821665227413177,0.2501974403858185
of,0.2827862501144409,0.24395716190338135,0.41827285289764404,0.733189046382904,0.26340749859809875,1.0,0.18388430774211884,0.1826142966747284
the,0.3733934462070465,0.24722334742546082,0.4223487675189972,1.0,0.2821531891822815,0.733189046382904,0.2546261250972748,0.22068053483963013
church,0.19418756663799286,0.2101333886384964,0.17961077392101288,0.23846197128295898,0.20788127183914185,0.3079429268836975,0.37170857191085815,0.18081501126289368
in,0.2792111933231354,0.18135444819927216,0.4080928862094879,0.6662389636039734,0.25352632999420166,0.5696388483047485,0.2672216594219208,0.20430970191955566
