,what,happened,to,the,credibility,of,secular,politics,as,a,result,of,the,six-day,war,?
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25475093722343445,0.733189046382904,0.24261851608753204,0.2115192860364914,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
defeat,0.16252544522285461,0.23015913367271423,0.25008296966552734,0.3182816207408905,0.22473455965518951,0.2543899118900299,0.1226208359003067,0.1007605791091919,0.18503357470035553,0.14495371282100677,0.1475161463022232,0.2543899118900299,0.3182816207408905,0.1373395323753357,0.3819405138492584,0.12980464100837708
along,0.22421957552433014,0.18783779442310333,0.2976071536540985,0.39495137333869934,0.15671756863594055,0.34889817237854004,0.12853923439979553,0.08342418074607849,0.31813573837280273,0.24426962435245514,0.12337244302034378,0.34889817237854004,0.39495137333869934,0.139532208442688,0.13454990088939667,0.17134909331798553
with,0.2464839518070221,0.1670946180820465,0.4239959120750427,0.4223487675189972,0.2246534824371338,0.41827285289764404,0.13550563156604767,0.2192724496126175,0.40387406945228577,0.3783375024795532,0.21787862479686737,0.41827285289764404,0.4223487675189972,0.22392836213111877,0.20580904185771942,0.2433311939239502
economic,0.18082544207572937,0.17153558135032654,0.26856908202171326,0.282455176115036,0.3274630904197693,0.3030148148536682,0.2674313187599182,0.39290574193000793,0.21993175148963928,0.2234611213207245,0.2350987046957016,0.3030148148536682,0.282455176115036,0.07236065715551376,0.33000463247299194,0.1206481084227562
stagnation,0.2630239427089691,0.2740120589733124,0.2703026235103607,0.3912380039691925,0.41577160358428955,0.3252284526824951,0.20444230735301971,0.25886064767837524,0.3364897072315216,0.3592314124107361,0.3240937292575836,0.3252284526824951,0.3912380039691925,0.20925262570381165,0.2687375843524933,0.25830313563346863
in,0.30808621644973755,0.3302023410797119,0.45010748505592346,0.6662389636039734,0.14765168726444244,0.5696388483047485,0.22740904986858368,0.2500896453857422,0.3887844979763031,0.539380669593811,0.25670310854911804,0.5696388483047485,0.6662389636039734,0.26914817094802856,0.29904094338417053,0.20430970191955566
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25475093722343445,0.733189046382904,0.24261851608753204,0.2115192860364914,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
defeated,0.13652801513671875,0.22942937910556793,0.22105613350868225,0.2833898365497589,0.14083440601825714,0.21236225962638855,0.17741550505161285,0.13623932003974915,0.23027530312538147,0.12193045020103455,0.12478557229042053,0.21236225962638855,0.2833898365497589,0.19066715240478516,0.2810431122779846,0.1413237303495407
countries,0.22319257259368896,0.22588317096233368,0.3111797273159027,0.33290645480155945,0.2186027467250824,0.2800094783306122,0.2409546971321106,0.2860431969165802,0.2406298965215683,0.2672088146209717,0.12313751876354218,0.2800094783306122,0.33290645480155945,0.23829114437103271,0.2999389171600342,0.15128466486930847
",",0.3087472915649414,0.3230119049549103,0.44245919585227966,0.4933079481124878,0.29014983773231506,0.4946078956127167,0.21358442306518555,0.28683698177337646,0.48816442489624023,0.427140474319458,0.23341737687587738,0.4946078956127167,0.4933079481124878,0.40291330218315125,0.2671184241771698,0.31091248989105225
was,0.22111038863658905,0.36671528220176697,0.3636345863342285,0.48711544275283813,0.18577122688293457,0.4069072902202606,0.23214595019817352,0.2428772896528244,0.3677520453929901,0.4508470594882965,0.18558235466480255,0.4069072902202606,0.48711544275283813,0.36053356528282166,0.3560331463813782,0.18412111699581146
blamed,0.21846549212932587,0.38744765520095825,0.19014966487884521,0.2461363822221756,0.3341178297996521,0.23866800963878632,0.1636464148759842,0.2686251997947693,0.22812628746032715,0.17393328249454498,0.2470976561307907,0.23866800963878632,0.2461363822221756,0.243118554353714,0.27031758427619934,0.14765259623527527
on,0.34226128458976746,0.33553147315979004,0.41031414270401,0.5107308030128479,0.23057447373867035,0.3966929316520691,0.1456981748342514,0.20777539908885956,0.36047765612602234,0.3848365545272827,0.22479186952114105,0.3966929316520691,0.5107308030128479,0.38702821731567383,0.23017507791519165,0.2714994251728058
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25475093722343445,0.733189046382904,0.24261851608753204,0.2115192860364914,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
secular,0.26444122195243835,0.11444281786680222,0.19456274807453156,0.24261851608753204,0.26008740067481995,0.28420427441596985,1.0,0.40337276458740234,0.16796626150608063,0.22842510044574738,0.11270026862621307,0.28420427441596985,0.24261851608753204,0.20544515550136566,0.20003129541873932,0.13290788233280182
arab,0.14742176234722137,0.15612100064754486,0.2106133997440338,0.2674407660961151,0.1571771651506424,0.22039446234703064,0.2881694734096527,0.22764678299427032,0.20004864037036896,0.1530216783285141,0.1441812664270401,0.22039446234703064,0.2674407660961151,0.21004585921764374,0.24031506478786469,0.18450474739074707
nationalism,0.25555992126464844,0.17567789554595947,0.2103620171546936,0.24141642451286316,0.3303361237049103,0.25239041447639465,0.52164226770401,0.5172287225723267,0.19291548430919647,0.21795016527175903,0.08253743499517441,0.25239041447639465,0.24141642451286316,0.14350774884223938,0.3546290993690491,0.1636960208415985
of,0.33290785551071167,0.30501094460487366,0.41548454761505127,0.733189046382904,0.23035085201263428,1.0,0.28420427441596985,0.24890418350696564,0.3886612355709076,0.5052502155303955,0.231380432844162,1.0,0.733189046382904,0.18793506920337677,0.31680163741111755,0.1826142966747284
the,0.42745697498321533,0.3589572608470917,0.535392165184021,1.0,0.25475093722343445,0.733189046382904,0.24261851608753204,0.2115192860364914,0.48381632566452026,0.5829201340675354,0.27778977155685425,0.733189046382904,1.0,0.27213576436042786,0.366199791431427,0.22068053483963013
ruling,0.2606501579284668,0.23465828597545624,0.22289033234119415,0.31106188893318176,0.2468530833721161,0.32411321997642517,0.347974568605423,0.3633130192756653,0.23282507061958313,0.17601518332958221,0.20921525359153748,0.32411321997642517,0.31106188893318176,0.11885438859462738,0.26848191022872925,0.18874719738960266
regimes,0.21191895008087158,0.16980873048305511,0.30121591687202454,0.26122304797172546,0.25914937257766724,0.2842453718185425,0.2779620289802551,0.32563939690589905,0.22865933179855347,0.22017909586429596,0.28772008419036865,0.2842453718185425,0.26122304797172546,0.07044219970703125,0.3395806849002838,0.1432064026594162
.,0.3567904531955719,0.29012542963027954,0.4645031690597534,0.5934505462646484,0.24812719225883484,0.5352458953857422,0.19620643556118011,0.26556113362312317,0.515582263469696,0.50484299659729,0.31092435121536255,0.5352458953857422,0.5934505462646484,0.3368007242679596,0.3000848889350891,0.4130953550338745
,what,happened,to,the,credibility,of,secular,politics,as,a,result,of,the,six-day,war,?
a,0.3320399522781372,0.2774496078491211,0.45503583550453186,0.5829201340675354,0.2387208789587021,0.5052502155303955,0.22842510044574738,0.2112010270357132,0.39550232887268066,1.0,0.2767398953437805,0.5052502155303955,0.5829201340675354,0.25002118945121765,0.2368277609348297,0.23916715383529663
steep,0.16902941465377808,0.14283859729766846,0.2543365955352783,0.23276886343955994,0.21890898048877716,0.17447429895401,0.1897280216217041,0.11615382134914398,0.1235947236418724,0.2259364277124405,0.15643365681171417,0.17447429895401,0.23276886343955994,0.1191374659538269,0.10930981487035751,0.08240659534931183
