,what,is,the,most,common,cause,of,injury,on,site,?
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.23149342834949493,0.24822883307933807,0.5696388483047485,0.25140535831451416,0.46853652596473694,0.20704983174800873,0.20430970191955566
2009,-0.2519478499889374,-0.22361645102500916,-0.23935742676258087,-0.17948685586452484,-0.21816851198673248,-0.2417224645614624,-0.2637706398963928,-0.2184707522392273,-0.13349726796150208,-0.19426043331623077,-0.2287932187318802
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.3636029064655304,0.2497023195028305,0.2546827793121338,0.4946078956127167,0.23598910868167877,0.49057599902153015,0.2036259025335312,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.2551237642765045,0.733189046382904,0.22097580134868622,0.5107308030128479,0.288954496383667,0.22068053483963013
fatal,0.16336281597614288,0.13640111684799194,0.19357211887836456,0.16811643540859222,0.17574115097522736,0.35416826605796814,0.16126522421836853,0.40204572677612305,0.1305520087480545,0.10848034173250198,0.16077253222465515
occupational,0.19267335534095764,0.1432134360074997,0.1973530650138855,0.18950176239013672,0.10963262617588043,0.15360389649868011,0.26960793137550354,0.2125067561864853,0.08954307436943054,0.09698092192411423,0.12401652336120605
injury,0.2131611406803131,0.17255422472953796,0.22097580134868622,0.135806143283844,0.18958532810211182,0.39428263902664185,0.21304923295974731,1.0,0.18894505500793457,0.12934617698192596,0.1309780478477478
rate,0.21845893561840057,0.24290183186531067,0.24881242215633392,0.21881666779518127,0.23076999187469482,0.29448267817497253,0.24132871627807617,0.15940310060977936,0.19178344309329987,0.12923941016197205,0.1308269053697586
among,0.21154822409152985,0.21956473588943481,0.3507058024406433,0.5484373569488525,0.25812482833862305,0.2286922186613083,0.3679063022136688,0.06250163167715073,0.2041729986667633,0.16823537647724152,0.14343059062957764
construction,0.20329850912094116,0.2135658711194992,0.2671978175640106,0.1613602638244629,0.12546473741531372,0.1435091495513916,0.2815735340118408,0.15415078401565552,0.23722872138023376,0.26058605313301086,0.13494056463241577
workers,0.21390831470489502,0.16085883975028992,0.23066683113574982,0.20624834299087524,0.16693739593029022,0.1670200675725937,0.20827822387218475,0.1336200088262558,0.14091183245182037,0.1679830551147461,0.1706571877002716
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.41416558623313904,0.23149342834949493,0.24822883307933807,0.5696388483047485,0.25140535831451416,0.46853652596473694,0.20704983174800873,0.20430970191955566
the,0.42745697498321533,0.5823672413825989,1.0,0.47635307908058167,0.2705984115600586,0.2551237642765045,0.733189046382904,0.22097580134868622,0.5107308030128479,0.288954496383667,0.22068053483963013
united,0.20036718249320984,0.22408509254455566,0.34367692470550537,0.24793334305286407,0.22863329946994781,0.21124354004859924,0.3187655806541443,0.13999129831790924,0.2703288793563843,0.1042117178440094,0.17266890406608582
states,0.21526020765304565,0.21939043700695038,0.3463578522205353,0.286347895860672,0.213662251830101,0.21784691512584686,0.30884552001953125,0.11860060691833496,0.2692825198173523,0.0841948613524437,0.16272737085819244
was,0.22111038863658905,0.5810302495956421,0.48711544275283813,0.29933857917785645,0.0880795493721962,0.1555917114019394,0.4069072902202606,0.21684524416923523,0.3909217119216919,0.24460934102535248,0.18412111699581146
nearly,0.21304303407669067,0.268917441368103,0.3409946858882904,0.41269901394844055,0.20358429849147797,0.1880844086408615,0.3455437123775482,0.07824067771434784,0.2730490267276764,0.12910392880439758,0.11670064926147461
three,0.24888746440410614,0.23072560131549835,0.43452659249305725,0.33429425954818726,0.16219571232795715,0.159719318151474,0.3844621181488037,0.1637510359287262,0.2742598354816437,0.15227417647838593,0.20928427577018738
times,0.21414996683597565,0.21773184835910797,0.29093852639198303,0.24540643393993378,0.14813515543937683,0.17154589295387268,0.24352745711803436,0.11553683131933212,0.21426425874233246,0.139579176902771,0.18880689144134521
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.4497850239276886,0.2786630392074585,0.40003344416618347,0.41498205065727234,0.26008203625679016,0.42569106817245483,0.19933675229549408,0.32716336846351624
for,0.3017193675041199,0.43268078565597534,0.4739971458911896,0.3906237483024597,0.25494384765625,0.255321204662323,0.4185989499092102,0.21874423325061798,0.36199691891670227,0.26506415009498596,0.264628142118454
all,0.41981086134910583,0.2553904056549072,0.4860881567001343,0.5116150975227356,0.246805801987648,0.2647348940372467,0.42798417806625366,0.14109265804290771,0.3832052946090698,0.20958204567432404,0.29575422406196594
workers,0.21390831470489502,0.16085883975028992,0.23066683113574982,0.20624834299087524,0.16693739593029022,0.1670200675725937,0.20827822387218475,0.1336200088262558,0.14091183245182037,0.1679830551147461,0.1706571877002716
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.35404038429260254,0.21817955374717712,0.267557293176651,0.5352458953857422,0.2166096717119217,0.49257001280784607,0.22011229395866394,0.4130953550338745
