,what,is,the,name,of,the,first,aviation,community,built,?
formed,0.15451857447624207,0.22319979965686798,0.28813210129737854,0.24992436170578003,0.2871689796447754,0.28813210129737854,0.22088022530078888,0.048024363815784454,0.17634491622447968,0.27167806029319763,0.09686966985464096
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.4127444326877594,0.2580392062664032,0.21838891506195068,0.25829681754112244,0.20430970191955566
1946,0.05132105201482773,0.10935553908348083,0.10058440268039703,0.012545997276902199,0.21576440334320068,0.10058440268039703,0.13950173556804657,0.06100235506892204,0.09728525578975677,0.12972435355186462,-0.07362531870603561
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.34503069519996643,0.24886073172092438,0.2761111557483673,0.22658206522464752,0.31091248989105225
sierra,0.15706034004688263,0.17019520699977875,0.24346426129341125,0.14144836366176605,0.23438672721385956,0.24346426129341125,0.19413045048713684,0.19497372210025787,0.19213290512561798,0.1679614633321762,0.07792355120182037
sky,0.16493305563926697,0.21240133047103882,0.26521286368370056,0.17572557926177979,0.16284865140914917,0.26521286368370056,0.17186269164085388,0.113828644156456,0.0677354633808136,0.14819997549057007,0.11270341277122498
park,0.13500720262527466,0.2076987773180008,0.24748283624649048,0.13648144900798798,0.24561640620231628,0.24748283624649048,0.22013017535209656,0.10482612252235413,0.2173295021057129,0.24183687567710876,0.13508929312229156
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.14283037185668945,0.22884899377822876,0.2293178290128708,0.14152438938617706,0.3925395607948303,0.17301979660987854,0.23899592459201813,0.13105051219463348
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.30889374017715454,0.15025636553764343,0.26023760437965393,0.17778918147087097,0.22961433231830597
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.4287874400615692,0.1918257176876068,0.2694961726665497,0.23064446449279785,0.23916715383529663
residential,0.09814727306365967,0.25022104382514954,0.25597885251045227,0.08287138491868973,0.2898116707801819,0.25597885251045227,0.17705872654914856,0.23680292069911957,0.3048820495605469,0.32466864585876465,0.08603290468454361
airport,0.1263120174407959,0.22916455566883087,0.2293178290128708,0.14283037185668945,0.22884899377822876,0.2293178290128708,0.14152438938617706,0.3925395607948303,0.17301979660987854,0.23899592459201813,0.13105051219463348
community,0.29032719135284424,0.26023760437965393,0.2601400911808014,0.146366685628891,0.2367410808801651,0.2601400911808014,0.15024319291114807,0.187704935669899,0.9999998807907104,0.16467909514904022,0.2380419820547104
born,0.16581368446350098,0.2600996494293213,0.19202874600887299,0.219647616147995,0.19769194722175598,0.19202874600887299,0.24503421783447266,0.11173757165670395,0.1217811331152916,0.20382995903491974,0.19166848063468933
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.3536086082458496,0.2796842157840729,0.2367410808801651,0.23442776501178741,0.1826142966747284
