,what,makes,static,friction,go,up,or,down,in,responce,to,contact,characteristics,between,an,object,and,the,surface,it,is,on,?
the,0.42745697498321533,0.3029823303222656,0.13053004443645477,0.2587912678718567,0.29801803827285767,0.38423117995262146,0.4174870550632477,0.3325848877429962,0.6662389636039734,0.32259222865104675,0.535392165184021,0.2564430236816406,0.27068567276000977,0.39067012071609497,0.4207492768764496,0.22418850660324097,0.5171257257461548,1.0,0.2555135488510132,0.6251175999641418,0.5823672413825989,0.5107308030128479,0.22068053483963013
static,0.2510988116264343,0.2583528459072113,1.0,0.4426155090332031,0.13477005064487457,0.2162872552871704,0.19716854393482208,0.16734376549720764,0.12364014983177185,0.26385053992271423,0.1822802573442459,0.25720521807670593,0.20974217355251312,0.19515173137187958,0.2508057653903961,0.33535662293434143,0.20515210926532745,0.13053004443645477,0.24144412577152252,0.21505509316921234,0.16519774496555328,0.24561046063899994,0.22167910635471344
friction,0.2582229971885681,0.29100707173347473,0.4426155090332031,1.0,0.16051167249679565,0.23846504092216492,0.3207191228866577,0.29308703541755676,0.1972421556711197,0.2805851697921753,0.30962538719177246,0.36684441566467285,0.29464957118034363,0.3339744508266449,0.19842107594013214,0.4479469358921051,0.2637402415275574,0.2587912678718567,0.5078360438346863,0.2744227647781372,0.23153041303157806,0.232167586684227,0.18292373418807983
increases,0.23849372565746307,0.36188170313835144,0.30601853132247925,0.4826669991016388,0.21942979097366333,0.2881269156932831,0.35870352387428284,0.2518933415412903,0.2302049696445465,0.36722007393836975,0.3197665810585022,0.2795967161655426,0.3824230432510376,0.3140258491039276,0.27725034952163696,0.3422333300113678,0.2800044119358063,0.38141000270843506,0.3400847017765045,0.25594741106033325,0.24743452668190002,0.22925710678100586,0.10270863026380539
or,0.33867141604423523,0.33774757385253906,0.19716854393482208,0.3207191228866577,0.2659039795398712,0.28756099939346313,1.0000001192092896,0.23573468625545502,0.3586423695087433,0.27108845114707947,0.38921234011650085,0.3083858788013458,0.3346415162086487,0.22536349296569824,0.3096676766872406,0.3544590175151825,0.4713204801082611,0.4174870550632477,0.30729761719703674,0.36389440298080444,0.41870999336242676,0.2897229492664337,0.32389625906944275
decreases,0.23214028775691986,0.306134432554245,0.3163745701313019,0.5010527968406677,0.22297169268131256,0.2690017521381378,0.3425740599632263,0.2855227291584015,0.2123386412858963,0.34352126717567444,0.27195873856544495,0.25783103704452515,0.3829176425933838,0.27278903126716614,0.22509969770908356,0.35017135739326477,0.23709283769130707,0.3310878574848175,0.38661786913871765,0.26619893312454224,0.232589989900589,0.21738779544830322,0.09293979406356812
in,0.30808621644973755,0.22258508205413818,0.12364014983177185,0.1972421556711197,0.22233200073242188,0.3120773434638977,0.3586423695087433,0.2321847528219223,1.0,0.2499999701976776,0.45010748505592346,0.163491353392601,0.22450780868530273,0.41100412607192993,0.2605783939361572,0.18661287426948547,0.4954058527946472,0.6662389636039734,0.20246390998363495,0.5130809545516968,0.5394441485404968,0.46853652596473694,0.20430970191955566
response,0.3532308340072632,0.22535823285579681,0.2563333511352539,0.2789574861526489,0.1614152193069458,0.23929332196712494,0.22401027381420135,0.23561999201774597,0.20744606852531433,0.7495161890983582,0.277526319026947,0.2950758635997772,0.2877265512943268,0.22493961453437805,0.2884137034416199,0.21541045606136322,0.21754570305347443,0.28909924626350403,0.14822585880756378,0.2551266849040985,0.21022158861160278,0.20197884738445282,0.2007838636636734
to,0.455847829580307,0.35811367630958557,0.1822802573442459,0.30962538719177246,0.384844571352005,0.40375280380249023,0.38921234011650085,0.33130598068237305,0.45010748505592346,0.3660595715045929,1.0,0.29403218626976013,0.27771568298339844,0.3639189600944519,0.3138085603713989,0.2821136713027954,0.48971283435821533,0.535392165184021,0.23727688193321228,0.513711154460907,0.42745086550712585,0.41031414270401,0.29463258385658264
the,0.42745697498321533,0.3029823303222656,0.13053004443645477,0.2587912678718567,0.29801803827285767,0.38423117995262146,0.4174870550632477,0.3325848877429962,0.6662389636039734,0.32259222865104675,0.535392165184021,0.2564430236816406,0.27068567276000977,0.39067012071609497,0.4207492768764496,0.22418850660324097,0.5171257257461548,1.0,0.2555135488510132,0.6251175999641418,0.5823672413825989,0.5107308030128479,0.22068053483963013
applied,0.1944669634103775,0.12662535905838013,0.24337700009346008,0.36476999521255493,0.12666767835617065,0.18725751340389252,0.28274938464164734,0.12055139243602753,0.2475845366716385,0.23879237473011017,0.26928162574768066,0.2438255250453949,0.3011793792247772,0.1714022010564804,0.22066234052181244,0.33323290944099426,0.26963624358177185,0.22842662036418915,0.2864915132522583,0.18427211046218872,0.21050988137722015,0.20456093549728394,0.15585725009441376
