,how,much,of,the,population,of,earth,ended,up,seeing,the,images,of,the,earth,and,the,moon,?
an,0.2520636022090912,0.2866077721118927,0.32280945777893066,0.4207492768764496,0.16069892048835754,0.32280945777893066,0.15274131298065186,0.15095087885856628,0.2649265229701996,0.1525462418794632,0.4207492768764496,0.11164950579404831,0.32280945777893066,0.4207492768764496,0.15274131298065186,0.2838519215583801,0.4207492768764496,0.1212901771068573,0.19793890416622162
estimated,0.21406520903110504,0.2984779179096222,0.30473583936691284,0.29184040427207947,0.5198360681533813,0.30473583936691284,0.2257169485092163,0.1967800408601761,0.20904439687728882,0.132553368806839,0.29184040427207947,0.15282641351222992,0.30473583936691284,0.29184040427207947,0.2257169485092163,0.211697056889534,0.29184040427207947,0.16689486801624298,0.18149758875370026
one-quarter,0.17021580040454865,0.19593290984630585,0.3454726040363312,0.43329599499702454,0.385843425989151,0.3454726040363312,0.16644668579101562,0.23504739999771118,0.24315080046653748,0.1911059468984604,0.43329599499702454,0.09793247282505035,0.3454726040363312,0.43329599499702454,0.16644668579101562,0.31389471888542175,0.43329599499702454,0.17415742576122284,0.2024601697921753
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.3060894012451172,1.0,0.2329314798116684,0.27636510133743286,0.32945773005485535,0.18944920599460602,0.733189046382904,0.2139289528131485,1.0,0.733189046382904,0.2329314798116684,0.5116966962814331,0.733189046382904,0.18815091252326965,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.32044094800949097,0.733189046382904,0.2801888585090637,0.3356485068798065,0.38423117995262146,0.2316836714744568,1.0,0.22232814133167267,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,1.0,0.23613092303276062,0.22068053483963013
population,0.1651063710451126,0.21015548706054688,0.3060894012451172,0.32044094800949097,1.0,0.3060894012451172,0.15941424667835236,0.10708412528038025,0.17500633001327515,0.08613409101963043,0.32044094800949097,0.11803977191448212,0.3060894012451172,0.32044094800949097,0.15941424667835236,0.23080337047576904,0.32044094800949097,0.10688017308712006,0.14449454843997955
of,0.2480744868516922,0.2671096920967102,1.0,0.733189046382904,0.3060894012451172,1.0,0.2329314798116684,0.27636510133743286,0.32945773005485535,0.18944920599460602,0.733189046382904,0.2139289528131485,1.0,0.733189046382904,0.2329314798116684,0.5116966962814331,0.733189046382904,0.18815091252326965,0.1826142966747284
the,0.33890387415885925,0.35023224353790283,0.733189046382904,1.0,0.32044094800949097,0.733189046382904,0.2801888585090637,0.3356485068798065,0.38423117995262146,0.2316836714744568,1.0,0.22232814133167267,0.733189046382904,1.0,0.2801888585090637,0.5171257257461548,1.0,0.23613092303276062,0.22068053483963013
world,0.25969967246055603,0.19682428240776062,0.2828933000564575,0.33604270219802856,0.21740390360355377,0.2828933000564575,0.2691185772418976,0.22772669792175293,0.2586722671985626,0.16394345462322235,0.33604270219802856,0.14473900198936462,0.2828933000564575,0.33604270219802856,0.2691185772418976,0.3246132433414459,0.33604270219802856,0.21634063124656677,0.17579582333564758
saw—either,0.37583446502685547,0.4171887934207916,0.3310684263706207,0.4315609931945801,0.18448369204998016,0.3310684263706207,0.20631586015224457,0.18591125309467316,0.3304983377456665,0.29384300112724304,0.4315609931945801,0.19513782858848572,0.3310684263706207,0.4315609931945801,0.20631586015224457,0.38869914412498474,0.4315609931945801,0.1983719766139984,0.2719016373157501
