,which,type,of,school,has,a,closer,teacher-child,relationship,?
perhaps,0.389040470123291,0.1953304260969162,0.3375486433506012,0.15708450973033905,0.28219881653785706,0.39144209027290344,0.2712061107158661,0.21745343506336212,0.1924205869436264,0.4211712181568146
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.22953221201896667,0.4177538752555847,0.5829201340675354,0.3551013469696045,0.19832447171211243,0.21018025279045105,0.22068053483963013
most,0.4637843072414398,0.24228660762310028,0.4178851246833801,0.13605839014053345,0.3426419198513031,0.3508910834789276,0.2633969783782959,0.1820022165775299,0.1620655208826065,0.2107497900724411
significant,0.3548031151294708,0.1892383098602295,0.318554162979126,0.15762610733509064,0.30761855840682983,0.2793380320072174,0.21395494043827057,0.16787196695804596,0.18296147882938385,0.18679562211036682
difference,0.3389971852302551,0.31506219506263733,0.28326788544654846,0.0690198466181755,0.24035421013832092,0.3304765522480011,0.3340740501880646,0.14933276176452637,0.3473694324493408,0.2842230200767517
between,0.395174115896225,0.13229937851428986,0.3737983703613281,0.09230586886405945,0.2653839886188507,0.29385313391685486,0.33542487025260925,0.08953404426574707,0.3674123287200928,0.12887074053287506
primary,0.3064635396003723,0.20088249444961548,0.23414276540279388,0.4102175533771515,0.18147581815719604,0.23038449883460999,0.18584232032299042,0.25092124938964844,0.09438678622245789,0.16286636888980865
school,0.19108018279075623,0.11896730959415436,0.2391800880432129,1.0,0.1724022775888443,0.2245093584060669,0.1089535802602768,0.4826783239841461,0.12838174402713776,0.15091250836849213
and,0.506277859210968,0.16898801922798157,0.5116966962814331,0.2752758264541626,0.43716782331466675,0.3739250600337982,0.30112797021865845,0.2866297662258148,0.3086830675601959,0.20544172823429108
secondary,0.29409417510032654,0.2363959103822708,0.219074085354805,0.5113044381141663,0.19529269635677338,0.225028395652771,0.19467435777187347,0.32854264974594116,0.10844694077968597,0.18118004500865936
school,0.19108018279075623,0.11896730959415436,0.2391800880432129,1.0,0.1724022775888443,0.2245093584060669,0.1089535802602768,0.4826783239841461,0.12838174402713776,0.15091250836849213
teaching,0.2286062091588974,0.11639692634344101,0.2911611497402191,0.4717925488948822,0.17087559401988983,0.21643459796905518,0.09915997087955475,0.612926721572876,0.229531928896904,0.20424684882164001
is,0.4457404911518097,0.3053323030471802,0.4854315221309662,0.19488026201725006,0.5668748617172241,0.658733606338501,0.2801712155342102,0.209773451089859,0.22806847095489502,0.22961433231830597
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.22953221201896667,0.4177538752555847,0.5829201340675354,0.3551013469696045,0.19832447171211243,0.21018025279045105,0.22068053483963013
relationship,0.2566430866718292,0.020544983446598053,0.22000651061534882,0.12838174402713776,0.21809683740139008,0.25691166520118713,0.27787402272224426,0.3027242124080658,1.0,0.11361731588840485
between,0.395174115896225,0.13229937851428986,0.3737983703613281,0.09230586886405945,0.2653839886188507,0.29385313391685486,0.33542487025260925,0.08953404426574707,0.3674123287200928,0.12887074053287506
teachers,0.17664629220962524,0.09933348745107651,0.27737662196159363,0.5544193387031555,0.14576952159404755,0.2509842813014984,0.10334689915180206,0.7096586227416992,0.18542999029159546,0.19522249698638916
and,0.506277859210968,0.16898801922798157,0.5116966962814331,0.2752758264541626,0.43716782331466675,0.3739250600337982,0.30112797021865845,0.2866297662258148,0.3086830675601959,0.20544172823429108
children,0.1595885455608368,0.09340640902519226,0.1978350728750229,0.32021161913871765,0.14232949912548065,0.12013130635023117,0.094880111515522,0.5014045238494873,0.2316063791513443,0.21788206696510315
.,0.45942068099975586,0.23195341229438782,0.5352458953857422,0.24214158952236176,0.4105546176433563,0.50484299659729,0.2502857446670532,0.24771922826766968,0.22535671293735504,0.4130953550338745
,which,type,of,school,has,a,closer,teacher-child,relationship,?
the,0.6521818041801453,0.21819381415843964,0.733189046382904,0.22953221201896667,0.4177538752555847,0.5829201340675354,0.3551013469696045,0.19832447171211243,0.21018025279045105,0.22068053483963013
relationship,0.2566430866718292,0.020544983446598053,0.22000651061534882,0.12838174402713776,0.21809683740139008,0.25691166520118713,0.27787402272224426,0.3027242124080658,1.0,0.11361731588840485
between,0.395174115896225,0.13229937851428986,0.3737983703613281,0.09230586886405945,0.2653839886188507,0.29385313391685486,0.33542487025260925,0.08953404426574707,0.3674123287200928,0.12887074053287506
children,0.1595885455608368,0.09340640902519226,0.1978350728750229,0.32021161913871765,0.14232949912548065,0.12013130635023117,0.094880111515522,0.5014045238494873,0.2316063791513443,0.21788206696510315
and,0.506277859210968,0.16898801922798157,0.5116966962814331,0.2752758264541626,0.43716782331466675,0.3739250600337982,0.30112797021865845,0.2866297662258148,0.3086830675601959,0.20544172823429108
their,0.4582767188549042,0.14413684606552124,0.4329940676689148,0.15657421946525574,0.2814009487628937,0.29698723554611206,0.2848423421382904,0.16930194199085236,0.23514914512634277,0.1898253709077835
teachers,0.17664629220962524,0.09933348745107651,0.27737662196159363,0.5544193387031555,0.14576952159404755,0.2509842813014984,0.10334689915180206,0.7096586227416992,0.18542999029159546,0.19522249698638916
