,how,much,did,tesla,receive,from,the,sale,of,wardenclyffe,?
eventually,0.29669713973999023,0.37073126435279846,0.36719876527786255,0.1490691900253296,0.1495787352323532,0.3226223886013031,0.42022404074668884,0.24045006930828094,0.313495934009552,0.26842761039733887,0.13642115890979767
",",0.22659391164779663,0.36182254552841187,0.3015086054801941,0.20599327981472015,0.26574233174324036,0.39760664105415344,0.4933079481124878,0.230073943734169,0.4946078956127167,0.41914570331573486,0.31091248989105225
he,0.2594625651836395,0.21974919736385345,0.3292143940925598,0.12373391538858414,0.21994081139564514,0.3314535319805145,0.4571082592010498,0.20077987015247345,0.38706058263778687,0.3606281876564026,0.2089974731206894
sold,0.1283762902021408,0.2174491286277771,0.22639408707618713,0.21118783950805664,0.21762235462665558,0.21493925154209137,0.21929198503494263,0.5023820400238037,0.2036660611629486,0.256481796503067,0.14943712949752808
wardenclyffe,0.18687520921230316,0.17714527249336243,0.2182881236076355,0.14223843812942505,0.2834396958351135,0.209026038646698,0.3380798399448395,0.25296223163604736,0.3756619095802307,0.9999999403953552,0.22984455525875092
for,0.3308170735836029,0.2994346022605896,0.318512886762619,0.13983871042728424,0.31519460678100586,0.314039945602417,0.4739971458911896,0.2401578575372696,0.4185989499092102,0.29435044527053833,0.264628142118454
$,0.18718640506267548,0.205519899725914,0.23203131556510925,0.23458653688430786,0.2615337073802948,0.10954198986291885,0.23367542028427124,0.30855605006217957,0.11268499493598938,0.16956602036952972,0.2786129117012024
"20,000",0.13387233018875122,0.14801143109798431,0.17574962973594666,0.17250485718250275,0.1706928163766861,0.29549354314804077,0.37579581141471863,0.14739012718200684,0.32472333312034607,0.22172951698303223,0.10352851450443268
(,0.1676948219537735,0.21788647770881653,0.18979617953300476,0.2156914919614792,0.2112838327884674,0.25806233286857605,0.33289089798927307,0.12543217837810516,0.35032153129577637,0.2715226113796234,0.40561532974243164
$,0.18718640506267548,0.205519899725914,0.23203131556510925,0.23458653688430786,0.2615337073802948,0.10954198986291885,0.23367542028427124,0.30855605006217957,0.11268499493598938,0.16956602036952972,0.2786129117012024
"472,500",-0.19167640805244446,-0.15638239681720734,-0.1315058320760727,-0.04617392644286156,-0.04693363234400749,-0.04883577674627304,-0.017543373629450798,-0.0299383457750082,0.008906676433980465,0.11764956265687943,0.0006275235209614038
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.17097744345664978,0.19334688782691956,0.4274188280105591,0.6662389636039734,0.2506190836429596,0.5696388483047485,0.30227306485176086,0.20430970191955566
today,0.2630672752857208,0.3173457682132721,0.30291810631752014,0.23937693238258362,0.1515500843524933,0.22722198069095612,0.35740926861763,0.21187274158000946,0.3291318118572235,0.2582411468029022,0.17338968813419342
's,-0.026164190843701363,0.06731651723384857,0.05069678649306297,0.06449045985937119,-0.03961443156003952,-0.01936490088701248,-0.01540423184633255,0.02224520407617092,-0.03817026689648628,-0.04186249524354935,-0.023395681753754616
dollars,0.23213273286819458,0.24132972955703735,0.2074357569217682,0.22256800532341003,0.21041546761989594,0.08682284504175186,0.2665082812309265,0.3225979804992676,0.1848512589931488,0.18126939237117767,0.21298730373382568
),0.17939934134483337,0.22256317734718323,0.18584993481636047,0.22692398726940155,0.21304576098918915,0.2672361731529236,0.3456730246543884,0.16453583538532257,0.3680361211299896,0.2757582664489746,0.42300865054130554
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.17949827015399933,0.24563279747962952,0.41536515951156616,0.5934505462646484,0.23010660707950592,0.5352458953857422,0.3849335312843323,0.4130953550338745
