,blue,ribbons,in,the,logo,were,used,to,represent,which,division,of,abc,?
red,0.5029496550559998,0.3258984684944153,0.18753071129322052,0.2817947566509247,0.23816972970962524,0.16219347715377808,0.1874547004699707,0.19477520883083344,0.23195229470729828,0.25236746668815613,0.14520743489265442,0.22367064654827118,0.11734385788440704,0.1495664119720459
ribbons,0.33794939517974854,1.0000001192092896,0.16755318641662598,0.22892619669437408,0.22050181031227112,0.24995726346969604,0.2626284956932068,0.24613092839717865,0.2513507902622223,0.2815749943256378,0.08270148187875748,0.16865186393260956,0.16787245869636536,0.14853838086128235
were,0.12692983448505402,0.24995726346969604,0.3815755248069763,0.3906462490558624,0.09099958837032318,1.0000001192092896,0.27636459469795227,0.31913647055625916,0.26450902223587036,0.2807837128639221,0.19424934685230255,0.34038281440734863,0.09045279771089554,0.17890112102031708
used,0.21147671341896057,0.2626284956932068,0.3090210556983948,0.3718377649784088,0.20441769063472748,0.27636459469795227,0.9999998807907104,0.40058770775794983,0.3001537322998047,0.414506196975708,0.15523329377174377,0.3075267970561981,0.16642345488071442,0.22430120408535004
to,0.2423304319381714,0.24613092839717865,0.45010748505592346,0.535392165184021,0.2215760052204132,0.31913647055625916,0.40058770775794983,1.0,0.2675820589065552,0.5345056653022766,0.20332986116409302,0.41548454761505127,0.1762417107820511,0.29463258385658264
represent,0.2312467396259308,0.2513507902622223,0.29122525453567505,0.3288072943687439,0.23039275407791138,0.26450902223587036,0.3001537322998047,0.2675820589065552,1.0,0.32871541380882263,0.16827544569969177,0.40416419506073,0.17809757590293884,0.1972627341747284
the,0.2734997570514679,0.22892619669437408,0.6662389636039734,1.0,0.2806010842323303,0.3906462490558624,0.3718377649784088,0.535392165184021,0.3288072943687439,0.6521818041801453,0.26203617453575134,0.733189046382904,0.2068762183189392,0.22068053483963013
entertainment,0.14079144597053528,0.1941293179988861,0.20493005216121674,0.19077853858470917,0.1824510097503662,0.16770689189434052,0.16933222115039825,0.19109371304512024,0.13480201363563538,0.24625138938426971,0.11899425089359283,0.1392667293548584,0.28069135546684265,0.11855241656303406
division,0.16386190056800842,0.08270148187875748,0.2658538520336151,0.26203617453575134,0.13264799118041992,0.19424934685230255,0.15523329377174377,0.20332986116409302,0.16827544569969177,0.27775809168815613,1.0,0.23579144477844238,0.24142871797084808,0.08900629729032516
",",0.23822021484375,0.24826675653457642,0.5201468467712402,0.4933079481124878,0.20034073293209076,0.36755475401878357,0.3120402991771698,0.44245919585227966,0.26053929328918457,0.3658004403114319,0.24344468116760254,0.4946078956127167,0.2097204476594925,0.31091248989105225
while,0.17916549742221832,0.20540009438991547,0.3399278521537781,0.39804592728614807,0.15622782707214355,0.3084527552127838,0.2704656422138214,0.43899232149124146,0.18117041885852814,0.38669952750205994,0.21343345940113068,0.3366928696632385,0.14978811144828796,0.21076419949531555
blue,1.0000001192092896,0.33794939517974854,0.22384510934352875,0.2734997570514679,0.32609614729881287,0.12692983448505402,0.21147671341896057,0.2423304319381714,0.2312467396259308,0.28615784645080566,0.16386190056800842,0.23528409004211426,0.20072442293167114,0.15668673813343048
ribbons,0.33794939517974854,1.0000001192092896,0.16755318641662598,0.22892619669437408,0.22050181031227112,0.24995726346969604,0.2626284956932068,0.24613092839717865,0.2513507902622223,0.2815749943256378,0.08270148187875748,0.16865186393260956,0.16787245869636536,0.14853838086128235
were,0.12692983448505402,0.24995726346969604,0.3815755248069763,0.3906462490558624,0.09099958837032318,1.0000001192092896,0.27636459469795227,0.31913647055625916,0.26450902223587036,0.2807837128639221,0.19424934685230255,0.34038281440734863,0.09045279771089554,0.17890112102031708
used,0.21147671341896057,0.2626284956932068,0.3090210556983948,0.3718377649784088,0.20441769063472748,0.27636459469795227,0.9999998807907104,0.40058770775794983,0.3001537322998047,0.414506196975708,0.15523329377174377,0.3075267970561981,0.16642345488071442,0.22430120408535004
for,0.20842581987380981,0.2726458013057709,0.4322226941585541,0.4739971458911896,0.2166183590888977,0.33592689037323,0.4236139953136444,0.4451248347759247,0.28967782855033875,0.44095608592033386,0.20737119019031525,0.4185989499092102,0.22510288655757904,0.264628142118454
abc,0.20072442293167114,0.16787245869636536,0.1697147786617279,0.2068762183189392,0.23574566841125488,0.09045279771089554,0.16642345488071442,0.1762417107820511,0.17809757590293884,0.1991286277770996,0.24142871797084808,0.14607268571853638,1.0000001192092896,0.19065172970294952
news,0.10251262784004211,0.10414201021194458,0.19753123819828033,0.2294066995382309,0.1833963543176651,0.12939873337745667,0.11565421521663666,0.2372783124446869,0.0721595361828804,0.19601459801197052,0.15417103469371796,0.1894020140171051,0.40620431303977966,0.1899169683456421
.,0.2285863310098648,0.2093261033296585,0.5591574311256409,0.5934505462646484,0.2531629800796509,0.3378238379955292,0.33111312985420227,0.4645031690597534,0.22431740164756775,0.45942068099975586,0.27855971455574036,0.5352458953857422,0.2567209303379059,0.4130953550338745
