,who,is,the,commissioner,of,the,national,football,league,?
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.25561144948005676,0.5696388483047485,0.6662389636039734,0.28915393352508545,0.2378888875246048,0.22963495552539825,0.20430970191955566
early,0.23985694348812103,0.18880519270896912,0.34442198276519775,0.14156143367290497,0.30937549471855164,0.34442198276519775,0.14001552760601044,0.1510971635580063,0.1467057168483734,0.15272949635982513
2012,0.23490679264068604,0.4531058669090271,0.46885523200035095,0.17070372402668,0.4422316551208496,0.46885523200035095,0.2114441692829132,0.1879248023033142,0.2448122352361679,0.18042556941509247
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.23213201761245728,0.4946078956127167,0.4933079481124878,0.23933029174804688,0.25483596324920654,0.20757631957530975,0.31091248989105225
nfl,0.13425186276435852,0.12479410320520401,0.15305201709270477,0.26866310834884644,0.1524115800857544,0.15305201709270477,0.26918089389801025,0.5028042793273926,0.3908804953098297,0.10610254108905792
commissioner,0.23451058566570282,0.18475627899169922,0.25271227955818176,1.0000001192092896,0.233353391289711,0.25271227955818176,0.2524222433567047,0.19230599701404572,0.32959142327308655,0.1209191158413887
roger,0.252828449010849,0.11618486046791077,0.1998666524887085,0.22977811098098755,0.19189049303531647,0.1998666524887085,0.14445462822914124,0.13009054958820343,0.1720457822084427,0.0969553217291832
goodell,0.2778538167476654,0.1953020691871643,0.2954566180706024,0.4120275378227234,0.2612045705318451,0.2954566180706024,0.262859970331192,0.25655969977378845,0.2768418490886688,0.18825720250606537
stated,0.25916561484336853,0.19155573844909668,0.2814950942993164,0.22937007248401642,0.22148488461971283,0.2814950942993164,0.1396813839673996,0.12138418108224869,0.11683543026447296,0.24280361831188202
that,0.45444270968437195,0.3995479643344879,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.20268747210502625,0.1859128326177597,0.17157399654388428,0.32716336846351624
the,0.3733934462070465,0.5823672413825989,1.0,0.25271227955818176,0.733189046382904,1.0,0.32739606499671936,0.18794101476669312,0.2724147439002991,0.22068053483963013
league,0.2161521464586258,0.1591515690088272,0.2724147439002991,0.32959142327308655,0.23588460683822632,0.2724147439002991,0.3638705611228943,0.5595965385437012,1.0000001192092896,0.15941482782363892
planned,0.189250648021698,0.17169371247291565,0.3010992109775543,0.20996451377868652,0.2487981617450714,0.3010992109775543,0.1558806449174881,0.18832539021968842,0.13655230402946472,0.16188396513462067
to,0.42656609416007996,0.42745086550712585,0.535392165184021,0.21615050733089447,0.41548454761505127,0.535392165184021,0.21067756414413452,0.14816443622112274,0.18720030784606934,0.29463258385658264
make,0.28430092334747314,0.3331545889377594,0.3146495521068573,0.1660543978214264,0.2912110388278961,0.3146495521068573,0.11724022030830383,0.08767245709896088,0.12700673937797546,0.28314751386642456
the,0.3733934462070465,0.5823672413825989,1.0,0.25271227955818176,0.733189046382904,1.0,0.32739606499671936,0.18794101476669312,0.2724147439002991,0.22068053483963013
50th,0.009327351115643978,0.1980750411748886,0.19595111906528473,0.03502976521849632,0.11716882884502411,0.19595111906528473,0.0628325417637825,0.020754611119627953,0.10506757348775864,0.004919986240565777
super,0.1819351613521576,0.15390309691429138,0.21959073841571808,0.162574902176857,0.14718765020370483,0.21959073841571808,0.2390993982553482,0.295350581407547,0.37144264578819275,0.166326642036438
bowl,0.09189514070749283,0.14233897626399994,0.21576224267482758,0.17646083235740662,0.2243070751428604,0.21576224267482758,0.2769610285758972,0.3109349310398102,0.3365440368652344,0.21118052303791046
``,0.02397952415049076,0.058766357600688934,0.029072100296616554,-0.02414378896355629,0.06780257821083069,0.029072100296616554,0.0037908339872956276,0.04665558412671089,0.03209106624126434,0.0685480609536171
spectacular,0.1632232367992401,0.2535611689090729,0.3252345323562622,0.13528044521808624,0.24861674010753632,0.3252345323562622,0.21485576033592224,0.16938520967960358,0.1388787478208542,0.14826124906539917
'',0.024401003494858742,0.0793738141655922,0.041273195296525955,-0.006760009564459324,0.13035868108272552,0.041273195296525955,0.012035216204822063,-0.04742448776960373,-0.040509432554244995,0.018684765323996544
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.26343652606010437,0.5116966962814331,0.5171257257461548,0.2608908712863922,0.1999056488275528,0.211333766579628,0.20544172823429108
that,0.45444270968437195,0.3995479643344879,0.5473989248275757,0.18016722798347473,0.41498205065727234,0.5473989248275757,0.20268747210502625,0.1859128326177597,0.17157399654388428,0.32716336846351624
