,where,are,jersey,and,guernsey
the,0.5003893971443176,0.40399202704429626,0.24937452375888824,0.5171257257461548,0.24528443813323975
customary,0.20222517848014832,0.24764949083328247,0.18668153882026672,0.21764148771762848,0.2869938313961029
law,0.21956811845302582,0.13009320199489594,0.1635212004184723,0.254730761051178,0.14197637140750885
of,0.38066378235816956,0.39081433415412903,0.2068556696176529,0.5116966962814331,0.220302551984787
normandy,0.1915065050125122,0.15755122900009155,0.21029694378376007,0.2591262459754944,0.350085973739624
was,0.20731619000434875,0.3076191842556,0.21156488358974457,0.3740963041782379,0.1618301421403885
developed,0.17737361788749695,0.217958003282547,0.09761061519384384,0.25542938709259033,0.0972427949309349
between,0.38496607542037964,0.2766000032424927,0.11149529367685318,0.40645647048950195,0.11329120397567749
the,0.5003893971443176,0.40399202704429626,0.24937452375888824,0.5171257257461548,0.24528443813323975
10th,0.19301722943782806,0.2008340060710907,0.13557438552379608,0.35748961567878723,0.08877301216125488
and,0.43859338760375977,0.48576638102531433,0.20752394199371338,1.0,0.22479410469532013
13th,0.20289261639118195,0.10800951719284058,0.11364996433258057,0.2256542295217514,0.20128409564495087
centuries,0.21223895251750946,0.23801273107528687,0.08413435518741608,0.29204583168029785,0.21038509905338287
and,0.43859338760375977,0.48576638102531433,0.20752394199371338,1.0,0.22479410469532013
survives,0.1767280250787735,0.2452164739370346,0.05220659822225571,0.22310441732406616,0.1066834032535553
today,0.27820688486099243,0.39445018768310547,0.13238753378391266,0.37503334879875183,0.1990831196308136
through,0.331196665763855,0.2637137472629547,0.13761097192764282,0.3666759729385376,0.04733411222696304
the,0.5003893971443176,0.40399202704429626,0.24937452375888824,0.5171257257461548,0.24528443813323975
legal,0.19576337933540344,0.15840981900691986,0.1394144892692566,0.2664804756641388,0.21475979685783386
systems,0.1956300586462021,0.29607290029525757,0.06711973249912262,0.27479326725006104,0.1332913488149643
of,0.38066378235816956,0.39081433415412903,0.2068556696176529,0.5116966962814331,0.220302551984787
jersey,0.15654511749744415,0.14831630885601044,1.0,0.20752394199371338,0.4353669583797455
and,0.43859338760375977,0.48576638102531433,0.20752394199371338,1.0,0.22479410469532013
guernsey,0.12923254072666168,0.14941085875034332,0.4353669583797455,0.22479410469532013,1.0000001192092896
in,0.5344807505607605,0.3841303884983063,0.27480635046958923,0.4954058527946472,0.19130995869636536
the,0.5003893971443176,0.40399202704429626,0.24937452375888824,0.5171257257461548,0.24528443813323975
channel,0.1699683666229248,0.14213791489601135,0.25184884667396545,0.24836963415145874,0.4140463173389435
islands,0.18639019131660461,0.23168352246284485,0.22375062108039856,0.2816464602947235,0.48821720480918884
.,0.41390106081962585,0.3452940285205841,0.2237938493490219,0.588965117931366,0.23189446330070496
