,what,is,the,island,off,of,the,german,shore,of,the,rhine,that,this,warm,and,cold,water,meet,?
the,0.42745697498321533,0.5823672413825989,1.0,0.2837921977043152,0.2773582935333252,0.733189046382904,1.0,0.256483793258667,0.3241000175476074,0.733189046382904,1.0,0.30735138058662415,0.5473989248275757,0.6274310946464539,0.2764509320259094,0.5171257257461548,0.2897129952907562,0.297396719455719,0.312436044216156,0.22068053483963013
flow,0.1798735409975052,0.26788079738616943,0.314039409160614,0.0772620216012001,0.1783601939678192,0.2407451719045639,0.314039409160614,0.14232219755649567,0.17390994727611542,0.2407451719045639,0.314039409160614,0.20253489911556244,0.2618546485900879,0.2958115339279175,0.3077925443649292,0.2773895561695099,0.23146981000900269,0.4377398192882538,0.15599463880062103,0.10458291321992874
reappears,0.2690603733062744,0.3080800473690033,0.3564320206642151,0.17948710918426514,0.24860785901546478,0.21980880200862885,0.3564320206642151,0.08706682175397873,0.1729070395231247,0.21980880200862885,0.3564320206642151,0.12473164498806,0.37265270948410034,0.3292039632797241,0.20374427735805511,0.2535599172115326,0.14110167324543,0.1428152322769165,0.28438061475753784,0.2307024896144867
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.2772442400455475,0.46575701236724854,0.3966929316520691,0.5107308030128479,0.191445454955101,0.28685468435287476,0.3966929316520691,0.5107308030128479,0.20067645609378815,0.42569106817245483,0.4193967580795288,0.18172287940979004,0.4077630043029785,0.2226557582616806,0.18117135763168335,0.23745818436145782,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,1.0,0.2837921977043152,0.2773582935333252,0.733189046382904,1.0,0.256483793258667,0.3241000175476074,0.733189046382904,1.0,0.30735138058662415,0.5473989248275757,0.6274310946464539,0.2764509320259094,0.5171257257461548,0.2897129952907562,0.297396719455719,0.312436044216156,0.22068053483963013
surface,0.23580394685268402,0.29345643520355225,0.2555135488510132,0.15259234607219696,0.2620961368083954,0.24204103648662567,0.2555135488510132,0.1265285462141037,0.3138618767261505,0.24204103648662567,0.2555135488510132,0.18005478382110596,0.30130770802497864,0.28005295991897583,0.32468488812446594,0.2626544237136841,0.27472445368766785,0.5213322043418884,0.12126997858285904,0.14613434672355652
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.19854524731636047,0.25239914655685425,0.42558613419532776,0.457212895154953,0.13090145587921143,0.1719444990158081,0.42558613419532776,0.457212895154953,0.19469857215881348,0.3183255195617676,0.32544323801994324,0.14534932374954224,0.3571503460407257,0.19373497366905212,0.14569826424121857,0.2383149415254593,0.21978627145290375
the,0.42745697498321533,0.5823672413825989,1.0,0.2837921977043152,0.2773582935333252,0.733189046382904,1.0,0.256483793258667,0.3241000175476074,0.733189046382904,1.0,0.30735138058662415,0.5473989248275757,0.6274310946464539,0.2764509320259094,0.5171257257461548,0.2897129952907562,0.297396719455719,0.312436044216156,0.22068053483963013
northern,0.19332477450370789,0.25616052746772766,0.3422943353652954,0.2975797653198242,0.12742003798484802,0.32586339116096497,0.3422943353652954,0.1441795378923416,0.3454476296901703,0.32586339116096497,0.3422943353652954,0.22761300206184387,0.19812585413455963,0.21539166569709778,0.23552173376083374,0.2852024435997009,0.20256802439689636,0.19481278955936432,0.1502893716096878,0.13149388134479523
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.1752566248178482,0.15256637334823608,0.35032153129577637,0.33289089798927307,0.21152326464653015,0.16636985540390015,0.35032153129577637,0.33289089798927307,0.12381801009178162,0.2264307141304016,0.3388223350048065,0.2119666486978531,0.4862271547317505,0.1784229427576065,0.16755586862564087,0.21657976508140564,0.40561532974243164
