,why,is,shine-dalgarno,sequence,recognition,important,?
small,0.2009722888469696,0.32085540890693665,0.22275438904762268,0.19256150722503662,0.1548699289560318,0.30617281794548035,0.13914890587329865
subunit,0.16596731543540955,0.21828827261924744,0.21592096984386444,0.3800566792488098,0.2054753601551056,0.1308223307132721,0.1541762799024582
ribosomal,0.2184397578239441,0.21057568490505219,0.2945237159729004,0.4523164629936218,0.2519163489341736,0.2550216317176819,0.19425663352012634
rnas,0.1617858111858368,0.20957785844802856,0.2588895261287689,0.4314368963241577,0.21393883228302002,0.28405389189720154,0.13039375841617584
in,0.23227278888225555,0.5394441485404968,0.29790470004081726,0.1686658412218094,0.29843124747276306,0.3796374499797821,0.20430970191955566
several,0.22216977179050446,0.20361857116222382,0.21124787628650665,0.22537121176719666,0.25021472573280334,0.2997928559780121,0.15595775842666626
chlorophyta,0.20520271360874176,0.19574907422065735,0.3485561013221741,0.3189277946949005,0.21937760710716248,0.19633297622203827,0.13575826585292816
and,0.27806392312049866,0.3859752118587494,0.27915841341018677,0.1929190307855606,0.26816076040267944,0.37549954652786255,0.20544172823429108
euglenid,0.25029805302619934,0.2650139331817627,0.3521707057952881,0.27212756872177124,0.23469381034374237,0.2663094103336334,0.19362717866897583
chloroplasts,0.22792738676071167,0.22550933063030243,0.33479318022727966,0.3495577275753021,0.22353699803352356,0.2326827198266983,0.13049766421318054
lack,0.3744938373565674,0.21955184638500214,0.20907963812351227,0.20792025327682495,0.24160988628864288,0.27443739771842957,0.16953514516353607
motifs,0.19749954342842102,0.1625635027885437,0.2889085114002228,0.29331234097480774,0.28650593757629395,0.21397309005260468,0.17096665501594543
for,0.3869043290615082,0.43268078565597534,0.25616297125816345,0.2397586554288864,0.340660035610199,0.3458578288555145,0.264628142118454
shine-dalgarno,0.22175976634025574,0.24140127003192902,0.9999999403953552,0.26131290197372437,0.25641292333602905,0.24539969861507416,0.22786560654640198
sequence,0.21161934733390808,0.19034716486930847,0.26131290197372437,1.0,0.2533106803894043,0.18087460100650787,0.1508881151676178
recognition,0.2670753300189972,0.1883109211921692,0.25641292333602905,0.2533106803894043,1.0,0.23467834293842316,0.20074869692325592
",",0.2827242314815521,0.4691906273365021,0.38183829188346863,0.1746913194656372,0.23705700039863586,0.3452564477920532,0.31091248989105225
which,0.4444611668586731,0.4457404911518097,0.26677513122558594,0.34560152888298035,0.3267291784286499,0.37798872590065,0.25814583897590637
is,0.26410171389579773,1.0,0.24140127003192902,0.19034716486930847,0.1883109211921692,0.350485235452652,0.22961433231830597
considered,0.2894703149795532,0.4096149802207947,0.1717308759689331,0.20568449795246124,0.30953431129455566,0.4020090103149414,0.19909770786762238
essential,0.27356770634651184,0.23025840520858765,0.19891513884067535,0.2049100548028946,0.24645036458969116,0.4316559433937073,0.17944687604904175
for,0.3869043290615082,0.43268078565597534,0.25616297125816345,0.2397586554288864,0.340660035610199,0.3458578288555145,0.264628142118454
translation,0.1592843383550644,0.24474994838237762,0.19213062524795532,0.26864323019981384,0.19802138209342957,0.18344655632972717,0.22574150562286377
initiation,0.20674645900726318,0.1729700118303299,0.17977195978164673,0.2709701359272003,0.36771953105926514,0.19747723639011383,0.19637425243854523
in,0.23227278888225555,0.5394441485404968,0.29790470004081726,0.1686658412218094,0.29843124747276306,0.3796374499797821,0.20430970191955566
most,0.32689353823661804,0.41165053844451904,0.23315559327602386,0.15998530387878418,0.24535296857357025,0.5079463124275208,0.2107497900724411
chloroplasts,0.22792738676071167,0.22550933063030243,0.33479318022727966,0.3495577275753021,0.22353699803352356,0.2326827198266983,0.13049766421318054
and,0.27806392312049866,0.3859752118587494,0.27915841341018677,0.1929190307855606,0.26816076040267944,0.37549954652786255,0.20544172823429108
prokaryotes,0.27288469672203064,0.2259817272424698,0.29657915234565735,0.437339723110199,0.2570308446884155,0.28702569007873535,0.22009602189064026
.,0.32909876108169556,0.4569662809371948,0.34770438075065613,0.1729068011045456,0.23448753356933594,0.33938494324684143,0.4130953550338745
