,approximately,how,many,names,were,signed,on,an,online,petition,on,the,parliamentary,website,in,response,to,the,closing,of,the,musical,instruments,gallery,?
an,0.17945154011249542,0.2520636022090912,0.2465583086013794,0.13063324987888336,0.08893381804227829,0.18243291974067688,0.3192969560623169,1.0,0.19921766221523285,0.22208259999752045,0.3192969560623169,0.4207492768764496,0.1632050722837448,0.10321109741926193,0.2605783939361572,0.2884137034416199,0.3138085603713989,0.4207492768764496,0.18748877942562103,0.32280945777893066,0.4207492768764496,0.14780336618423462,0.135096937417984,0.1280616819858551,0.19793890416622162
online,0.15930621325969696,0.14425379037857056,0.19279514253139496,0.07832634449005127,0.13065189123153687,0.09708452224731445,0.19148977100849152,0.19921766221523285,1.0,0.2327606976032257,0.19148977100849152,0.22717516124248505,0.17607419192790985,0.36140376329421997,0.23201559484004974,0.14626531302928925,0.17543962597846985,0.22717516124248505,0.16744524240493774,0.19929544627666473,0.22717516124248505,0.10266109555959702,0.11373976618051529,0.28977346420288086,0.2474360167980194
petition,0.11216950416564941,0.22306537628173828,0.21219001710414886,0.1514669805765152,0.17406687140464783,0.24349580705165863,0.2693489193916321,0.22208259999752045,0.2327606976032257,1.0,0.2693489193916321,0.28466808795928955,0.3974536061286926,0.1860715001821518,0.24708101153373718,0.21761777997016907,0.2848791182041168,0.28466808795928955,0.273929238319397,0.25472426414489746,0.28466808795928955,0.16950513422489166,0.1476062834262848,0.13596640527248383,0.2079213708639145
of,0.34526896476745605,0.2480744868516922,0.37253960967063904,0.2515542805194855,0.34038281440734863,0.19593118131160736,0.3966929316520691,0.32280945777893066,0.19929544627666473,0.25472426414489746,0.3966929316520691,0.733189046382904,0.33805084228515625,0.215549036860466,0.5696388483047485,0.21864040195941925,0.41548454761505127,0.733189046382904,0.18359942734241486,1.0,0.733189046382904,0.2380346953868866,0.24177105724811554,0.1971534639596939,0.1826142966747284
over,0.41201671957969666,0.31446483731269836,0.47131630778312683,0.21017426252365112,0.30589473247528076,0.18847309052944183,0.39810362458229065,0.22070914506912231,0.1786051094532013,0.20617640018463135,0.39810362458229065,0.39856547117233276,0.1904502660036087,0.08153852820396423,0.3605569899082184,0.26852208375930786,0.38635820150375366,0.39856547117233276,0.2394612431526184,0.36136594414711,0.39856547117233276,0.11670929193496704,0.2091437131166458,0.17859697341918945,0.25742942094802856
"5,100",0.2217988520860672,0.05288413539528847,0.19244484603405,0.1525544375181198,0.2811861038208008,0.04629730060696602,0.0796479657292366,0.10839902609586716,0.041182469576597214,0.12118341773748398,0.0796479657292366,0.22394731640815735,0.1140425056219101,0.057361096143722534,0.1756676435470581,0.08208975940942764,0.0987766683101654,0.22394731640815735,0.1445845514535904,0.23127153515815735,0.22394731640815735,0.12117833644151688,0.15850083529949188,0.12983907759189606,0.09581829607486725
names,0.09050427377223969,0.15838667750358582,0.2901678681373596,1.0000001192092896,0.2554905414581299,0.16287104785442352,0.16210991144180298,0.13063324987888336,0.07832634449005127,0.1514669805765152,0.16210991144180298,0.27965226769447327,0.16292808949947357,0.18676859140396118,0.19826655089855194,0.0723070502281189,0.24237842857837677,0.27965226769447327,0.18859492242336273,0.2515542805194855,0.27965226769447327,0.14912553131580353,0.18813486397266388,0.13717371225357056,0.16607333719730377
on,0.20797507464885712,0.32655060291290283,0.32520127296447754,0.16210991144180298,0.2774328887462616,0.25481486320495605,0.9999999403953552,0.3192969560623169,0.19148977100849152,0.2693489193916321,0.9999999403953552,0.5107308030128479,0.2180326133966446,0.20945650339126587,0.46853652596473694,0.20197884738445282,0.41031414270401,0.5107308030128479,0.23215118050575256,0.3966929316520691,0.5107308030128479,0.19468769431114197,0.179425910115242,0.1865847259759903,0.2714994251728058
the,0.33137547969818115,0.33890387415885925,0.4335206151008606,0.27965226769447327,0.3906462490558624,0.20675969123840332,0.5107308030128479,0.4207492768764496,0.22717516124248505,0.28466808795928955,0.5107308030128479,1.0,0.2708897888660431,0.2647613286972046,0.6662389636039734,0.28909924626350403,0.535392165184021,1.0,0.29856032133102417,0.733189046382904,1.0,0.2295164167881012,0.21890103816986084,0.19251246750354767,0.22068053483963013
parliamentary,0.21418757736682892,0.1573973000049591,0.1862260401248932,0.16292808949947357,0.1728878766298294,0.1978399008512497,0.2180326133966446,0.1632050722837448,0.17607419192790985,0.3974536061286926,0.2180326133966446,0.2708897888660431,1.0,0.1765657365322113,0.2472391128540039,0.24330011010169983,0.18938039243221283,0.2708897888660431,0.18194898962974548,0.33805084228515625,0.2708897888660431,0.1882430762052536,0.1704682558774948,0.21070456504821777,0.1612216979265213
