,what,did,kublai,'s,government,have,to,balance,between,?
kublai,0.24627302587032318,0.2875992953777313,0.9999999403953552,-0.017352506518363953,0.3054119348526001,0.20064571499824524,0.2918815314769745,0.13226455450057983,0.14320039749145508,0.14562560617923737
's,0.02692362666130066,0.05069678649306297,-0.017352506518363953,0.9999999403953552,0.00033092309604398906,-0.02807004563510418,0.03782717138528824,0.03993687778711319,0.006096371449530125,-0.023395681753754616
government,0.28074538707733154,0.2792121469974518,0.3054119348526001,0.00033092309604398906,1.0000001192092896,0.23351164162158966,0.28343796730041504,0.2065289169549942,0.2022634893655777,0.18851417303085327
after,0.21973377466201782,0.30330467224121094,0.31932923197746277,-0.055672239512205124,0.26047283411026,0.2838422358036041,0.37890323996543884,0.09592556953430176,0.2667563259601593,0.16608688235282898
1262,0.2109667807817459,0.10685735195875168,0.13577787578105927,0.004146890714764595,-0.11178092658519745,0.0761771947145462,0.08386500924825668,0.07590671628713608,-0.024611560627818108,0.24691042304039001
was,0.22111038863658905,0.41399896144866943,0.3139400780200958,0.008974763564765453,0.2995857298374176,0.2863433063030243,0.3636345863342285,0.16826172173023224,0.24048170447349548,0.18412111699581146
a,0.3320399522781372,0.2552328109741211,0.1659851223230362,0.04866964742541313,0.25158295035362244,0.338716596364975,0.45503583550453186,0.28219178318977356,0.29385313391685486,0.23916715383529663
compromise,0.31433627009391785,0.29698771238327026,0.16684474050998688,0.007141305599361658,0.31699633598327637,0.31890225410461426,0.30321523547172546,0.3454132676124573,0.2800019085407257,0.3125070035457611
between,0.2462156116962433,0.16542956233024597,0.14320039749145508,0.006096371449530125,0.2022634893655777,0.3203330636024475,0.3639189600944519,0.24317757785320282,0.9999999403953552,0.12887074053287506
preserving,0.2432088553905487,0.17120230197906494,0.10714968293905258,-0.05142374336719513,0.21353869140148163,0.2942964732646942,0.2984101474285126,0.24280661344528198,0.12229347229003906,0.15227147936820984
mongol,0.15870186686515808,0.17534953355789185,0.633603572845459,-0.05976467952132225,0.2152978926897049,0.21585817635059357,0.2125127911567688,0.18094269931316376,0.1582590937614441,0.12849251925945282
interests,0.2921333611011505,0.2730799615383148,0.13069431483745575,0.002545379102230072,0.3058888614177704,0.32602810859680176,0.3245762884616852,0.29203206300735474,0.2587311267852783,0.21539683640003204
in,0.30808621644973755,0.2593238651752472,0.2070179283618927,-0.037580832839012146,0.3066793978214264,0.36843645572662354,0.45010748505592346,0.1693015992641449,0.41100412607192993,0.20430970191955566
china,0.13832437992095947,0.16472692787647247,0.4708422124385834,0.023593749850988388,0.30318155884742737,0.24882429838180542,0.1938052773475647,0.1819537729024887,0.20704808831214905,0.18007943034172058
and,0.31309178471565247,0.34479495882987976,0.25078991055488586,0.06895173341035843,0.2859337627887726,0.4711785912513733,0.48971283435821533,0.2617957592010498,0.40645647048950195,0.20544172823429108
satisfying,0.40642333030700684,0.25222665071487427,0.12402065098285675,0.01822611689567566,0.20060274004936218,0.32924947142601013,0.2823219895362854,0.3846282958984375,0.17481039464473724,0.3548987805843353
the,0.42745697498321533,0.34736719727516174,0.32886171340942383,-0.01540423184633255,0.31798112392425537,0.40389683842658997,0.535392165184021,0.2858610153198242,0.39067012071609497,0.22068053483963013
demands,0.1837000846862793,0.31823405623435974,0.30105048418045044,0.05803516507148743,0.36077404022216797,0.196868896484375,0.37096187472343445,0.3076849579811096,0.24724885821342468,0.11488337814807892
of,0.33290785551071167,0.2513895630836487,0.231930211186409,-0.03817026689648628,0.3475167155265808,0.3802283704280853,0.41548454761505127,0.2267034351825714,0.3737983703613281,0.1826142966747284
his,0.26976513862609863,0.3546801507472992,0.3874718248844147,0.047556519508361816,0.23050804436206818,0.25689181685447693,0.3715193271636963,0.23756293952465057,0.15603972971439362,0.18075084686279297
chinese,0.11643128097057343,0.19065357744693756,0.38022753596305847,0.01673142798244953,0.28498339653015137,0.24307501316070557,0.17416036128997803,0.1289023458957672,0.12929083406925201,0.20843194425106049
subjects,0.3538523018360138,0.2734087407588959,0.18545344471931458,0.04970385879278183,0.22707942128181458,0.304191529750824,0.3006519377231598,0.2840578556060791,0.1711016595363617,0.26547127962112427
.,0.3567904531955719,0.35288307070732117,0.2311694622039795,-0.003708066651597619,0.2521961033344269,0.41614407300949097,0.4645031690597534,0.24091094732284546,0.30295518040657043,0.4130953550338745
