,how,many,people,were,in,french,north,american,colonies,?
at,0.2154216170310974,0.2716965675354004,0.2582513391971588,0.2947486639022827,0.4374977946281433,0.17825756967067719,0.2535056173801422,0.16126874089241028,0.16224800050258636,0.21978627145290375
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.6662389636039734,0.2555147111415863,0.36298373341560364,0.24562937021255493,0.30451729893684387,0.22068053483963013
start,0.29369035363197327,0.24153132736682892,0.25992536544799805,0.25605452060699463,0.29979339241981506,0.15454748272895813,0.18893708288669586,0.13336677849292755,0.2282978743314743,0.26634979248046875
of,0.2480744868516922,0.37253960967063904,0.3251037895679474,0.34038281440734863,0.5696388483047485,0.19450366497039795,0.3604778051376343,0.22180068492889404,0.2890703082084656,0.1826142966747284
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.6662389636039734,0.2555147111415863,0.36298373341560364,0.24562937021255493,0.30451729893684387,0.22068053483963013
war,0.22947508096694946,0.28938722610473633,0.2635250985622406,0.3151806890964508,0.29904094338417053,0.2536753714084625,0.2980347275733948,0.2592540383338928,0.35548219084739685,0.15510529279708862
",",0.22659391164779663,0.40610817074775696,0.36644625663757324,0.36755475401878357,0.5201468467712402,0.28806620836257935,0.31834840774536133,0.3048616647720337,0.23384660482406616,0.31091248989105225
the,0.33890387415885925,0.4335206151008606,0.36838498711586,0.3906462490558624,0.6662389636039734,0.2555147111415863,0.36298373341560364,0.24562937021255493,0.30451729893684387,0.22068053483963013
french,0.14884154498577118,0.2158181369304657,0.16166198253631592,0.22002479434013367,0.22093388438224792,1.0000001192092896,0.14223402738571167,0.3777676820755005,0.20400510728359222,0.1386883556842804
north,0.12114071100950241,0.20274685323238373,0.2435666173696518,0.22497540712356567,0.39050599932670593,0.14223402738571167,1.0,0.2107747346162796,0.2843923270702362,0.11829731613397598
american,0.22688741981983185,0.22814549505710602,0.11335212737321854,0.18710100650787354,0.22871561348438263,0.3777676820755005,0.2107747346162796,1.0000001192092896,0.1589435338973999,0.18877598643302917
colonies,0.17465266585350037,0.3137241303920746,0.27328699827194214,0.32270577549934387,0.28602269291877747,0.20400510728359222,0.2843923270702362,0.1589435338973999,1.0,0.07886616140604019
had,0.2549138069152832,0.40130746364593506,0.2759630084037781,0.6150832772254944,0.385026752948761,0.1956298053264618,0.18847866356372833,0.20283499360084534,0.2382207065820694,0.20728366076946259
