,how,much,did,sky,bid,to,win,the,4,broadcast,pacakges,they,bought,?
sky,0.17595531046390533,0.1201200932264328,0.19922639429569244,1.0,0.11311442404985428,0.17630793154239655,0.1310320943593979,0.26521286368370056,0.03276825323700905,0.24367868900299072,0.21731773018836975,0.2187734991312027,0.17265699803829193,0.11270341277122498
picked,0.25600728392601013,0.12035854160785675,0.21608832478523254,0.19645366072654724,0.16240739822387695,0.28333398699760437,0.24500532448291779,0.32128480076789856,0.09660006314516068,0.2643783390522003,0.19992761313915253,0.31191691756248474,0.2694307863712311,0.11181110143661499
up,0.2819872200489044,0.310188889503479,0.21613863110542297,0.20761466026306152,0.2100479155778885,0.40375280380249023,0.23882052302360535,0.38423117995262146,0.024574676528573036,0.1665463149547577,0.23996949195861816,0.32603394985198975,0.17629386484622955,0.1819818764925003
the,0.33890387415885925,0.35023224353790283,0.34736719727516174,0.26521286368370056,0.19956929981708527,0.535392165184021,0.28308698534965515,1.0,0.15499350428581238,0.2713715434074402,0.34319007396698,0.49925389885902405,0.2111053764820099,0.22068053483963013
remaining,0.1792374700307846,0.25843721628189087,0.27409452199935913,0.17278023064136505,0.15151827037334442,0.3465334177017212,0.1874094307422638,0.45105910301208496,0.18295317888259888,0.16930073499679565,0.22282607853412628,0.337417870759964,0.20208075642585754,0.16961920261383057
four,0.1955733299255371,0.16091476380825043,0.20222175121307373,0.1827463060617447,0.1435181051492691,0.2803118824958801,0.22124555706977844,0.40344667434692383,0.05966099724173546,0.19108189642429352,0.28668224811553955,0.3668050169944763,0.17188704013824463,0.14532537758350372
for,0.3308170735836029,0.2994346022605896,0.318512886762619,0.15601696074008942,0.2460007220506668,0.4451248347759247,0.33295753598213196,0.4739971458911896,0.03985929489135742,0.2546502649784088,0.25725287199020386,0.3466525673866272,0.2081647664308548,0.264628142118454
£1.3bn,0.1422513723373413,0.10135704278945923,-0.019901880994439125,0.0764067992568016,0.1263331174850464,0.032065216451883316,0.01589266024529934,0.02990879863500595,0.09245355427265167,0.13154160976409912,0.2312026023864746,-0.0064590368419885635,0.12462243437767029,0.19875140488147736
.,0.3287222981452942,0.3374604284763336,0.35288307070732117,0.19117935001850128,0.1806059330701828,0.4645031690597534,0.25577837228775024,0.5934505462646484,0.0835196003317833,0.2280997633934021,0.30926093459129333,0.4510921239852905,0.24172939360141754,0.4130953550338745
,how,much,did,sky,bid,to,win,the,4,broadcast,pacakges,they,bought,?
in,0.2601168751716614,0.2725222110748291,0.2593238651752472,0.20324937999248505,0.18770122528076172,0.45010748505592346,0.2503834664821625,0.6662389636039734,0.08310048282146454,0.26723843812942505,0.3121066391468048,0.4330179989337921,0.2049272358417511,0.20430970191955566
february,0.1331711709499359,0.16332599520683289,0.25426602363586426,0.09405572712421417,0.1757965236902237,0.20325583219528198,0.24044720828533173,0.26483774185180664,0.23629797995090485,0.26733461022377014,0.14277251064777374,0.15680894255638123,0.13773474097251892,0.29594847559928894
