,whatare,the,electrostatic,and,magnetic,force,awritten,as,the,sum,of,?
this,0.45497211813926697,0.6274310946464539,0.2968689799308777,0.42353692650794983,0.2705516219139099,0.2764977812767029,0.3004000782966614,0.43993282318115234,0.6274310946464539,0.31428536772727966,0.45148900151252747,0.3155723512172699
force,0.2809605896472931,0.2800885736942291,0.37528446316719055,0.24372100830078125,0.32744529843330383,1.0000001192092896,0.1273629367351532,0.19216643273830414,0.2800885736942291,0.17877601087093353,0.27094775438308716,0.1650998443365097
can,0.31417950987815857,0.312528520822525,0.2912216782569885,0.3675691485404968,0.2819761633872986,0.18594154715538025,0.20490474998950958,0.3245031237602234,0.312528520822525,0.24193312227725983,0.2603091299533844,0.3226337134838104
be,0.3346317708492279,0.4248143136501312,0.2501307725906372,0.41766801476478577,0.2283020317554474,0.16664405167102814,0.26730144023895264,0.5230465531349182,0.4248143136501312,0.2493368238210678,0.33904364705085754,0.3324260413646698
written,0.21301661431789398,0.2582438886165619,0.12334159761667252,0.26158156991004944,0.16979411244392395,0.12168485671281815,0.8934438228607178,0.27031588554382324,0.2582438886165619,0.26332372426986694,0.20874574780464172,0.21451954543590546
as,0.3240176737308502,0.48381632566452026,0.19856277108192444,0.49487000703811646,0.1841413378715515,0.19216643273830414,0.29692497849464417,1.0,0.48381632566452026,0.13355539739131927,0.3886612355709076,0.27043893933296204
a,0.3699967861175537,0.5829201340675354,0.2792849838733673,0.3739250600337982,0.19198331236839294,0.2451154738664627,0.2558264136314392,0.39550232887268066,0.5829201340675354,0.21291501820087433,0.5052502155303955,0.23916715383529663
sum,0.29260438680648804,0.1759771853685379,0.30148983001708984,0.2477797120809555,0.2811175584793091,0.17877601087093353,0.2511635720729828,0.13355539739131927,0.1759771853685379,1.0,0.22365950047969818,0.1473705917596817
of,0.369271457195282,0.733189046382904,0.2530308961868286,0.5116966962814331,0.16237565875053406,0.27094775438308716,0.22184871137142181,0.3886612355709076,0.733189046382904,0.22365950047969818,1.0,0.1826142966747284
the,0.4292442202568054,1.0,0.21762798726558685,0.5171257257461548,0.18611927330493927,0.2800885736942291,0.29257631301879883,0.48381632566452026,1.0,0.1759771853685379,0.733189046382904,0.22068053483963013
electrostatic,0.22466452419757843,0.21762798726558685,1.0,0.21460993587970734,0.6033471822738647,0.37528446316719055,0.1808808147907257,0.19856277108192444,0.21762798726558685,0.30148983001708984,0.2530308961868286,0.1316060572862625
force,0.2809605896472931,0.2800885736942291,0.37528446316719055,0.24372100830078125,0.32744529843330383,1.0000001192092896,0.1273629367351532,0.19216643273830414,0.2800885736942291,0.17877601087093353,0.27094775438308716,0.1650998443365097
(,0.31694716215133667,0.33289089798927307,0.18568438291549683,0.4862271547317505,0.15046408772468567,0.17529799044132233,0.2954283356666565,0.32029855251312256,0.33289089798927307,0.17830850183963776,0.35032153129577637,0.40561532974243164
due,0.23528362810611725,0.22577603161334991,0.22283223271369934,0.3082410395145416,0.16547855734825134,0.19519060850143433,0.11038710922002792,0.16304998099803925,0.22577603161334991,0.2175995111465454,0.2533245384693146,0.10954997688531876
to,0.3976670801639557,0.535392165184021,0.22260159254074097,0.48971283435821533,0.23495057225227356,0.24496492743492126,0.22253146767616272,0.42092081904411316,0.535392165184021,0.23063914477825165,0.41548454761505127,0.29463258385658264
the,0.4292442202568054,1.0,0.21762798726558685,0.5171257257461548,0.18611927330493927,0.2800885736942291,0.29257631301879883,0.48381632566452026,1.0,0.1759771853685379,0.733189046382904,0.22068053483963013
electric,0.1989213526248932,0.21345196664333344,0.620951235294342,0.212884783744812,0.4703453481197357,0.19785821437835693,0.19184453785419464,0.18756335973739624,0.21345196664333344,0.2283766269683838,0.17329032719135284,0.15674720704555511
field,0.2544265687465668,0.2105809599161148,0.38474178314208984,0.26487240195274353,0.45372605323791504,0.2702903151512146,0.10275906324386597,0.21304655075073242,0.2105809599161148,0.2017972320318222,0.20410659909248352,0.11279727518558502
),0.34407365322113037,0.3456730246543884,0.1602943241596222,0.4961937665939331,0.12249135226011276,0.19671578705310822,0.29394611716270447,0.32161882519721985,0.3456730246543884,0.18748140335083008,0.3680361211299896,0.42300865054130554
and,0.3640523850917816,0.5171257257461548,0.21460993587970734,1.0,0.1990627944469452,0.24372100830078125,0.30823811888694763,0.49487000703811646,0.5171257257461548,0.2477797120809555,0.5116966962814331,0.20544172823429108
the,0.4292442202568054,1.0,0.21762798726558685,0.5171257257461548,0.18611927330493927,0.2800885736942291,0.29257631301879883,0.48381632566452026,1.0,0.1759771853685379,0.733189046382904,0.22068053483963013
magnetic,0.2536516487598419,0.18611927330493927,0.6033471822738647,0.1990627944469452,1.0,0.32744529843330383,0.1986478567123413,0.1841413378715515,0.18611927330493927,0.2811175584793091,0.16237565875053406,0.10858146101236343
force,0.2809605896472931,0.2800885736942291,0.37528446316719055,0.24372100830078125,0.32744529843330383,1.0000001192092896,0.1273629367351532,0.19216643273830414,0.2800885736942291,0.17877601087093353,0.27094775438308716,0.1650998443365097
(,0.31694716215133667,0.33289089798927307,0.18568438291549683,0.4862271547317505,0.15046408772468567,0.17529799044132233,0.2954283356666565,0.32029855251312256,0.33289089798927307,0.17830850183963776,0.35032153129577637,0.40561532974243164
due,0.23528362810611725,0.22577603161334991,0.22283223271369934,0.3082410395145416,0.16547855734825134,0.19519060850143433,0.11038710922002792,0.16304998099803925,0.22577603161334991,0.2175995111465454,0.2533245384693146,0.10954997688531876
to,0.3976670801639557,0.535392165184021,0.22260159254074097,0.48971283435821533,0.23495057225227356,0.24496492743492126,0.22253146767616272,0.42092081904411316,0.535392165184021,0.23063914477825165,0.41548454761505127,0.29463258385658264
