,what,was,one,of,luther,'s,most,personal,writings,?
the,0.42745697498321533,0.48711544275283813,0.5514441132545471,0.733189046382904,0.1759674996137619,-0.01540423184633255,0.47635307908058167,0.19990217685699463,0.21431727707386017,0.22068053483963013
catechism,0.29557177424430847,0.21933825314044952,0.20002511143684387,0.2834422290325165,0.3202340006828308,-0.03376629948616028,0.18329431116580963,0.23406951129436493,0.46058380603790283,0.25135189294815063
is,0.28837618231773376,0.5810302495956421,0.4544198513031006,0.4854315221309662,0.08282390236854553,0.02396530658006668,0.41165053844451904,0.11115145683288574,0.16613277792930603,0.22961433231830597
one,0.376489520072937,0.3752199709415436,1.0000001192092896,0.4999135136604309,0.1255420446395874,0.06913424283266068,0.5404669642448425,0.20781728625297546,0.18129920959472656,0.2673267424106598
of,0.33290785551071167,0.4069072902202606,0.4999135136604309,1.0,0.1719115972518921,-0.03817026689648628,0.4178851246833801,0.26268208026885986,0.24593348801136017,0.1826142966747284
luther,0.2134782373905182,0.19185513257980347,0.1255420446395874,0.1719115972518921,1.0,-0.009990512393414974,0.07516884058713913,0.19255410134792328,0.32714858651161194,0.1732746809720993
's,0.02692362666130066,0.008974763564765453,0.06913424283266068,-0.03817026689648628,-0.009990512393414974,0.9999999403953552,0.024445664137601852,0.09529546648263931,0.029720310121774673,-0.023395681753754616
most,0.3219912350177765,0.29933857917785645,0.5404669642448425,0.4178851246833801,0.07516884058713913,0.024445664137601852,1.0,0.18819396197795868,0.21086719632148743,0.2107497900724411
personal,0.3188508450984955,0.1733088493347168,0.20781728625297546,0.26268208026885986,0.19255410134792328,0.09529546648263931,0.18819396197795868,1.0,0.28194916248321533,0.206199511885643
works,0.2418437898159027,0.2401018887758255,0.2639932632446289,0.1964656114578247,0.08583797514438629,0.04286740720272064,0.2340836375951767,0.1957326978445053,0.4305570721626282,0.19597402215003967
.,0.3567904531955719,0.40146201848983765,0.4123194217681885,0.5352458953857422,0.24907569587230682,-0.003708066651597619,0.35404038429260254,0.2188207507133484,0.24754001200199127,0.4130953550338745
