,what,year,marked,the,lowest,ratings,for,the,drama,lost,?
the,0.42745697498321533,0.3609684407711029,0.36085957288742065,1.0,0.3453028202056885,0.23356813192367554,0.4739971458911896,1.0,0.2408958077430725,0.3376973867416382,0.22068053483963013
network,0.16917307674884796,0.1478661298751831,0.1386227011680603,0.27187061309814453,0.14134415984153748,0.3223499059677124,0.253274142742157,0.27187061309814453,0.20221145451068878,0.11873336136341095,0.17853789031505585
began,0.1665823757648468,0.23867103457450867,0.2045726776123047,0.3059147596359253,0.11506820470094681,0.19310632348060608,0.29047009348869324,0.3059147596359253,0.16795982420444489,0.21056723594665527,0.1370266228914261
running,0.2357972115278244,0.10273336619138718,0.1932680904865265,0.28883472084999084,0.08641345798969269,0.28213033080101013,0.3230443000793457,0.28883472084999084,0.2462545484304428,0.24410411715507507,0.15679655969142914
into,0.2180619090795517,0.08657927066087723,0.17710503935813904,0.39493247866630554,0.1762973815202713,0.1341889351606369,0.231735959649086,0.39493247866630554,0.14423125982284546,0.19202092289924622,0.15662476420402527
some,0.4491020441055298,0.15327271819114685,0.2705647647380829,0.4566698372364044,0.23563838005065918,0.21986612677574158,0.4257155656814575,0.4566698372364044,0.1408899873495102,0.1853845715522766,0.2562315762042999
trouble,0.36632344126701355,0.1582782119512558,0.1791977733373642,0.23447689414024353,0.13717836141586304,0.169048011302948,0.2720291316509247,0.23447689414024353,0.2738434672355652,0.22825053334236145,0.26066461205482483
in,0.30808621644973755,0.3359307050704956,0.3058924674987793,0.6662389636039734,0.2796158194541931,0.17289267480373383,0.4322226941585541,0.6662389636039734,0.24534137547016144,0.3167656362056732,0.20430970191955566
the,0.42745697498321533,0.3609684407711029,0.36085957288742065,1.0,0.3453028202056885,0.23356813192367554,0.4739971458911896,1.0,0.2408958077430725,0.3376973867416382,0.22068053483963013
ratings,0.19882218539714813,0.21106885373592377,0.21953606605529785,0.23356813192367554,0.2584708333015442,0.9999999403953552,0.2655225098133087,0.23356813192367554,0.2660597264766693,0.18177436292171478,0.19248855113983154
by,0.2455483376979828,0.28805047273635864,0.2801784574985504,0.4408751428127289,0.1621347814798355,0.1909763514995575,0.3248702883720398,0.4408751428127289,0.20884254574775696,0.2040068507194519,0.17966607213020325
2010,0.2741409242153168,0.14087317883968353,0.1666838675737381,0.31722962856292725,0.1948552131652832,0.025268498808145523,0.15196888148784637,0.31722962856292725,0.07336415350437164,0.1789436638355255,0.21232788264751434
.,0.3567904531955719,0.32538118958473206,0.21013976633548737,0.5934505462646484,0.22654418647289276,0.2822798490524292,0.4726039469242096,0.5934505462646484,0.2663460075855255,0.2800092399120331,0.4130953550338745
