,besides,the,walk,to,the,church,",",what,else,was,left,out,of,the,day,'s,celebration,?
the,0.367077499628067,1.0,0.2452576905488968,0.535392165184021,1.0,0.23846197128295898,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.48711544275283813,0.33113980293273926,0.39404502511024475,0.733189046382904,1.0,0.3062323033809662,-0.01540423184633255,0.30612465739250183,0.22068053483963013
ceremonial,0.12734942138195038,0.2927478849887848,0.1766420304775238,0.2348618507385254,0.2927478849887848,0.2799150049686432,0.224352166056633,0.12843801081180573,0.1431107074022293,0.23100055754184723,0.15672379732131958,0.18598075211048126,0.3099067807197571,0.2927478849887848,0.18973954021930695,-0.01193881593644619,0.36907345056533813,0.09091628342866898
walk,0.1553552895784378,0.2452576905488968,0.9999999403953552,0.2592417597770691,0.2452576905488968,0.13479483127593994,0.20109525322914124,0.2301073670387268,0.17566843330860138,0.18186725676059723,0.11900125443935394,0.23716223239898682,0.2157301902770996,0.2452576905488968,0.23449523746967316,-0.026733459904789925,0.21492405235767365,0.16110530495643616
to,0.3272998631000519,0.535392165184021,0.2592417597770691,1.0,0.535392165184021,0.24439501762390137,0.44245919585227966,0.455847829580307,0.36551961302757263,0.3636345863342285,0.2724500000476837,0.42386990785598755,0.41548454761505127,0.535392165184021,0.21753256022930145,0.03782717138528824,0.2563056945800781,0.29463258385658264
the,0.367077499628067,1.0,0.2452576905488968,0.535392165184021,1.0,0.23846197128295898,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.48711544275283813,0.33113980293273926,0.39404502511024475,0.733189046382904,1.0,0.3062323033809662,-0.01540423184633255,0.30612465739250183,0.22068053483963013
church,0.09906179457902908,0.23846197128295898,0.13479483127593994,0.24439501762390137,0.23846197128295898,0.9999999403953552,0.2707274258136749,0.1944202184677124,0.16085657477378845,0.24960921704769135,0.14183741807937622,0.15211516618728638,0.3079429268836975,0.23846197128295898,0.23189906775951385,0.023664841428399086,0.2881157696247101,0.18081501126289368
and,0.3610946238040924,0.5171257257461548,0.1975240558385849,0.48971283435821533,0.5171257257461548,0.1976170688867569,0.6633074283599854,0.31309178471565247,0.2664144039154053,0.3740963041782379,0.2571277916431427,0.3881998062133789,0.5116966962814331,0.5171257257461548,0.26673999428749084,0.06895173341035843,0.1883673518896103,0.20544172823429108
the,0.367077499628067,1.0,0.2452576905488968,0.535392165184021,1.0,0.23846197128295898,0.4933079481124878,0.42745697498321533,0.19370581209659576,0.48711544275283813,0.33113980293273926,0.39404502511024475,0.733189046382904,1.0,0.3062323033809662,-0.01540423184633255,0.30612465739250183,0.22068053483963013
wedding,0.12618732452392578,0.22881533205509186,0.2732226550579071,0.22375723719596863,0.22881533205509186,0.2952718436717987,0.1998375803232193,0.17059311270713806,0.22615930438041687,0.18746258318424225,0.1947280615568161,0.20069953799247742,0.2033441811800003,0.22881533205509186,0.26584187150001526,-0.03464018553495407,0.4988662004470825,0.13745874166488647
banquet,0.11413467675447464,0.30202651023864746,0.2705587148666382,0.2525652348995209,0.30202651023864746,0.24423925578594208,0.2638748586177826,0.1914624720811844,0.13578160107135773,0.25470322370529175,0.1626042276620865,0.20721600949764252,0.22711648046970367,0.30202651023864746,0.3269439935684204,0.05336541682481766,0.4221607744693756,0.1380765587091446
were,0.2729566991329193,0.3906462490558624,0.18663647770881653,0.31913647055625916,0.3906462490558624,0.21372953057289124,0.36755475401878357,0.22298263013362885,0.11256949603557587,0.590133786201477,0.2213863730430603,0.3354760408401489,0.34038281440734863,0.3906462490558624,0.23235180974006653,0.007088581565767527,0.16022366285324097,0.17890112102031708
left,0.1875823736190796,0.33113980293273926,0.11900125443935394,0.2724500000476837,0.33113980293273926,0.14183741807937622,0.2448868453502655,0.2442072629928589,0.20875990390777588,0.21956826746463776,1.0,0.2309771180152893,0.2218635529279709,0.33113980293273926,0.10507161170244217,0.0003564352518878877,0.0257644671946764,0.13251960277557373
out,0.23170505464076996,0.39404502511024475,0.23716223239898682,0.42386990785598755,0.39404502511024475,0.15211516618728638,0.3161109685897827,0.3633197546005249,0.3127753734588623,0.28168347477912903,0.2309771180152893,1.0,0.34176841378211975,0.39404502511024475,0.20946095883846283,0.0021837172098457813,0.22114942967891693,0.22020699083805084
",",0.340058833360672,0.4933079481124878,0.20109525322914124,0.44245919585227966,0.4933079481124878,0.2707274258136749,1.0000001192092896,0.3087472915649414,0.2643522322177887,0.45456063747406006,0.2448868453502655,0.3161109685897827,0.4946078956127167,0.4933079481124878,0.30821847915649414,-0.0016132977325469255,0.23405496776103973,0.31091248989105225
and,0.3610946238040924,0.5171257257461548,0.1975240558385849,0.48971283435821533,0.5171257257461548,0.1976170688867569,0.6633074283599854,0.31309178471565247,0.2664144039154053,0.3740963041782379,0.2571277916431427,0.3881998062133789,0.5116966962814331,0.5171257257461548,0.26673999428749084,0.06895173341035843,0.1883673518896103,0.20544172823429108
were,0.2729566991329193,0.3906462490558624,0.18663647770881653,0.31913647055625916,0.3906462490558624,0.21372953057289124,0.36755475401878357,0.22298263013362885,0.11256949603557587,0.590133786201477,0.2213863730430603,0.3354760408401489,0.34038281440734863,0.3906462490558624,0.23235180974006653,0.007088581565767527,0.16022366285324097,0.17890112102031708
made,0.2131362408399582,0.3885267674922943,0.22253163158893585,0.3377571105957031,0.3885267674922943,0.14118142426013947,0.32507219910621643,0.23419176042079926,0.16329510509967804,0.3433256447315216,0.1939784288406372,0.27462413907051086,0.33167365193367004,0.3885267674922943,0.1838676482439041,0.08483956009149551,0.15311814844608307,0.17218779027462006
up,0.26091647148132324,0.38423117995262146,0.20554515719413757,0.40375280380249023,0.38423117995262146,0.16270285844802856,0.34193792939186096,0.28591108322143555,0.2363755851984024,0.24070115387439728,0.20188716053962708,0.5144561529159546,0.32945773005485535,0.38423117995262146,0.2306574583053589,-0.08862818777561188,0.16449077427387238,0.1819818764925003
two,0.3107992112636566,0.43858039379119873,0.19301654398441315,0.3343428373336792,0.43858039379119873,0.14373718202114105,0.35859420895576477,0.23363454639911652,0.11391184478998184,0.27166637778282166,0.2500832974910736,0.2987716495990753,0.37726253271102905,0.43858039379119873,0.217762291431427,0.038143858313560486,0.1957983821630478,0.19645625352859497
weeks,0.17485311627388,0.2713429629802704,0.16508516669273376,0.24200202524662018,0.2713429629802704,0.09262347221374512,0.27970150113105774,0.23001721501350403,0.1848461925983429,0.24201828241348267,0.23381809890270233,0.2981370687484741,0.20286071300506592,0.2713429629802704,0.34779438376426697,-0.060238078236579895,0.2373386174440384,0.21667936444282532
later,0.2896333634853363,0.4060266613960266,0.19383667409420013,0.393297016620636,0.4060266613960266,0.19983288645744324,0.35016918182373047,0.2517229914665222,0.16021981835365295,0.5684447288513184,0.24691596627235413,0.3247290253639221,0.3458743393421173,0.4060266613960266,0.24574725329875946,0.05591587722301483,0.2183322310447693,0.1417175978422165
on,0.28633859753608704,0.5107308030128479,0.21781370043754578,0.41031414270401,0.5107308030128479,0.1726921796798706,0.49057599902153015,0.34226128458976746,0.19637921452522278,0.3909217119216919,0.30747801065444946,0.39060163497924805,0.3966929316520691,0.5107308030128479,0.3332281708717346,0.0026888418942689896,0.23242318630218506,0.2714994251728058
27,-0.05416133627295494,0.02698022499680519,0.004457482602447271,0.02064022608101368,0.02698022499680519,0.04461774602532387,0.02936515025794506,0.07395181059837341,0.010731241665780544,0.07487557828426361,0.03981202095746994,0.034235917031764984,0.0395980030298233,0.02698022499680519,0.0463329441845417,0.004313452169299126,0.08197105675935745,0.036716945469379425
june,0.14535267651081085,0.24568822979927063,0.09793219715356827,0.22441016137599945,0.24568822979927063,0.1975514441728592,0.45453834533691406,0.2171148657798767,0.13342714309692383,0.42821118235588074,0.1417967528104782,0.1888400912284851,0.19721001386642456,0.24568822979927063,0.26346898078918457,-0.0547623410820961,0.19806817173957825,0.31416764855384827
.,0.28636154532432556,0.5934505462646484,0.21280352771282196,0.4645031690597534,0.5934505462646484,0.28898224234580994,0.6812511086463928,0.3567904531955719,0.30548352003097534,0.40146201848983765,0.28830423951148987,0.34234723448753357,0.5352458953857422,0.5934505462646484,0.24232520163059235,-0.003708066651597619,0.2085781693458557,0.4130953550338745
