,what,did,temüjin,promise,his,followers,in,exchange,for,their,obedience,?
as,0.31749409437179565,0.3596470057964325,0.32332390546798706,0.2751697599887848,0.3146366477012634,0.2953188121318817,0.3887844979763031,0.1604461967945099,0.44774648547172546,0.29218852519989014,0.23174914717674255,0.27043893933296204
an,0.2821882665157318,0.22598257660865784,0.23323971033096313,0.22286167740821838,0.24025635421276093,0.13114698231220245,0.2605783939361572,0.0807478129863739,0.3236706852912903,0.19624626636505127,0.2212534099817276,0.19793890416622162
incentive,0.36123543977737427,0.29806801676750183,0.2482781857252121,0.34536537528038025,0.2231028825044632,0.24340438842773438,0.1867595762014389,0.3237781822681427,0.3406147360801697,0.3280911147594452,0.3108569085597992,0.3131044805049896
for,0.3017193675041199,0.318512886762619,0.2671065032482147,0.29567384719848633,0.39312878251075745,0.16465459764003754,0.4322226941585541,0.22285395860671997,0.9999999403953552,0.3406745493412018,0.23754611611366272,0.264628142118454
absolute,0.3186502158641815,0.20950697362422943,0.2505878210067749,0.2882307469844818,0.20079346001148224,0.20486922562122345,0.2138172686100006,0.14056819677352905,0.19913284480571747,0.2258407473564148,0.2922256290912628,0.22724391520023346
obedience,0.3226049840450287,0.2686721384525299,0.3009631633758545,0.39343351125717163,0.3286212980747223,0.4168272614479065,0.252081960439682,0.12003646045923233,0.23754611611366272,0.3204195499420166,0.9999998807907104,0.20169153809547424
and,0.31309178471565247,0.34479495882987976,0.3789469599723816,0.2775474190711975,0.4234102666378021,0.30679747462272644,0.4954058527946472,0.23130671679973602,0.5064792633056641,0.45114588737487793,0.26443198323249817,0.20544172823429108
following,0.2506418824195862,0.28040066361427307,0.1940569281578064,0.13006916642189026,0.2390999048948288,0.36073440313339233,0.355264812707901,0.1490381956100464,0.2965082824230194,0.2611377537250519,0.22938254475593567,0.1555173695087433
his,0.26976513862609863,0.3546801507472992,0.4682264029979706,0.35698938369750977,0.9999998807907104,0.33185747265815735,0.3598145842552185,0.11702585965394974,0.39312878251075745,0.5725893378257751,0.3286212980747223,0.18075084686279297
rule,0.30539435148239136,0.2618204951286316,0.3141985535621643,0.3110087513923645,0.2544465661048889,0.23742400109767914,0.2128441035747528,0.14175553619861603,0.19033655524253845,0.19761930406093597,0.3066371977329254,0.1955260932445526
of,0.33290785551071167,0.2513895630836487,0.378805011510849,0.19621525704860687,0.38364991545677185,0.26143142580986023,0.5696388483047485,0.23548997938632965,0.4185989499092102,0.4329940676689148,0.3141970634460449,0.1826142966747284
law,0.2145031988620758,0.2238171398639679,0.22757761180400848,0.34237906336784363,0.2218998819589615,0.19515737891197205,0.24850773811340332,0.17804352939128876,0.1650637686252594,0.17199353873729706,0.3445006310939789,0.1528988480567932
",",0.3087472915649414,0.3015086054801941,0.3484273850917816,0.26103663444519043,0.3378419280052185,0.28467807173728943,0.5201468467712402,0.2447657436132431,0.4464869201183319,0.3045167922973633,0.22349010407924652,0.31091248989105225
the,0.42745697498321533,0.34736719727516174,0.43713900446891785,0.2980596125125885,0.4394008219242096,0.26839348673820496,0.6662389636039734,0.2543705105781555,0.4739971458911896,0.516537070274353,0.258289635181427,0.22068053483963013
yassa,0.16717222332954407,0.13929195702075958,0.35012680292129517,0.20570598542690277,0.2400435507297516,0.29785892367362976,0.18529514968395233,0.12518443167209625,0.13296912610530853,0.14713561534881592,0.1373438835144043,0.18545334041118622
code,0.2450651079416275,0.1687479466199875,0.16272933781147003,0.24316559731960297,0.09017863124608994,0.13466325402259827,0.20991306006908417,0.1395644098520279,0.18502140045166016,0.14457863569259644,0.18684391677379608,0.22105959057807922
",",0.3087472915649414,0.3015086054801941,0.3484273850917816,0.26103663444519043,0.3378419280052185,0.28467807173728943,0.5201468467712402,0.2447657436132431,0.4464869201183319,0.3045167922973633,0.22349010407924652,0.31091248989105225
temüjin,0.34580421447753906,0.3476600646972656,1.0,0.35839247703552246,0.4682264029979706,0.38511744141578674,0.3433155417442322,0.13010743260383606,0.2671065032482147,0.34026217460632324,0.3009631633758545,0.21090233325958252
promised,0.24721461534500122,0.4575365483760834,0.38547664880752563,0.7902084589004517,0.3947237730026245,0.29015371203422546,0.22425007820129395,0.18304000794887543,0.26468536257743835,0.2892318665981293,0.3476046621799469,0.22630755603313446
civilians,0.17200390994548798,0.21422713994979858,0.32620519399642944,0.21063648164272308,0.19613529741764069,0.3100552558898926,0.27921220660209656,0.14597895741462708,0.24291777610778809,0.24183650314807892,0.295602947473526,0.12947234511375427
and,0.31309178471565247,0.34479495882987976,0.3789469599723816,0.2775474190711975,0.4234102666378021,0.30679747462272644,0.4954058527946472,0.23130671679973602,0.5064792633056641,0.45114588737487793,0.26443198323249817,0.20544172823429108
soldiers,0.21669568121433258,0.2725818455219269,0.28752401471138,0.23871870338916779,0.28465813398361206,0.31641438603401184,0.2957884967327118,0.13828632235527039,0.24610382318496704,0.2937682569026947,0.32625526189804077,0.1779262125492096
