,what,is,the,name,of,the,university,'s,summer,festival,?
the,0.42745697498321533,0.5823672413825989,1.0,0.3171212375164032,0.733189046382904,1.0,0.263973206281662,-0.01540423184633255,0.2685571610927582,0.20982226729393005,0.22068053483963013
university,0.20256435871124268,0.20346471667289734,0.263973206281662,0.1568726748228073,0.30646374821662903,0.263973206281662,1.0,-0.007441582623869181,0.20782487094402313,0.24114494025707245,0.11887256056070328
also,0.42747777700424194,0.5012649297714233,0.6021018624305725,0.34663957357406616,0.4924938678741455,0.6021018624305725,0.2568899393081665,-0.0014726108638569713,0.288154274225235,0.19729018211364746,0.21848613023757935
annually,0.13421958684921265,0.23383666574954987,0.30625078082084656,0.09277959167957306,0.26902905106544495,0.30625078082084656,0.2332664579153061,-0.0403541624546051,0.33736154437065125,0.4708152413368225,0.1364409476518631
holds,0.08176258951425552,0.3216874897480011,0.28190866112709045,0.09232644736766815,0.2644946873188019,0.28190866112709045,0.15565021336078644,0.016165124252438545,0.1538367122411728,0.21504437923431396,0.11379207670688629
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.20256656408309937,0.04866964742541313,0.21519871056079865,0.16281212866306305,0.23916715383529663
summer,0.16213102638721466,0.17436888813972473,0.2685571610927582,0.12471035867929459,0.2329561412334442,0.2685571610927582,0.20782487094402313,-0.004993056878447533,0.9999998807907104,0.32442185282707214,0.11625723540782928
carnival,0.22156189382076263,0.2105955332517624,0.25884953141212463,0.10152239352464676,0.23481020331382751,0.25884953141212463,0.15411823987960815,0.05052277073264122,0.23419329524040222,0.46216559410095215,0.18508979678153992
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.28653737902641296,0.19459347426891327,0.20544172823429108
concert,0.1645229160785675,0.19514845311641693,0.2353888601064682,0.12266261875629425,0.19607828557491302,0.2353888601064682,0.21095797419548035,0.06055854260921478,0.2874278426170349,0.45452678203582764,0.16734014451503754
called,0.3235960602760315,0.430266410112381,0.489897221326828,0.30947911739349365,0.4222904443740845,0.489897221326828,0.22025726735591888,-0.021773243322968483,0.2115183025598526,0.19096560776233673,0.18963319063186646
summer,0.16213102638721466,0.17436888813972473,0.2685571610927582,0.12471035867929459,0.2329561412334442,0.2685571610927582,0.20782487094402313,-0.004993056878447533,0.9999998807907104,0.32442185282707214,0.11625723540782928
breeze,0.20184892416000366,0.21723748743534088,0.2485862523317337,0.13247303664684296,0.15759716928005219,0.2485862523317337,0.14749810099601746,0.05882531404495239,0.2690497934818268,0.14347389340400696,0.19473902881145477
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.27224332094192505,0.41498205065727234,0.5473989248275757,0.16441112756729126,0.04397977516055107,0.20125791430473328,0.14732740819454193,0.32716336846351624
hosts,0.07549575716257095,0.2958720028400421,0.31077179312705994,0.14611290395259857,0.20728319883346558,0.31077179312705994,0.19192638993263245,-0.027686581015586853,0.21280325949192047,0.2616058588027954,0.0862068235874176
outside,0.3224688768386841,0.2823421061038971,0.3879719078540802,0.15096399188041687,0.2973117530345917,0.3879719078540802,0.16323672235012054,-0.10228612273931503,0.2297438085079193,0.11365611851215363,0.14839068055152893
musicians,0.18621641397476196,0.16239911317825317,0.21941956877708435,0.15330229699611664,0.21861155331134796,0.21941956877708435,0.23808446526527405,0.04309052601456642,0.2034304141998291,0.20264439284801483,0.13493949174880981
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.269391804933548,0.25094273686408997,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.21235932409763336,0.5116966962814331,0.5171257257461548,0.2665814459323883,0.06895173341035843,0.28653737902641296,0.19459347426891327,0.20544172823429108
is,0.28837618231773376,1.0,0.5823672413825989,0.3359788954257965,0.4854315221309662,0.5823672413825989,0.20346471667289734,0.02396530658006668,0.17436888813972473,0.1853252649307251,0.22961433231830597
home,0.1608789712190628,0.22316986322402954,0.28978195786476135,0.16885216534137726,0.24402645230293274,0.28978195786476135,0.2638651728630066,0.07170099765062332,0.20317241549491882,0.13496334850788116,0.0757145956158638
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.20192374289035797,0.03782717138528824,0.23132751882076263,0.19796393811702728,0.29463258385658264
doc,0.21350088715553284,0.1359642893075943,0.22223278880119324,0.25369811058044434,0.09344803541898727,0.22223278880119324,0.06656830757856369,-0.04307769611477852,0.06959284096956253,0.0786532461643219,0.30210837721824646
films,0.19852851331233978,0.16306833922863007,0.23072484135627747,0.1187257170677185,0.2151229828596115,0.23072484135627747,0.20496311783790588,0.029887473210692406,0.13628257811069489,0.2938315272331238,0.20618696510791779
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.3017033040523529,-0.0016132977325469255,0.269391804933548,0.25094273686408997,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.20256656408309937,0.04866964742541313,0.21519871056079865,0.16281212866306305,0.23916715383529663
student,0.20548318326473236,0.18911804258823395,0.21259291470050812,0.07360304892063141,0.20310284197330475,0.21259291470050812,0.46536099910736084,0.018150636926293373,0.20751917362213135,0.2180481106042862,0.13282090425491333
