,who,sets,the,agenda,for,the,eu,'s,work,?
the,0.3733934462070465,0.2320500761270523,1.0,0.24096648395061493,0.4739971458911896,1.0,0.14126400649547577,-0.01540423184633255,0.2704800069332123,0.22068053483963013
parliament,0.237068772315979,0.07161371409893036,0.26521381735801697,0.2649395167827606,0.23382046818733215,0.26521381735801697,0.31485849618911743,0.012842429801821709,0.16524556279182434,0.1586504578590393
can,0.2602734863758087,0.23113688826560974,0.312528520822525,0.15672077238559723,0.35690054297447205,0.312528520822525,0.15144599974155426,-0.02075597457587719,0.28794336318969727,0.3226337134838104
also,0.47919341921806335,0.2050163298845291,0.6021018624305725,0.2820952534675598,0.5373267531394958,0.6021018624305725,0.11792366206645966,-0.0014726108638569713,0.3541320264339447,0.21848613023757935
formally,0.25612738728523254,0.15232154726982117,0.3323594629764557,0.31534144282341003,0.32619646191596985,0.3323594629764557,0.1723921149969101,-0.017225459218025208,0.130056232213974,0.1371411830186844
request,0.2647866904735565,0.05140422284603119,0.18777982890605927,0.25810471177101135,0.24378444254398346,0.18777982890605927,0.22651685774326324,0.05498448386788368,0.2617611289024353,0.3439766466617584
the,0.3733934462070465,0.2320500761270523,1.0,0.24096648395061493,0.4739971458911896,1.0,0.14126400649547577,-0.01540423184633255,0.2704800069332123,0.22068053483963013
commission,0.15008439123630524,0.17608383297920227,0.24418850243091583,0.27836641669273376,0.23846951127052307,0.24418850243091583,0.2521185874938965,0.03937619924545288,0.21331767737865448,0.16231559216976166
to,0.42656609416007996,0.2440074384212494,0.535392165184021,0.2539592385292053,0.4451248347759247,0.535392165184021,0.1539587825536728,0.03782717138528824,0.3482864499092102,0.29463258385658264
submit,0.18239504098892212,0.07928406447172165,0.19348543882369995,0.246897891163826,0.21797220408916473,0.19348543882369995,0.16180266439914703,-0.018476072698831558,0.21810941398143768,0.27356526255607605
a,0.36608949303627014,0.16088198125362396,0.5829201340675354,0.2459258884191513,0.44038116931915283,0.5829201340675354,0.13932566344738007,0.04866964742541313,0.266241192817688,0.23916715383529663
legislative,0.17747299373149872,0.08619934320449829,0.27501925826072693,0.3469920754432678,0.1881977766752243,0.27501925826072693,0.22844341397285461,-0.03395010903477669,0.14364656805992126,0.1654243916273117
proposal,0.25690221786499023,0.22063390910625458,0.24154584109783173,0.37777045369148254,0.2781776189804077,0.24154584109783173,0.25808483362197876,0.05311848595738411,0.2816668450832367,0.362845778465271
but,0.4487357437610626,0.23137226700782776,0.4859698414802551,0.31154969334602356,0.45162561535835266,0.4859698414802551,0.13655178248882294,0.04136733338236809,0.3644881844520569,0.27921953797340393
the,0.3733934462070465,0.2320500761270523,1.0,0.24096648395061493,0.4739971458911896,1.0,0.14126400649547577,-0.01540423184633255,0.2704800069332123,0.22068053483963013
commission,0.15008439123630524,0.17608383297920227,0.24418850243091583,0.27836641669273376,0.23846951127052307,0.24418850243091583,0.2521185874938965,0.03937619924545288,0.21331767737865448,0.16231559216976166
can,0.2602734863758087,0.23113688826560974,0.312528520822525,0.15672077238559723,0.35690054297447205,0.312528520822525,0.15144599974155426,-0.02075597457587719,0.28794336318969727,0.3226337134838104
reject,0.2572021782398224,0.1233673170208931,0.24960725009441376,0.2458776831626892,0.20745126903057098,0.24960725009441376,0.24134758114814758,0.07134635746479034,0.20021259784698486,0.21545763313770294
such,0.2594927251338959,0.19000494480133057,0.3575236201286316,0.18014398217201233,0.36098620295524597,0.3575236201286316,0.1398281455039978,0.05073437839746475,0.2557113766670227,0.17851735651493073
a,0.36608949303627014,0.16088198125362396,0.5829201340675354,0.2459258884191513,0.44038116931915283,0.5829201340675354,0.13932566344738007,0.04866964742541313,0.266241192817688,0.23916715383529663
suggestion,0.328023225069046,0.24188332259655,0.2641429305076599,0.3870193064212799,0.3143264353275299,0.2641429305076599,0.19219128787517548,0.003932415507733822,0.36752015352249146,0.4631749987602234
",",0.3365725874900818,0.19630418717861176,0.4933079481124878,0.29892265796661377,0.4464869201183319,0.4933079481124878,0.1565755307674408,-0.0016132977325469255,0.3283594250679016,0.31091248989105225
giving,0.2905098795890808,0.1903344690799713,0.3626074492931366,0.2245061993598938,0.39347827434539795,0.3626074492931366,0.1250903159379959,0.013468046672642231,0.26322340965270996,0.2052922248840332
reasons,0.2891221344470978,0.1851683109998703,0.2951921820640564,0.2918408215045929,0.418081134557724,0.2951921820640564,0.17920789122581482,-0.011799629777669907,0.2994225025177002,0.248102068901062
.,0.3541337847709656,0.19465717673301697,0.5934505462646484,0.24725869297981262,0.4726039469242096,0.5934505462646484,0.1552242487668991,-0.003708066651597619,0.33121398091316223,0.4130953550338745
