,what,modern-day,country,was,tesla,born,in,?
28,-0.2335955947637558,-0.17731569707393646,-0.298624724149704,-0.2500663697719574,0.019914746284484863,-0.04741329327225685,-0.27002766728401184,-0.012856917455792427
june,0.2171148657798767,0.23528942465782166,0.20748694241046906,0.42821118235588074,0.10874199122190475,0.4781801998615265,0.29047903418540955,0.31416764855384827
],-0.03775298595428467,-0.03212409093976021,-0.06131766363978386,0.0001094614781322889,0.05621577054262161,0.0007800839957781136,-0.1088862195611,-0.0022520492784678936
1856,0.1704813838005066,0.11147414147853851,0.03767991438508034,0.06661546975374222,-0.11941852420568466,-0.1394749879837036,0.0679522380232811,0.10880891233682632
into,0.2180619090795517,0.19881799817085266,0.17958055436611176,0.2322220653295517,0.13143925368785858,0.11684546619653702,0.38021373748779297,0.15662476420402527
a,0.3320399522781372,0.2843576967716217,0.20991116762161255,0.4508470594882965,0.2211925983428955,0.22920024394989014,0.539380669593811,0.23916715383529663
serb,0.19041432440280914,0.16819892823696136,0.2527814507484436,0.201268270611763,0.27785563468933105,0.1445625275373459,0.15916317701339722,0.1197621077299118
family,0.16391263902187347,0.18359951674938202,0.2286180555820465,0.21917963027954102,0.04926548898220062,0.23834733664989471,0.2165997177362442,0.15222905576229095
in,0.30808621644973755,0.32322806119918823,0.3040012717247009,0.45514053106307983,0.17097744345664978,0.30027052760124207,1.0,0.20430970191955566
the,0.42745697498321533,0.3206247389316559,0.30432501435279846,0.48711544275283813,0.1324402391910553,0.19202874600887299,0.6662389636039734,0.22068053483963013
village,0.20210839807987213,0.22253647446632385,0.23946936428546906,0.21511445939540863,0.19413375854492188,0.26496800780296326,0.3014387786388397,0.040922991931438446
of,0.33290785551071167,0.27121108770370483,0.28866857290267944,0.4069072902202606,0.18837453424930573,0.19769194722175598,0.5696388483047485,0.1826142966747284
smiljan,0.20417870581150055,0.29266467690467834,0.1298363208770752,0.2473890483379364,0.3143247961997986,0.23853501677513123,0.25222301483154297,0.2793274521827698
",",0.3087472915649414,0.31467822194099426,0.27878350019454956,0.45456063747406006,0.20599327981472015,0.37898433208465576,0.5201468467712402,0.31091248989105225
austrian,0.1206708550453186,0.1967296004295349,0.19295638799667358,0.24469807744026184,0.21734847128391266,0.2401694655418396,0.16418905556201935,0.10452693700790405
empire,0.21723191440105438,0.33896881341934204,0.2728447914123535,0.30602675676345825,0.22401677072048187,0.18968872725963593,0.24110576510429382,0.14909450709819794
(,0.2411840260028839,0.24719898402690887,0.1820623129606247,0.2980341613292694,0.2156914919614792,0.33313798904418945,0.3087427020072937,0.40561532974243164
modern-day,0.3245202898979187,0.9999999403953552,0.19643671810626984,0.3210471272468567,0.2952616214752197,0.23151282966136932,0.32322806119918823,0.2257315069437027
croatia,0.20364125072956085,0.19555914402008057,0.2884053587913513,0.18076825141906738,0.3141622543334961,0.148401141166687,0.19649738073349,0.17525659501552582
),0.26259949803352356,0.26119497418403625,0.18773311376571655,0.3267642855644226,0.22692398726940155,0.3665171265602112,0.3326910734176636,0.42300865054130554
.,0.3567904531955719,0.29782742261886597,0.26130348443984985,0.40146201848983765,0.17949827015399933,0.2350279539823532,0.5591574311256409,0.4130953550338745
