,which,city,does,the,hollywood,district,belong,to,?
hollywood,0.13708528876304626,0.27865713834762573,0.11553674191236496,0.21118220686912537,1.0000001192092896,0.10869976133108139,0.02793395332992077,0.23734064400196075,0.16076789796352386
",",0.3658004403114319,0.35839709639549255,0.28617382049560547,0.4933079481124878,0.27148857712745667,0.25852543115615845,0.3347422182559967,0.44245919585227966,0.31091248989105225
a,0.56894451379776,0.2349124401807785,0.38201746344566345,0.5829201340675354,0.2099793255329132,0.20739410817623138,0.21660050749778748,0.45503583550453186,0.23916715383529663
district,0.2036324292421341,0.42766356468200684,0.10702236741781235,0.2690705955028534,0.10869976133108139,1.0,0.22220242023468018,0.1543883979320526,0.06725285202264786
within,0.43539655208587646,0.1794440597295761,0.29514265060424805,0.39827480912208557,0.07734433561563492,0.17545607686042786,0.2258966714143753,0.34980177879333496,0.1870293766260147
los,0.15805238485336304,0.3013180196285248,0.10503679513931274,0.2502395510673523,0.4194885194301605,0.09888618439435959,0.09153114259243011,0.19904789328575134,0.15495611727237701
angeles,0.15751682221889496,0.2831977605819702,0.10788265615701675,0.24588194489479065,0.4586276412010193,0.10687620937824249,0.08451267331838608,0.20994949340820312,0.16139166057109833
",",0.3658004403114319,0.35839709639549255,0.28617382049560547,0.4933079481124878,0.27148857712745667,0.25852543115615845,0.3347422182559967,0.44245919585227966,0.31091248989105225
is,0.4457404911518097,0.3186660706996918,0.4403602182865143,0.5823672413825989,0.16278144717216492,0.2656395733356476,0.2787644863128662,0.42745086550712585,0.22961433231830597
also,0.6566565632820129,0.2577536404132843,0.4118025600910187,0.6021018624305725,0.2241603136062622,0.23743490874767303,0.2980847954750061,0.5348826050758362,0.21848613023757935
a,0.56894451379776,0.2349124401807785,0.38201746344566345,0.5829201340675354,0.2099793255329132,0.20739410817623138,0.21660050749778748,0.45503583550453186,0.23916715383529663
