,what,does,the,time,element,in,construction,mean,?
the,0.42745697498321533,0.35928019881248474,1.0,0.43061500787734985,0.2041647583246231,0.6662389636039734,0.2671978175640106,0.25977957248687744,0.22068053483963013
time,0.36319252848625183,0.2519678771495819,0.43061500787734985,0.9999998807907104,0.22691647708415985,0.3431483507156372,0.2038273960351944,0.27951696515083313,0.27391523122787476
element,0.24694041907787323,0.24992139637470245,0.2041647583246231,0.22691647708415985,1.0,0.16983667016029358,0.1970909982919693,0.2507026791572571,0.18393386900424957
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.3431483507156372,0.16983667016029358,1.0,0.3031303882598877,0.2099098116159439,0.20430970191955566
construction,0.20329850912094116,0.07289538532495499,0.2671978175640106,0.2038273960351944,0.1970909982919693,0.3031303882598877,1.0,0.0741163119673729,0.13494056463241577
means,0.2553325295448303,0.3901011645793915,0.32225894927978516,0.259402871131897,0.24143871665000916,0.1979396492242813,0.10035700350999832,0.576000988483429,0.21233566105365753
that,0.6297725439071655,0.4764937460422516,0.5473989248275757,0.388528436422348,0.29008960723876953,0.435920387506485,0.2251325249671936,0.3935231864452362,0.32716336846351624
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.3292340338230133,0.3271445333957672,0.539380669593811,0.25036895275115967,0.3427932858467102,0.23916715383529663
delay,0.22784891724586487,0.18886548280715942,0.2607918381690979,0.3233153223991394,0.18190070986747742,0.17042721807956696,0.2862066626548767,0.16747133433818817,0.15084078907966614
costs,0.21587958931922913,0.27343735098838806,0.2180386483669281,0.3133073151111603,0.21334543824195862,0.1732029914855957,0.35790157318115234,0.1468329131603241,0.19150719046592712
money,0.2704482674598694,0.25767648220062256,0.2699695825576782,0.36622095108032227,0.1235615536570549,0.2393328845500946,0.24447926878929138,0.20506879687309265,0.2069680541753769
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3029961884021759,0.20181523263454437,0.5201468467712402,0.23704268038272858,0.27540135383605957,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.3025408685207367,0.16833719611167908,0.4954058527946472,0.22762417793273926,0.22596950829029083,0.20544172823429108
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.3431483507156372,0.16983667016029358,1.0,0.3031303882598877,0.2099098116159439,0.20430970191955566
cases,0.2612028121948242,0.3112744688987732,0.33415094017982483,0.21274526417255402,0.2010815441608429,0.24487079679965973,0.12201618403196335,0.2286081612110138,0.25599566102027893
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.35127586126327515,0.21102571487426758,0.5696388483047485,0.2815735340118408,0.27551960945129395,0.1826142966747284
bottlenecks,0.2619453966617584,0.263522207736969,0.3665528893470764,0.25094911456108093,0.22245720028877258,0.3764680027961731,0.2683175504207611,0.2510473430156708,0.13646529614925385
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.3029961884021759,0.20181523263454437,0.5201468467712402,0.23704268038272858,0.27540135383605957,0.31091248989105225
the,0.42745697498321533,0.35928019881248474,1.0,0.43061500787734985,0.2041647583246231,0.6662389636039734,0.2671978175640106,0.25977957248687744,0.22068053483963013
delay,0.22784891724586487,0.18886548280715942,0.2607918381690979,0.3233153223991394,0.18190070986747742,0.17042721807956696,0.2862066626548767,0.16747133433818817,0.15084078907966614
can,0.34502777457237244,0.5156301856040955,0.312528520822525,0.2720869183540344,0.28067541122436523,0.26527702808380127,0.1424357146024704,0.3466622233390808,0.3226337134838104
be,0.3929833769798279,0.28696945309638977,0.4248143136501312,0.3473503291606903,0.25885871052742004,0.3481820821762085,0.23028753697872162,0.3655017018318176,0.3324260413646698
extremely,0.295386403799057,0.26625150442123413,0.28996992111206055,0.20724163949489594,0.25959792733192444,0.26208269596099854,0.15738968551158905,0.171133354306221,0.14809079468250275
expensive,0.20366261899471283,0.2609180510044098,0.2281464785337448,0.2309820055961609,0.24708394706249237,0.23840641975402832,0.3070525825023651,0.13165459036827087,0.12475880235433578
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.371569961309433,0.24230757355690002,0.5591574311256409,0.23682771623134613,0.21881133317947388,0.4130953550338745
