,which,broncos,player,intercepted,newton,on,the,panthers,',next,set,of,downs,?
but,0.55336993932724,0.15171389281749725,0.11845224350690842,0.2328544706106186,0.2325286716222763,0.3584071099758148,0.4859698414802551,0.19083257019519806,0.33652931451797485,0.25372910499572754,0.2716006338596344,0.39942997694015503,0.19562214612960815,0.27921953797340393
once,0.5001838207244873,0.16289103031158447,0.20050689578056335,0.2139330357313156,0.13154229521751404,0.3051988482475281,0.4227895736694336,0.14331333339214325,0.21606121957302094,0.33203431963920593,0.22654525935649872,0.2879956364631653,0.20012293756008148,0.17750471830368042
again,0.3812651038169861,0.21246904134750366,0.1650625467300415,0.20725612342357635,0.1429184526205063,0.31394922733306885,0.4104243218898773,0.1583377569913864,0.22659730911254883,0.331417053937912,0.20517227053642273,0.24152639508247375,0.18540680408477783,0.2679590880870819
they,0.5165667533874512,0.25937581062316895,0.20167171955108643,0.24346859753131866,0.1926632672548294,0.31295230984687805,0.49925389885902405,0.23642724752426147,0.27022266387939453,0.2232334464788437,0.22562575340270996,0.3426007330417633,0.21204906702041626,0.2753053903579712
came,0.23567067086696625,0.23208896815776825,0.14844486117362976,0.22034786641597748,0.17745794355869293,0.224246084690094,0.39390382170677185,0.14105047285556793,0.22689028084278107,0.20134031772613525,0.20012560486793518,0.3201526999473572,0.14908726513385773,0.1739392727613449
up,0.36388060450553894,0.22576327621936798,0.13937199115753174,0.18966107070446014,0.12487363070249557,0.34194523096084595,0.38423117995262146,0.22487294673919678,0.21741549670696259,0.2348165065050125,0.32636314630508423,0.32945773005485535,0.2810485064983368,0.1819818764925003
empty,0.2603909373283386,0.11536876112222672,0.13461406528949738,0.1655656099319458,0.08704033493995667,0.1516752690076828,0.2499721348285675,0.06516927480697632,0.1810685098171234,0.19889652729034424,0.20912273228168488,0.1882307082414627,0.14638876914978027,0.17362195253372192
",",0.3658004403114319,0.2558487057685852,0.25826331973075867,0.21653500199317932,0.2648763358592987,0.49057599902153015,0.4933079481124878,0.2494642585515976,0.5178600549697876,0.2665692865848541,0.24912182986736298,0.4946078956127167,0.26416540145874023,0.31091248989105225
this,0.6719430088996887,0.17023660242557526,0.14968666434288025,0.21851304173469543,0.17378488183021545,0.4193967580795288,0.6274310946464539,0.18392351269721985,0.4329338073730469,0.2664209008216858,0.2594413459300995,0.45148900151252747,0.1508316844701767,0.3155723512172699
time,0.325231671333313,0.18860319256782532,0.17360329627990723,0.27980729937553406,0.24373620748519897,0.30044233798980713,0.43061500787734985,0.2628815770149231,0.24727515876293182,0.2611747980117798,0.258029967546463,0.35127586126327515,0.153108149766922,0.27391523122787476
