,what,is,the,process,of,adding,structure,to,real,property,or,construction,of,buildings,?
building,0.23529528081417084,0.20087163150310516,0.3159640431404114,0.21353070437908173,0.26200541853904724,0.25860247015953064,0.43655917048454285,0.2658686637878418,0.11839627474546432,0.2710290253162384,0.21519747376441956,0.5609999895095825,0.26200541853904724,0.765990138053894,0.13549931347370148
construction,0.20329850912094116,0.2135658711194992,0.2671978175640106,0.28506913781166077,0.2815735340118408,0.2941562533378601,0.4350389838218689,0.24810278415679932,0.1319350004196167,0.24703100323677063,0.20974527299404144,1.0,0.2815735340118408,0.47569942474365234,0.13494056463241577
is,0.28837618231773376,1.0,0.5823672413825989,0.21762968599796295,0.4854315221309662,0.25671643018722534,0.26677995920181274,0.42745086550712585,0.22755825519561768,0.1944577693939209,0.41870999336242676,0.2135658711194992,0.4854315221309662,0.2076430320739746,0.22961433231830597
the,0.42745697498321533,0.5823672413825989,1.0,0.264274537563324,0.733189046382904,0.30152344703674316,0.2933249771595001,0.535392165184021,0.19885718822479248,0.2061677873134613,0.4174870550632477,0.2671978175640106,0.733189046382904,0.25566717982292175,0.22068053483963013
process,0.3466717302799225,0.21762968599796295,0.264274537563324,0.9999998807907104,0.23962904512882233,0.339426189661026,0.2894075810909271,0.35462963581085205,0.1284516155719757,0.18485039472579956,0.33829233050346375,0.28506913781166077,0.23962904512882233,0.10316827893257141,0.2460896074771881
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23962904512882233,1.0,0.26542913913726807,0.2599511742591858,0.41548454761505127,0.19599324464797974,0.2299845814704895,0.3792596757411957,0.2815735340118408,1.0,0.2829168736934662,0.1826142966747284
adding,0.29902034997940063,0.25671643018722534,0.30152344703674316,0.339426189661026,0.26542913913726807,0.9999998807907104,0.2799034118652344,0.3049910068511963,0.17396803200244904,0.20238986611366272,0.3635876476764679,0.2941562533378601,0.26542913913726807,0.2418699711561203,0.2800346910953522
structure,0.27351704239845276,0.26677995920181274,0.2933249771595001,0.2894075810909271,0.2599511742591858,0.2799034118652344,1.0000001192092896,0.27200284600257874,0.14995966851711273,0.2692451775074005,0.30721351504325867,0.4350389838218689,0.2599511742591858,0.4516794681549072,0.1770772784948349
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.35462963581085205,0.41548454761505127,0.3049910068511963,0.27200284600257874,1.0,0.2285090982913971,0.26292115449905396,0.38921234011650085,0.24810278415679932,0.41548454761505127,0.25290772318840027,0.29463258385658264
real,0.27036693692207336,0.22755825519561768,0.19885718822479248,0.1284516155719757,0.19599324464797974,0.17396803200244904,0.14995966851711273,0.2285090982913971,0.9999998807907104,0.2738894522190094,0.25405770540237427,0.1319350004196167,0.19599324464797974,0.1300588697195053,0.20019613206386566
property,0.24978817999362946,0.1944577693939209,0.2061677873134613,0.18485039472579956,0.2299845814704895,0.20238986611366272,0.2692451775074005,0.26292115449905396,0.2738894522190094,0.9999999403953552,0.29589805006980896,0.24703100323677063,0.2299845814704895,0.2951395809650421,0.16865147650241852
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.33829233050346375,0.3792596757411957,0.3635876476764679,0.30721351504325867,0.38921234011650085,0.25405770540237427,0.29589805006980896,1.0000001192092896,0.20974527299404144,0.3792596757411957,0.2183242291212082,0.32389625906944275
construction,0.20329850912094116,0.2135658711194992,0.2671978175640106,0.28506913781166077,0.2815735340118408,0.2941562533378601,0.4350389838218689,0.24810278415679932,0.1319350004196167,0.24703100323677063,0.20974527299404144,1.0,0.2815735340118408,0.47569942474365234,0.13494056463241577
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.23962904512882233,1.0,0.26542913913726807,0.2599511742591858,0.41548454761505127,0.19599324464797974,0.2299845814704895,0.3792596757411957,0.2815735340118408,1.0,0.2829168736934662,0.1826142966747284
buildings,0.17147983610630035,0.2076430320739746,0.25566717982292175,0.10316827893257141,0.2829168736934662,0.2418699711561203,0.4516794681549072,0.25290772318840027,0.1300588697195053,0.2951395809650421,0.2183242291212082,0.47569942474365234,0.2829168736934662,1.0,0.11192528158426285
.,0.3567904531955719,0.4569662809371948,0.5934505462646484,0.23766504228115082,0.5352458953857422,0.29334133863449097,0.26570191979408264,0.4645031690597534,0.2178356945514679,0.22922755777835846,0.36683785915374756,0.23682771623134613,0.5352458953857422,0.2799520492553711,0.4130953550338745
