,what,legitimate,dynasty,came,before,the,yuan,?
in,0.30808621644973755,0.15761952102184296,0.15246383845806122,0.29996100068092346,0.4155850410461426,0.6662389636039734,0.14850552380084991,0.20430970191955566
traditional,0.20066824555397034,0.2261212170124054,0.25863757729530334,0.17031165957450867,0.16112196445465088,0.25703898072242737,0.2298620045185089,0.1327509582042694
historiography,0.27266544103622437,0.3034350574016571,0.21749582886695862,0.2146647423505783,0.20199963450431824,0.253398597240448,0.13918249309062958,0.2179996222257614
of,0.33290785551071167,0.2887045741081238,0.285645067691803,0.3201526999473572,0.3282964527606964,0.733189046382904,0.22696353495121002,0.1826142966747284
china,0.13832437992095947,0.1846688836812973,0.45030730962753296,0.2108282744884491,0.14600875973701477,0.3110525608062744,0.5794417262077332,0.18007943034172058
",",0.3087472915649414,0.2597030699253082,0.1976536363363266,0.3049119710922241,0.3156566619873047,0.4933079481124878,0.20958951115608215,0.31091248989105225
on,0.34226128458976746,0.18862128257751465,0.10236000269651413,0.224246084690094,0.3903424143791199,0.5107308030128479,0.08613177388906479,0.2714994251728058
the,0.42745697498321533,0.23253867030143738,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
other,0.341873437166214,0.24061144888401031,0.14103373885154724,0.2395944446325302,0.20753322541713715,0.44152235984802246,0.18199217319488525,0.24682199954986572
hand,0.26703396439552307,0.22809915244579315,0.13427335023880005,0.1258247345685959,0.24238769710063934,0.253619521856308,0.2330620139837265,0.20656698942184448
",",0.3087472915649414,0.2597030699253082,0.1976536363363266,0.3049119710922241,0.3156566619873047,0.4933079481124878,0.20958951115608215,0.31091248989105225
the,0.42745697498321533,0.23253867030143738,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
yuan,0.13503028452396393,0.1714393049478531,0.49336904287338257,0.13108937442302704,0.18829868733882904,0.2548272907733917,1.0,0.12871281802654266
dynasty,0.17240095138549805,0.23546229302883148,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
is,0.28837618231773376,0.16789257526397705,0.16410371661186218,0.2892572581768036,0.25183290243148804,0.5823672413825989,0.1437031477689743,0.22961433231830597
usually,0.32521089911460876,0.18938212096691132,0.1073165163397789,0.1336658000946045,0.26867279410362244,0.36782920360565186,0.1784372627735138,0.19435347616672516
considered,0.2834889590740204,0.34072592854499817,0.16050711274147034,0.21178589761257172,0.20698583126068115,0.4028765559196472,0.09289617091417313,0.19909770786762238
to,0.455847829580307,0.29134130477905273,0.1214921623468399,0.3111628592014313,0.4190867841243744,0.535392165184021,0.1499021351337433,0.29463258385658264
be,0.3929833769798279,0.31591153144836426,0.1536118984222412,0.20057715475559235,0.34914204478263855,0.4248143136501312,0.2021288126707077,0.3324260413646698
the,0.42745697498321533,0.23253867030143738,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
legitimate,0.3080519735813141,1.0,0.23546229302883148,0.20227214694023132,0.191919207572937,0.23253867030143738,0.1714393049478531,0.28191015124320984
dynasty,0.17240095138549805,0.23546229302883148,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
between,0.2462156116962433,0.18683862686157227,0.15475362539291382,0.21195600926876068,0.25077521800994873,0.39067012071609497,0.11118383705615997,0.12887074053287506
the,0.42745697498321533,0.23253867030143738,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
song,0.21011823415756226,0.11898834258317947,0.24676866829395294,0.17360688745975494,0.19804830849170685,0.300855815410614,0.2169226109981537,0.20782215893268585
dynasty,0.17240095138549805,0.23546229302883148,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
and,0.31309178471565247,0.21934857964515686,0.21357402205467224,0.3049735128879547,0.3518902659416199,0.5171257257461548,0.22359056770801544,0.20544172823429108
the,0.42745697498321533,0.23253867030143738,0.26267939805984497,0.39390382170677185,0.45900648832321167,1.0,0.2548272907733917,0.22068053483963013
ming,0.18258123099803925,0.20578806102275848,0.5487013459205627,0.18923445045948029,0.24100719392299652,0.26838383078575134,0.5621496438980103,0.12298163771629333
dynasty,0.17240095138549805,0.23546229302883148,1.0,0.2051542103290558,0.16985101997852325,0.26267939805984497,0.49336904287338257,0.15884074568748474
.,0.3567904531955719,0.2252013385295868,0.20616187155246735,0.26265060901641846,0.36693984270095825,0.5934505462646484,0.17233723402023315,0.4130953550338745
