,gamma,delta,t,cells,have,a,different,version,of,what,receptor,?
gamma,1.0000001192092896,0.332016259431839,0.1944318413734436,0.2772672772407532,0.19756822288036346,0.28735125064849854,0.181293785572052,0.17828086018562317,0.18485099077224731,0.17321382462978363,0.3249748945236206,0.19885970652103424
delta,0.332016259431839,1.0000001192092896,0.12643550336360931,0.14615286886692047,0.19880861043930054,0.20749913156032562,0.12988902628421783,0.10068026930093765,0.20736707746982574,0.11423289775848389,0.15440990030765533,0.14208948612213135
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.23072676360607147,0.3206180930137634,0.1950884908437729,0.2838994860649109,0.35032153129577637,0.2411840260028839,0.19219554960727692,0.40561532974243164
γδ,-0.021495308727025986,-0.0043403347954154015,0.09449943900108337,-0.028628746047616005,-0.15527816116809845,-0.04127078130841255,-0.14326933026313782,0.11178907752037048,-0.10087195783853531,-0.08154492825269699,-0.053239092230796814,0.07116200774908066
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.22866283357143402,0.3640355169773102,0.19070029258728027,0.27895456552505493,0.3680361211299896,0.26259949803352356,0.1567499190568924,0.42300865054130554
possess,0.19318892061710358,0.06037440896034241,0.15004591643810272,0.30985718965530396,0.43421053886413574,0.2543204426765442,0.29053279757499695,0.07927673310041428,0.27185752987861633,0.26773881912231445,0.30164045095443726,0.1285712569952011
an,0.20306351780891418,0.14560812711715698,0.18232253193855286,0.18335485458374023,0.22897054255008698,0.44552403688430786,0.20424599945545197,0.24099896848201752,0.32280945777893066,0.2821882665157318,0.21795503795146942,0.19793890416622162
alternative,0.1476643830537796,0.0727531760931015,0.18802505731582642,0.1709577441215515,0.27418220043182373,0.28988128900527954,0.3299124538898468,0.24457179009914398,0.2218208760023117,0.1948106437921524,0.15996089577674866,0.22607778012752533
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cell,0.2219196856021881,0.08589249104261398,0.24071010947227478,0.7729857563972473,0.21540969610214233,0.21525812149047852,0.2501513361930847,0.10681795328855515,0.18332023918628693,0.19222842156887054,0.47928139567375183,0.2058541625738144
receptor,0.3249748945236206,0.15440990030765533,0.22843964397907257,0.5432859659194946,0.24805563688278198,0.25855180621147156,0.27841952443122864,0.14371228218078613,0.16219308972358704,0.19285786151885986,0.9999999403953552,0.10260391980409622
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.23072676360607147,0.3206180930137634,0.1950884908437729,0.2838994860649109,0.35032153129577637,0.2411840260028839,0.19219554960727692,0.40561532974243164
tcr,0.3296441435813904,0.19257427752017975,0.3235938847064972,0.32322657108306885,0.28839653730392456,0.2230403572320938,0.30254003405570984,0.28184279799461365,0.20970454812049866,0.33426550030708313,0.3046633005142212,0.31027549505233765
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.22866283357143402,0.3640355169773102,0.19070029258728027,0.27895456552505493,0.3680361211299896,0.26259949803352356,0.1567499190568924,0.42300865054130554
as,0.2033286690711975,0.15640535950660706,0.2405824363231659,0.2328435331583023,0.37788212299346924,0.39550232887268066,0.2646806538105011,0.26424798369407654,0.3886612355709076,0.31749409437179565,0.24416232109069824,0.27043893933296204
opposed,0.06221865862607956,0.03633332625031471,0.25805434584617615,0.19144579768180847,0.32263192534446716,0.229469895362854,0.21995249390602112,0.14990895986557007,0.25387564301490784,0.35573211312294006,0.19966694712638855,0.23428945243358612
to,0.15385806560516357,0.16459326446056366,0.30417174100875854,0.26320719718933105,0.4544740617275238,0.45503583550453186,0.3617510497570038,0.24018406867980957,0.41548454761505127,0.455847829580307,0.20206627249717712,0.29463258385658264
cd4+,0.2966095507144928,0.11930641531944275,0.28947681188583374,0.17714403569698334,0.23526395857334137,0.1962006688117981,0.2308976948261261,0.29632362723350525,0.16020861268043518,0.2433481067419052,0.21655572950839996,0.34284403920173645
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.4711785912513733,0.3739250600337982,0.39536112546920776,0.1978406310081482,0.5116966962814331,0.31309178471565247,0.18191061913967133,0.20544172823429108
cd8+,0.17539247870445251,0.06148591265082359,0.20727157592773438,0.25718626379966736,0.12182896584272385,0.14554034173488617,0.20479148626327515,0.21678610146045685,0.08705504238605499,0.1131703332066536,0.17217083275318146,0.2768722474575043
(,0.22592632472515106,0.15024615824222565,0.29704031348228455,0.2060161978006363,0.23072676360607147,0.3206180930137634,0.1950884908437729,0.2838994860649109,0.35032153129577637,0.2411840260028839,0.19219554960727692,0.40561532974243164
αβ,0.0336436927318573,-0.0024064811877906322,0.07978847622871399,0.05800802633166313,0.06717564165592194,0.06863228976726532,0.147544726729393,-0.002922783140093088,0.011009777896106243,0.1361374855041504,0.04535575583577156,0.08655371516942978
),0.21280205249786377,0.1587669551372528,0.2804548442363739,0.17987960577011108,0.22866283357143402,0.3640355169773102,0.19070029258728027,0.27895456552505493,0.3680361211299896,0.26259949803352356,0.1567499190568924,0.42300865054130554
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.4711785912513733,0.3739250600337982,0.39536112546920776,0.1978406310081482,0.5116966962814331,0.31309178471565247,0.18191061913967133,0.20544172823429108
share,0.0693325623869896,0.06969620287418365,0.16746319830417633,0.09640959650278091,0.3486129939556122,0.18168987333774567,0.30179882049560547,0.1615409255027771,0.2850857973098755,0.2764742076396942,0.19866111874580383,0.1754547506570816
the,0.2307703047990799,0.22022446990013123,0.2083338052034378,0.19095487892627716,0.40389683842658997,0.5829201340675354,0.36412742733955383,0.27268242835998535,0.733189046382904,0.42745697498321533,0.24925383925437927,0.22068053483963013
characteristics,0.25353580713272095,0.18417778611183167,0.14322543144226074,0.3392690420150757,0.3820347487926483,0.3193330764770508,0.4126228094100952,0.1342640519142151,0.289174884557724,0.3016658127307892,0.33749890327453613,0.13894438743591309
of,0.18485099077224731,0.20736707746982574,0.14617829024791718,0.21305565536022186,0.3802283704280853,0.5052502155303955,0.3747533857822418,0.14166875183582306,1.0,0.33290785551071167,0.16219308972358704,0.1826142966747284
helper,0.1405923068523407,0.0551224946975708,0.21132126450538635,0.2926276922225952,0.18280905485153198,0.29617732763290405,0.27178052067756653,0.21629180014133453,0.1962171345949173,0.24017302691936493,0.2727908194065094,0.2250194549560547
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
",",0.22314341366291046,0.2192559540271759,0.31002363562583923,0.20582014322280884,0.3541618287563324,0.427140474319458,0.32220861315727234,0.2078275829553604,0.4946078956127167,0.3087472915649414,0.14651238918304443,0.31091248989105225
cytotoxic,0.35845237970352173,0.20743276178836823,0.3802478611469269,0.6440842151641846,0.34817638993263245,0.2958434224128723,0.32896023988723755,0.1474849134683609,0.2379591315984726,0.27720823884010315,0.5515320897102356,0.2709274888038635
t,0.1944318413734436,0.12643550336360931,0.9999999403953552,0.25527921319007874,0.3575960099697113,0.2456076741218567,0.2220197319984436,0.2485523521900177,0.14617829024791718,0.37454068660736084,0.22843964397907257,0.4954066574573517
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
and,0.16247797012329102,0.21133051812648773,0.25205641984939575,0.24033623933792114,0.4711785912513733,0.3739250600337982,0.39536112546920776,0.1978406310081482,0.5116966962814331,0.31309178471565247,0.18191061913967133,0.20544172823429108
nk,0.23358586430549622,0.199640154838562,0.3221692144870758,0.4314545691013336,0.18930299580097198,0.23390038311481476,0.13466915488243103,0.16016188263893127,0.14548860490322113,0.17948241531848907,0.3885911703109741,0.27499058842658997
cells,0.2772672772407532,0.14615286886692047,0.25527921319007874,1.0,0.294906347990036,0.2297232300043106,0.2834441661834717,0.12476387619972229,0.21305565536022186,0.1758001297712326,0.5432859659194946,0.1898086667060852
.,0.25448304414749146,0.20923152565956116,0.3410096764564514,0.2868211269378662,0.41614407300949097,0.50484299659729,0.31511759757995605,0.2754054665565491,0.5352458953857422,0.3567904531955719,0.2063654065132141,0.4130953550338745
