,who,presided,over,the,assembly,?
it,0.2868398427963257,0.17685021460056305,0.3669605255126953,0.6251175999641418,0.21690727770328522,0.25732165575027466
was,0.3318818509578705,0.2841062843799591,0.24486446380615234,0.48711544275283813,0.2233278602361679,0.18412111699581146
conducted,0.20996502041816711,0.2539115846157074,0.22860203683376312,0.25795331597328186,0.15015527606010437,0.1105341762304306
from,0.27839982509613037,0.17765969038009644,0.37539660930633545,0.40150508284568787,0.20558062195777893,0.19969791173934937
28,-0.2693743109703064,-0.1705354005098343,-0.2415895164012909,-0.31177106499671936,-0.15662088990211487,-0.012856917455792427
january,0.20979668200016022,0.2415999174118042,0.16228726506233215,0.2467057853937149,0.13097475469112396,0.28608936071395874
to,0.42656609416007996,0.197077676653862,0.38635820150375366,0.535392165184021,0.19874803721904755,0.29463258385658264
25,0.139450341463089,0.06937200576066971,0.15422852337360382,0.1671934723854065,0.13493815064430237,0.09614268690347672
may,0.23082798719406128,0.19068880379199982,0.21850831806659698,0.2694292366504669,0.1689656376838684,0.2768254578113556
1521,0.25084468722343445,0.12590323388576508,0.1427353322505951,0.18627284467220306,0.03849532827734947,0.0046399421989917755
",",0.3365725874900818,0.24301666021347046,0.3301127254962921,0.4933079481124878,0.21222424507141113,0.31091248989105225
with,0.3282766342163086,0.17286722362041473,0.34885337948799133,0.4223487675189972,0.0917874276638031,0.2433311939239502
emperor,0.19567297399044037,0.21702072024345398,0.17898882925510406,0.2871226370334625,0.13202276825904846,0.19661661982536316
charles,0.27103671431541443,0.1956343650817871,0.15390260517597198,0.20777860283851624,0.13927330076694489,0.17366734147071838
v,0.06742344051599503,0.17869171500205994,0.10378551483154297,0.18580520153045654,0.07751695811748505,0.28677162528038025
presiding,0.24317249655723572,0.8422600626945496,0.2167411893606186,0.3267684876918793,0.3523325026035309,0.177648663520813
.,0.3541337847709656,0.24766945838928223,0.37877383828163147,0.5934505462646484,0.21666362881660461,0.4130953550338745
