,what,was,the,average,budget,for,abc,movie,of,the,week,films,?
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.22188150882720947,0.4739971458911896,0.2068762183189392,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.23072484135627747,0.22068053483963013
movie,0.19373337924480438,0.3245687186717987,0.2636405825614929,0.17340704798698425,0.35341307520866394,0.22823558747768402,0.24821209907531738,1.0,0.2027330845594406,0.2636405825614929,0.20578457415103912,0.6075599193572998,0.18408656120300293
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.19846364855766296,0.4185989499092102,0.14607268571853638,0.2027330845594406,1.0,0.733189046382904,0.17998629808425903,0.2151229828596115,0.1826142966747284
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.22188150882720947,0.4739971458911896,0.2068762183189392,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.23072484135627747,0.22068053483963013
week,0.2483774870634079,0.24251437187194824,0.28402599692344666,0.25936517119407654,0.2960512936115265,0.3263654112815857,0.2554396390914917,0.20578457415103912,0.17998629808425903,0.28402599692344666,0.9999998807907104,0.1597924381494522,0.25105318427085876
broadcast,0.17857211828231812,0.24068336188793182,0.2713715434074402,0.200475811958313,0.20662906765937805,0.2546502649784088,0.4876510202884674,0.31659966707229614,0.20155203342437744,0.2713715434074402,0.26139819622039795,0.2753957509994507,0.15760008990764618
feature-length,0.2910786271095276,0.22216331958770752,0.33669623732566833,0.3102132976055145,0.25659406185150146,0.28873512148857117,0.23730427026748657,0.30069369077682495,0.27683764696121216,0.33669623732566833,0.29322323203086853,0.2673967778682709,0.2911895215511322
dramatic,0.21034127473831177,0.2031773328781128,0.23786477744579315,0.09107799828052521,0.23801912367343903,0.23279651999473572,0.19354327023029327,0.3681364357471466,0.2346239984035492,0.23786477744579315,0.18194958567619324,0.31838852167129517,0.12461373209953308
films,0.19852851331233978,0.16167162358760834,0.23072484135627747,0.08961023390293121,0.333769828081131,0.22327518463134766,0.2945549488067627,0.6075599193572998,0.2151229828596115,0.23072484135627747,0.1597924381494522,1.0,0.20618696510791779
directed,0.1783117949962616,0.257819801568985,0.21284286677837372,0.07876403629779816,0.2863767147064209,0.1671864539384842,0.21622157096862793,0.6641361117362976,0.14901293814182281,0.21284286677837372,0.1435445100069046,0.45424512028694153,0.1359327733516693
by,0.2455483376979828,0.4752357602119446,0.4408751428127289,0.15240925550460815,0.17445829510688782,0.3248702883720398,0.17600902915000916,0.2365020364522934,0.3646814823150635,0.4408751428127289,0.18445399403572083,0.17187541723251343,0.17966607213020325
such,0.23989605903625488,0.12487147748470306,0.3575236201286316,0.09905410557985306,0.1515956073999405,0.36098620295524597,0.12735801935195923,0.1562555581331253,0.3209529519081116,0.3575236201286316,0.16280169785022736,0.26668307185173035,0.17851735651493073
talented,0.20806385576725006,0.311065673828125,0.17804895341396332,0.1980431079864502,0.1651846319437027,0.2872461676597595,0.13606850802898407,0.2786638140678406,0.16478027403354645,0.17804895341396332,0.12842915952205658,0.2624569833278656,0.1643860936164856
filmmakers,0.22920341789722443,0.2908153235912323,0.220591738820076,0.08059674501419067,0.3567447066307068,0.21301592886447906,0.1686781644821167,0.5816031694412231,0.1806061565876007,0.220591738820076,0.17652729153633118,0.5541104674339294,0.1430472582578659
as,0.31749409437179565,0.3677520453929901,0.48381632566452026,0.1320570707321167,0.21707099676132202,0.44774648547172546,0.2286096066236496,0.2502664625644684,0.3886612355709076,0.48381632566452026,0.26266953349113464,0.26995572447776794,0.27043893933296204
aaron,0.20156994462013245,0.251950204372406,0.201257586479187,0.1264362931251526,0.10102786868810654,0.21841077506542206,0.2633361518383026,0.18435026705265045,0.10001035034656525,0.201257586479187,0.22686408460140228,0.12424183636903763,0.13720838725566864
spelling,0.2473261058330536,0.1815265715122223,0.23768942058086395,0.18409165740013123,0.12856943905353546,0.244150772690773,0.13220389187335968,0.13212282955646515,0.19078011810779572,0.23768942058086395,0.15364237129688263,0.08481098711490631,0.23016591370105743
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.23098047077655792,0.17821282148361206,0.4464869201183319,0.2097204476594925,0.2886425256729126,0.4946078956127167,0.4933079481124878,0.3187089264392853,0.2246396839618683,0.31091248989105225
david,0.1299152821302414,0.2655363976955414,0.2237231284379959,0.046241335570812225,0.13224466145038605,0.20388762652873993,0.20814158022403717,0.20605851709842682,0.191870778799057,0.2237231284379959,0.08128302544355392,0.15193481743335724,0.04158485680818558
wolper,0.23341822624206543,0.2863337993621826,0.30829790234565735,0.1549544781446457,0.1473589539527893,0.2618885636329651,0.24365592002868652,0.31325986981391907,0.275924414396286,0.30829790234565735,0.21873974800109863,0.22565580904483795,0.2258235514163971
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.2138829380273819,0.24134306609630585,0.5064792633056641,0.16453155875205994,0.27676329016685486,0.5116966962814331,0.5171257257461548,0.23252390325069427,0.2671501636505127,0.20544172823429108
steven,0.1722090095281601,0.2666833996772766,0.21446210145950317,0.11780758202075958,0.20883247256278992,0.203480064868927,0.23952172696590424,0.415337473154068,0.20107577741146088,0.21446210145950317,0.13630351424217224,0.325454980134964,0.10277901589870453
spielberg,0.17941702902317047,0.2823289930820465,0.27378904819488525,0.15936167538166046,0.35342225432395935,0.21702688932418823,0.24919062852859497,0.5566684603691101,0.21589519083499908,0.27378904819488525,0.16591736674308777,0.4291548430919647,0.14748825132846832
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.20423224568367004,0.20076313614845276,0.3357032239437103,0.183883935213089,0.25030237436294556,0.35032153129577637,0.33289089798927307,0.21499474346637726,0.1647951751947403,0.40561532974243164
the,0.42745697498321533,0.48711544275283813,1.0,0.27058175206184387,0.22188150882720947,0.4739971458911896,0.2068762183189392,0.2636405825614929,0.733189046382904,1.0,0.28402599692344666,0.23072484135627747,0.22068053483963013
latter,0.25606152415275574,0.24597382545471191,0.37523433566093445,0.10557756572961807,0.12166626006364822,0.22359251976013184,0.09004172682762146,0.21833454072475433,0.34553682804107666,0.37523433566093445,0.2481144666671753,0.2147873491048813,0.12733961641788483
of,0.33290785551071167,0.4069072902202606,0.733189046382904,0.23717734217643738,0.19846364855766296,0.4185989499092102,0.14607268571853638,0.2027330845594406,1.0,0.733189046382904,0.17998629808425903,0.2151229828596115,0.1826142966747284
whom,0.27163395285606384,0.2438793033361435,0.23752936720848083,0.13661505281925201,0.12590952217578888,0.24361787736415863,0.14106182754039764,0.20296356081962585,0.2070929855108261,0.23752936720848083,0.18511609733104706,0.17011532187461853,0.222135990858078
gained,0.15457381308078766,0.3571169674396515,0.29543522000312805,0.11679983884096146,0.2053019404411316,0.28392210602760315,0.12854304909706116,0.24838480353355408,0.29895761609077454,0.29543522000312805,0.15451738238334656,0.22273507714271545,0.11261032521724701
