,when,was,the,battle,of,frankenhausen,?
their,0.3682888448238373,0.2396296262741089,0.516537070274353,0.12281665951013565,0.4329940676689148,0.15531717240810394,0.1898253709077835
defeat,0.1783166080713272,0.24067381024360657,0.3182816207408905,0.5788845419883728,0.2543899118900299,0.13921549916267395,0.12980464100837708
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.14325805008411407,0.3646814823150635,0.23665344715118408,0.17966607213020325
the,0.5091903209686279,0.48711544275283813,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
swabian,0.13477995991706848,0.19343580305576324,0.28632035851478577,0.2558785080909729,0.33448514342308044,0.5461001396179199,0.09673494100570679
league,0.2000882774591446,0.21425791084766388,0.2724147439002991,0.19218440353870392,0.23588460683822632,0.16274768114089966,0.15941482782363892
at,0.38876327872276306,0.36707764863967896,0.457212895154953,0.23658646643161774,0.42558613419532776,0.1546228677034378,0.21978627145290375
the,0.5091903209686279,0.48711544275283813,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
battle,0.15145152807235718,0.23319749534130096,0.2820790410041809,1.0000001192092896,0.2291749268770218,0.1847819685935974,0.1680624783039093
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2291749268770218,1.0,0.29499220848083496,0.1826142966747284
frankenhausen,0.2112911492586136,0.25396233797073364,0.29454031586647034,0.1847819685935974,0.29499220848083496,1.0000001192092896,0.13644467294216156
on,0.37706470489501953,0.3909217119216919,0.5107308030128479,0.19314859807491302,0.3966929316520691,0.21530114114284515,0.2714994251728058
15,-0.04047394171357155,0.08381640166044235,-0.011810222640633583,0.06584225594997406,-0.02319195494055748,0.06571688503026962,-0.010706285014748573
may,0.3167054355144501,0.3388521671295166,0.2694292366504669,0.14497102797031403,0.26447007060050964,0.1784633994102478,0.2768254578113556
1525,0.1290116310119629,0.15307100117206573,0.1667099893093109,0.1825634241104126,0.13786408305168152,0.23958784341812134,0.09607826918363571
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.27318111062049866,0.31091248989105225
followed,0.2927686870098114,0.2845839560031891,0.3567860722541809,0.1610945165157318,0.3060508966445923,0.19532766938209534,0.20567169785499573
by,0.4376842677593231,0.4752357602119446,0.4408751428127289,0.14325805008411407,0.3646814823150635,0.23665344715118408,0.17966607213020325
müntzer,0.20007988810539246,0.29389744997024536,0.2577848732471466,0.1339099109172821,0.23115643858909607,0.5609318614006042,0.16854120790958405
's,-0.03368149697780609,0.008974763564765453,-0.01540423184633255,-0.03793543204665184,-0.03817026689648628,0.06359266489744186,-0.023395681753754616
execution,0.20145979523658752,0.2584546208381653,0.2074618637561798,0.20539399981498718,0.2427012324333191,0.13191579282283783,0.15878841280937195
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23037992417812347,0.4946078956127167,0.27318111062049866,0.31091248989105225
brought,0.2630053460597992,0.35886916518211365,0.32700833678245544,0.14410138130187988,0.3339962065219879,0.1813696026802063,0.2339296191930771
the,0.5091903209686279,0.48711544275283813,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
revolutionary,0.16814009845256805,0.3165914714336395,0.24521014094352722,0.2977171838283539,0.29118266701698303,0.13065773248672485,0.1343436986207962
stage,0.1701377034187317,0.2081151008605957,0.22652170062065125,0.1581464260816574,0.1389172226190567,0.24359174072742462,0.14916576445102692
of,0.3757161796092987,0.4069072902202606,0.733189046382904,0.2291749268770218,1.0,0.29499220848083496,0.1826142966747284
the,0.5091903209686279,0.48711544275283813,1.0,0.2820790410041809,0.733189046382904,0.29454031586647034,0.22068053483963013
reformation,0.25376176834106445,0.29210031032562256,0.3290504217147827,0.23113088309764862,0.311197429895401,0.20214423537254333,0.14843040704727173
to,0.5423505902290344,0.3636345863342285,0.535392165184021,0.17405389249324799,0.41548454761505127,0.15257810056209564,0.29463258385658264
a,0.44397395849227905,0.4508470594882965,0.5829201340675354,0.1176733672618866,0.5052502155303955,0.22032490372657776,0.23916715383529663
close,0.24366304278373718,0.2393932342529297,0.2625353932380676,0.1496185064315796,0.24178770184516907,0.1313599795103073,0.1908312737941742
.,0.475719153881073,0.40146201848983765,0.5934505462646484,0.1661834716796875,0.5352458953857422,0.27764490246772766,0.4130953550338745
