,what,kind,of,committee,considered,legislation,on,the,development,of,the,edinburgh,tram,network,?
private,0.16778090596199036,0.17179736495018005,0.18706899881362915,0.12431012094020844,0.1839175969362259,0.21290528774261475,0.21000011265277863,0.18291357159614563,0.1511555016040802,0.18706899881362915,0.18291357159614563,0.1506553590297699,0.22961850464344025,0.26141172647476196,0.14389030635356903
bills,0.19447143375873566,0.13566650450229645,0.21196214854717255,0.1678713709115982,0.13819974660873413,0.42547592520713806,0.17112649977207184,0.2371491938829422,0.13822051882743835,0.21196214854717255,0.2371491938829422,0.07860802114009857,0.1449827253818512,0.1826738864183426,0.12315891683101654
normally,0.30112072825431824,0.342668354511261,0.25552743673324585,0.12160460650920868,0.28660500049591064,0.2372894585132599,0.27004700899124146,0.3523634970188141,0.20435704290866852,0.25552743673324585,0.3523634970188141,0.18568389117717743,0.16403928399085999,0.19812901318073273,0.20675471425056458
relate,0.3499033451080322,0.27040407061576843,0.28477197885513306,0.16189789772033691,0.2126939445734024,0.24031609296798706,0.28361034393310547,0.27545472979545593,0.2107202410697937,0.28477197885513306,0.27545472979545593,0.09831323474645615,0.10625653713941574,0.23293434083461761,0.2502281963825226
to,0.455847829580307,0.28460726141929626,0.41548454761505127,0.24979650974273682,0.2954166829586029,0.25758448243141174,0.41031414270401,0.535392165184021,0.27639102935791016,0.41548454761505127,0.535392165184021,0.14218463003635406,0.18523995578289032,0.25940340757369995,0.29463258385658264
large-scale,0.26211512088775635,0.21660247445106506,0.37598544359207153,0.21360407769680023,0.2723360061645508,0.314394474029541,0.29257041215896606,0.3744625151157379,0.334501713514328,0.37598544359207153,0.3744625151157379,0.2384977638721466,0.2217588722705841,0.23116549849510193,0.238608717918396
development,0.19014155864715576,0.21010948717594147,0.28700894117355347,0.2904417812824249,0.21657447516918182,0.2585637867450714,0.23800693452358246,0.3362044394016266,0.9999998807907104,0.28700894117355347,0.3362044394016266,0.1308191567659378,0.13538284599781036,0.24427877366542816,0.1211358830332756
projects,0.28646913170814514,0.1472882181406021,0.21610960364341736,0.23150348663330078,0.2355428785085678,0.2623921036720276,0.2934565842151642,0.23802334070205688,0.37195149064064026,0.21610960364341736,0.23802334070205688,0.1653391718864441,0.20007091760635376,0.2869057357311249,0.3193145990371704
such,0.23989605903625488,0.35786283016204834,0.3209529519081116,0.15394949913024902,0.32339993119239807,0.23312735557556152,0.3181164264678955,0.3575236201286316,0.2551344335079193,0.3209529519081116,0.3575236201286316,0.11699008196592331,0.11144556850194931,0.16911613941192627,0.17851735651493073
as,0.31749409437179565,0.22719812393188477,0.3886612355709076,0.1826688051223755,0.4031961262226105,0.2390523999929428,0.36047765612602234,0.48381632566452026,0.22143439948558807,0.3886612355709076,0.48381632566452026,0.14736899733543396,0.1684577912092209,0.2054080367088318,0.27043893933296204
