,where,did,kenyatta,visit,at,the,invitation,of,the,president,?
later,0.2942849397659302,0.38386887311935425,0.24297484755516052,0.18868564069271088,0.3238905966281891,0.4060266613960266,0.246966153383255,0.3458743393421173,0.4060266613960266,0.17261546850204468,0.1417175978422165
in,0.5344807505607605,0.2593238651752472,0.28018826246261597,0.2627917230129242,0.4374977946281433,0.6662389636039734,0.24453383684158325,0.5696388483047485,0.6662389636039734,0.18811661005020142,0.20430970191955566
the,0.5003893971443176,0.34736719727516174,0.24919013679027557,0.28665876388549805,0.457212895154953,1.0,0.2447957694530487,0.733189046382904,1.0,0.24330610036849976,0.22068053483963013
summer,0.2592296600341797,0.2209298312664032,0.22447189688682556,0.26707255840301514,0.31800585985183716,0.2685571610927582,0.28964000940322876,0.2329561412334442,0.2685571610927582,0.15192651748657227,0.11625723540782928
",",0.3149496018886566,0.3015086054801941,0.3446381092071533,0.2669648230075836,0.38314947485923767,0.4933079481124878,0.24910765886306763,0.4946078956127167,0.4933079481124878,0.26552814245224,0.31091248989105225
kenyatta,0.20548281073570251,0.16177290678024292,1.0,0.19846861064434052,0.28662872314453125,0.24919013679027557,0.21471098065376282,0.2688030004501343,0.24919013679027557,0.4339151084423065,0.1456252485513687
visited,0.3251115679740906,0.25100022554397583,0.2031392753124237,0.7255557179450989,0.32017049193382263,0.2620144784450531,0.3144756257534027,0.25362586975097656,0.2620144784450531,0.22014960646629333,0.10874007642269135
china,0.2026863694190979,0.16472692787647247,0.3258764445781708,0.1784830391407013,0.1485295444726944,0.3110525608062744,0.12474757432937622,0.27699828147888184,0.3110525608062744,0.21044477820396423,0.18007943034172058
at,0.4402937591075897,0.28390252590179443,0.28662872314453125,0.27514204382896423,1.0,0.457212895154953,0.2870117723941803,0.42558613419532776,0.457212895154953,0.1509951651096344,0.21978627145290375
the,0.5003893971443176,0.34736719727516174,0.24919013679027557,0.28665876388549805,0.457212895154953,1.0,0.2447957694530487,0.733189046382904,1.0,0.24330610036849976,0.22068053483963013
invitation,0.2676970958709717,0.31482818722724915,0.21471098065376282,0.3552330732345581,0.2870117723941803,0.2447957694530487,0.9999999403953552,0.2094687968492508,0.2447957694530487,0.3006781339645386,0.23756657540798187
of,0.38066378235816956,0.2513895630836487,0.2688030004501343,0.2779003083705902,0.42558613419532776,0.733189046382904,0.2094687968492508,1.0,0.733189046382904,0.21610750257968903,0.1826142966747284
president,0.1105213314294815,0.1801012009382248,0.4339151084423065,0.22164343297481537,0.1509951651096344,0.24330610036849976,0.3006781339645386,0.21610750257968903,0.24330610036849976,1.0000001192092896,0.14148259162902832
xi,0.1821271777153015,0.12345254421234131,0.22137753665447235,0.18168768286705017,0.06467460840940475,0.22612035274505615,0.053763438016176224,0.25630971789360046,0.22612035274505615,0.1474674940109253,0.16712191700935364
jinping,0.2147832065820694,0.16753552854061127,0.49688291549682617,0.27145686745643616,0.19163715839385986,0.32138901948928833,0.28014877438545227,0.2920961380004883,0.32138901948928833,0.40440383553504944,0.26418060064315796
after,0.31753596663475037,0.30330467224121094,0.3065343201160431,0.20257678627967834,0.3622083067893982,0.4565047025680542,0.30151620507240295,0.3867455720901489,0.4565047025680542,0.25286588072776794,0.16608688235282898
a,0.40997210144996643,0.2552328109741211,0.23236000537872314,0.18409983813762665,0.3095070421695709,0.5829201340675354,0.21919983625411987,0.5052502155303955,0.5829201340675354,0.16959697008132935,0.23916715383529663
stop,0.22008778154850006,0.2599695324897766,0.14648915827274323,0.19521304965019226,0.19438834488391876,0.25771772861480713,0.14004936814308167,0.2052845060825348,0.25771772861480713,0.17587757110595703,0.23117060959339142
in,0.5344807505607605,0.2593238651752472,0.28018826246261597,0.2627917230129242,0.4374977946281433,0.6662389636039734,0.24453383684158325,0.5696388483047485,0.6662389636039734,0.18811661005020142,0.20430970191955566
russia,0.22036272287368774,0.15303444862365723,0.246322900056839,0.19790546596050262,0.15670505166053772,0.2746676802635193,0.13256090879440308,0.23331232368946075,0.2746676802635193,0.21443186700344086,0.13907001912593842
and,0.43859338760375977,0.34479495882987976,0.2320956587791443,0.25392410159111023,0.3571503460407257,0.5171257257461548,0.26186540722846985,0.5116966962814331,0.5171257257461548,0.23286236822605133,0.20544172823429108
not,0.3820744752883911,0.6481515765190125,0.1546349823474884,0.22017687559127808,0.22025953233242035,0.4310511648654938,0.23457689583301544,0.3307090103626251,0.4310511648654938,0.12908896803855896,0.41942933201789856
having,0.37131187319755554,0.3157401978969574,0.17713579535484314,0.1663745492696762,0.27838799357414246,0.3821379244327545,0.24576301872730255,0.38889452815055847,0.3821379244327545,0.15161333978176117,0.22418256103992462
visited,0.3251115679740906,0.25100022554397583,0.2031392753124237,0.7255557179450989,0.32017049193382263,0.2620144784450531,0.3144756257534027,0.25362586975097656,0.2620144784450531,0.22014960646629333,0.10874007642269135
the,0.5003893971443176,0.34736719727516174,0.24919013679027557,0.28665876388549805,0.457212895154953,1.0,0.2447957694530487,0.733189046382904,1.0,0.24330610036849976,0.22068053483963013
united,0.23721055686473846,0.21137088537216187,0.3127996325492859,0.18391408026218414,0.2064037322998047,0.34367692470550537,0.18995699286460876,0.3187655806541443,0.34367692470550537,0.29482975602149963,0.17266890406608582
states,0.24649012088775635,0.21754568815231323,0.266288161277771,0.15545864403247833,0.19903600215911865,0.3463578522205353,0.16620273888111115,0.30884552001953125,0.3463578522205353,0.33416953682899475,0.16272737085819244
as,0.35409465432167053,0.3596470057964325,0.23815780878067017,0.23058713972568512,0.28092536330223083,0.48381632566452026,0.1968020647764206,0.3886612355709076,0.48381632566452026,0.2031671553850174,0.27043893933296204
