,in,what,process,is,the,uptake,from,oxygen,necessary,?
uptake,0.2259342074394226,0.29663795232772827,0.4576450288295746,0.30555960536003113,0.3149206340312958,1.0,0.2733117938041687,0.5149922966957092,0.43288445472717285,0.2128267139196396
of,0.5696388483047485,0.33290785551071167,0.23962904512882233,0.4854315221309662,0.733189046382904,0.3265533149242401,0.4249346852302551,0.16848602890968323,0.26879626512527466,0.1826142966747284
o,0.17052006721496582,0.1489914506673813,0.09737319499254227,0.18684464693069458,0.19071193039417267,0.1623355746269226,0.13131019473075867,0.2476140707731247,0.12816359102725983,0.23868927359580994
2,0.01447046548128128,-0.049862053245306015,-0.015452575869858265,-0.07940074801445007,-0.019434669986367226,0.0359262079000473,0.02852952666580677,0.04063820466399193,0.02395690605044365,0.001977203879505396
from,0.4274188280105591,0.2737620174884796,0.21066352725028992,0.27355384826660156,0.40150508284568787,0.2733117938041687,1.0,0.23457925021648407,0.1611299067735672,0.19969791173934937
the,0.6662389636039734,0.42745697498321533,0.264274537563324,0.5823672413825989,1.0,0.3149206340312958,0.40150508284568787,0.20428593456745148,0.28364068269729614,0.22068053483963013
air,0.22172939777374268,0.10361403971910477,0.12655074894428253,0.2280944287776947,0.2877824306488037,0.2452080249786377,0.20934231579303741,0.3506372570991516,0.1604512333869934,0.1491677612066269
is,0.5394441485404968,0.28837618231773376,0.21762968599796295,1.0,0.5823672413825989,0.30555960536003113,0.27355384826660156,0.21825239062309265,0.23441283404827118,0.22961433231830597
the,0.6662389636039734,0.42745697498321533,0.264274537563324,0.5823672413825989,1.0,0.3149206340312958,0.40150508284568787,0.20428593456745148,0.28364068269729614,0.22068053483963013
essential,0.17893759906291962,0.26907849311828613,0.3492717444896698,0.23025840520858765,0.25420910120010376,0.4380425810813904,0.1942107379436493,0.2947494685649872,0.42748260498046875,0.17944687604904175
purpose,0.2706536650657654,0.33113807439804077,0.316921204328537,0.25441038608551025,0.3061215281486511,0.27962249517440796,0.2079712450504303,0.14631736278533936,0.4290428161621094,0.21892647445201874
of,0.5696388483047485,0.33290785551071167,0.23962904512882233,0.4854315221309662,0.733189046382904,0.3265533149242401,0.4249346852302551,0.16848602890968323,0.26879626512527466,0.1826142966747284
respiration,0.25548887252807617,0.23671798408031464,0.40302765369415283,0.2597092092037201,0.29438328742980957,0.5848042964935303,0.2900363802909851,0.5477889776229858,0.29964524507522583,0.17575538158416748
",",0.5201468467712402,0.3087472915649414,0.2061346471309662,0.4691906273365021,0.4933079481124878,0.25578540563583374,0.39760664105415344,0.21812842786312103,0.2641502320766449,0.31091248989105225
so,0.31275880336761475,0.539469838142395,0.3535558879375458,0.3153412640094757,0.4296516180038452,0.3562016785144806,0.2813224494457245,0.3034515082836151,0.5172240734100342,0.43163934350013733
oxygen,0.1672476977109909,0.16781960427761078,0.3080802857875824,0.21825239062309265,0.20428593456745148,0.5149922966957092,0.23457925021648407,0.9999999403953552,0.31525373458862305,0.16786395013332367
supplementation,0.2222147285938263,0.2423320710659027,0.3660736382007599,0.2727413475513458,0.2663894593715668,0.4519445598125458,0.2005363553762436,0.2865006625652313,0.3867936134338379,0.19752401113510132
is,0.5394441485404968,0.28837618231773376,0.21762968599796295,1.0,0.5823672413825989,0.30555960536003113,0.27355384826660156,0.21825239062309265,0.23441283404827118,0.22961433231830597
used,0.3090210556983948,0.27546408772468567,0.2672698497772217,0.3288823366165161,0.3718377649784088,0.29009774327278137,0.25821518898010254,0.21276918053627014,0.4542721211910248,0.22430120408535004
in,1.0,0.30808621644973755,0.19851736724376678,0.5394441485404968,0.6662389636039734,0.2259342074394226,0.4274188280105591,0.1672476977109909,0.1872260719537735,0.20430970191955566
medicine,0.2281779944896698,0.20377366244792938,0.12324623763561249,0.13468733429908752,0.19564834237098694,0.36056917905807495,0.1637396514415741,0.2145002782344818,0.16318485140800476,0.14826606214046478
.,0.5591574311256409,0.3567904531955719,0.23766504228115082,0.4569662809371948,0.5934505462646484,0.2771942615509033,0.41536515951156616,0.2554275095462799,0.26437801122665405,0.4130953550338745
