,what,does,the,acronym,lem,stand,for,?
webb,0.07876737415790558,0.0720260888338089,0.2468639612197876,0.06566685438156128,0.18276537954807281,0.17046329379081726,0.24088044464588165,0.11173157393932343
held,0.0974166989326477,0.14484372735023499,0.32185450196266174,0.056143373250961304,0.06268474459648132,0.22420667111873627,0.2495253086090088,0.14103956520557404
firm,0.15721003711223602,0.16035035252571106,0.185079887509346,0.0934668555855751,0.05037575215101242,0.18227151036262512,0.1946931630373001,0.08762375265359879
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21347589790821075,0.21355289220809937,0.27589988708496094,0.4464869201183319,0.31091248989105225
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.113299161195755,0.17696882784366608,0.268960565328598,0.5064792633056641,0.20544172823429108
issued,0.18988175690174103,0.14528638124465942,0.22837360203266144,0.08219457417726517,0.20387940108776093,0.1230539008975029,0.1953880786895752,0.169851616024971
a,0.3320399522781372,0.38201746344566345,0.5829201340675354,0.20950040221214294,0.1956283301115036,0.26977941393852234,0.44038116931915283,0.23916715383529663
request,0.32393980026245117,0.21947665512561798,0.18777982890605927,0.12617820501327515,0.1754889041185379,0.14325661957263947,0.24378444254398346,0.3439766466617584
for,0.3017193675041199,0.35159170627593994,0.4739971458911896,0.2647229731082916,0.16351968050003052,0.29936376214027405,0.9999999403953552,0.264628142118454
proposal,0.3435455560684204,0.2626917064189911,0.24154584109783173,0.14092810451984406,0.153521329164505,0.19757260382175446,0.2781776189804077,0.362845778465271
to,0.455847829580307,0.4391997456550598,0.535392165184021,0.17651188373565674,0.08582959324121475,0.23655876517295837,0.4451248347759247,0.29463258385658264
candidate,0.23493148386478424,0.20801585912704468,0.20382727682590485,0.10393548756837845,0.10157645493745804,0.21339620649814606,0.29635027050971985,0.2826109528541565
lunar,0.18274477124214172,0.12795574963092804,0.23309995234012604,0.11795273423194885,0.0620480440557003,0.08175360411405563,0.16840216517448425,0.1628302037715912
excursion,0.24618709087371826,0.21495790779590607,0.2504052519798279,0.16763687133789062,0.10098189115524292,0.08272165060043335,0.1914117932319641,0.14232851564884186
module,0.2071267068386078,0.18762138485908508,0.15147453546524048,0.15073177218437195,0.06280344724655151,0.08759357035160065,0.20810315012931824,0.2131270468235016
(,0.2411840260028839,0.2728188931941986,0.33289089798927307,0.23940598964691162,0.2167537659406662,0.15827840566635132,0.3357032239437103,0.40561532974243164
lem,0.12821762263774872,0.15157826244831085,0.07303371280431747,0.11678721010684967,1.0,0.23722019791603088,0.16351968050003052,0.15837547183036804
),0.26259949803352356,0.2575884759426117,0.3456730246543884,0.2410539984703064,0.20945881307125092,0.14393578469753265,0.3639558255672455,0.42300865054130554
contractors,0.23078002035617828,0.181083545088768,0.2715458869934082,0.2773650884628296,0.09068513661623001,0.15798577666282654,0.3159017562866211,0.10574613511562347
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.1759447604417801,0.17697420716285706,0.2296130359172821,0.4726039469242096,0.4130953550338745
