,what,did,tesla,do,in,maribor,for,work,?
tesla,0.23221199214458466,0.09757418930530548,0.9999999403953552,0.13880622386932373,0.17097744345664978,0.27573591470718384,0.13983871042728424,0.2545209228992462,0.10250775516033173
went,0.20164033770561218,0.4810470640659332,0.028210537508130074,0.20730239152908325,0.30470821261405945,0.2118523120880127,0.26803430914878845,0.23569436371326447,0.12109432369470596
to,0.455847829580307,0.4452643394470215,0.17548894882202148,0.38876664638519287,0.45010748505592346,0.12648990750312805,0.4451248347759247,0.3482864499092102,0.29463258385658264
maribor,0.1174127608537674,0.12977203726768494,0.27573591470718384,0.12307749688625336,0.23184849321842194,1.0,0.14326082170009613,0.13297578692436218,0.11120094358921051
(,0.2411840260028839,0.18979617953300476,0.2156914919614792,0.24216170608997345,0.3087427020072937,0.24899959564208984,0.3357032239437103,0.22960703074932098,0.40561532974243164
now,0.4903225302696228,0.2646316885948181,0.26316559314727783,0.2690879702568054,0.3619694113731384,0.16802851855754852,0.3636377453804016,0.32902517914772034,0.29641881585121155
in,0.30808621644973755,0.2593238651752472,0.17097744345664978,0.23402775824069977,1.0,0.23184849321842194,0.4322226941585541,0.2753349542617798,0.20430970191955566
slovenia,0.184616819024086,0.10516121238470078,0.3300865590572357,0.13141408562660217,0.2484244853258133,0.39378365874290466,0.2192581295967102,0.09864126145839691,0.13889609277248383
),0.26259949803352356,0.18584993481636047,0.22692398726940155,0.24460165202617645,0.3326910734176636,0.2516503930091858,0.3639558255672455,0.251366525888443,0.42300865054130554
",",0.3087472915649414,0.3015086054801941,0.20599327981472015,0.3283645510673523,0.5201468467712402,0.2703421413898468,0.4464869201183319,0.3283594250679016,0.31091248989105225
where,0.4457937180995941,0.24159270524978638,0.12761090695858002,0.2949419915676117,0.5344807505607605,0.14409588277339935,0.38599511981010437,0.2737104296684265,0.24793872237205505
he,0.3114890456199646,0.3292143940925598,0.12373391538858414,0.19599148631095886,0.41690486669540405,0.22360263764858246,0.4540175199508667,0.3134653568267822,0.2089974731206894
worked,0.168898344039917,0.3377852141857147,0.15985111892223358,0.18457072973251343,0.28707414865493774,0.1790173351764679,0.3048533797264099,0.5897743105888367,0.0901828184723854
as,0.31749409437179565,0.3596470057964325,0.10285310447216034,0.38329678773880005,0.3887844979763031,0.05401680991053581,0.44774648547172546,0.32418152689933777,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.26237669587135315,0.539380669593811,0.14672714471817017,0.44038116931915283,0.266241192817688,0.23916715383529663
draftsman,0.1719636470079422,0.2419973909854889,0.24013198912143707,0.10902649164199829,0.2309640794992447,0.154789537191391,0.3195752203464508,0.30046728253364563,0.1333959698677063
for,0.3017193675041199,0.318512886762619,0.13983871042728424,0.29510271549224854,0.4322226941585541,0.14326082170009613,0.9999999403953552,0.4087657630443573,0.264628142118454
60,0.07328611612319946,0.009732695296406746,0.06023029237985611,-0.03852665424346924,0.008437495678663254,0.007561426609754562,0.033401429653167725,0.07546765357255936,0.06999651342630386
florins,0.1347934454679489,0.14970612525939941,0.17479294538497925,0.18837864696979523,0.25343072414398193,0.2559469938278198,0.23298485577106476,0.18523383140563965,0.1359061747789383
a,0.3320399522781372,0.2552328109741211,0.2211925983428955,0.26237669587135315,0.539380669593811,0.14672714471817017,0.44038116931915283,0.266241192817688,0.23916715383529663
month,0.21444633603096008,0.19685830175876617,0.1450187712907791,0.21290434896945953,0.2385365217924118,0.15600840747356415,0.23262934386730194,0.17492033541202545,0.23961511254310608
.,0.3567904531955719,0.35288307070732117,0.17949827015399933,0.3613996207714081,0.5591574311256409,0.2147160917520523,0.4726039469242096,0.33121398091316223,0.4130953550338745
