,in,what,way,did,lavoisier,see,that,the,tin,he,used,in,his,experiment,had,increased,?
he,0.41690486669540405,0.3114890456199646,0.31626078486442566,0.3292143940925598,0.2724253535270691,0.22176040709018707,0.36068853735923767,0.4571082592010498,0.1506805270910263,1.0000001192092896,0.17024852335453033,0.41690486669540405,0.7171558737754822,0.21155096590518951,0.43657350540161133,0.1794322282075882,0.2089974731206894
also,0.5073733329772949,0.42747777700424194,0.4348735213279724,0.39334940910339355,0.2513093948364258,0.36217638850212097,0.6005857586860657,0.6021018624305725,0.2569226622581482,0.4735357165336609,0.45273035764694214,0.5073733329772949,0.38173818588256836,0.23137080669403076,0.4027194678783417,0.29262813925743103,0.21848613023757935
noted,0.2277849018573761,0.16981294751167297,0.20432263612747192,0.2848167419433594,0.22030262649059296,0.2536967694759369,0.28664639592170715,0.248806893825531,0.14279696345329285,0.22950462996959686,0.26188796758651733,0.2277849018573761,0.27043449878692627,0.24966390430927277,0.34950271248817444,0.28031185269355774,0.13014346361160278
that,0.435920387506485,0.6297725439071655,0.5086538195610046,0.47518548369407654,0.2734697759151459,0.4087662696838379,1.0,0.5473989248275757,0.13278619945049286,0.36068853735923767,0.37621384859085083,0.435920387506485,0.3173833191394806,0.3135862946510315,0.4407361149787903,0.28310200572013855,0.32716336846351624
the,0.6662389636039734,0.42745697498321533,0.36217406392097473,0.34736719727516174,0.2755334973335266,0.3770301640033722,0.5473989248275757,1.0,0.16664911806583405,0.4571082592010498,0.3718377649784088,0.6662389636039734,0.4394008219242096,0.168198361992836,0.3875846862792969,0.3188653886318207,0.22068053483963013
tin,0.16545431315898895,0.13447299599647522,0.12188887596130371,0.1350124478340149,0.20577198266983032,0.13856086134910583,0.13278619945049286,0.16664911806583405,1.0000001192092896,0.1506805270910263,0.24936543405056,0.16545431315898895,0.1281363070011139,0.09928371757268906,0.13678646087646484,0.12894584238529205,0.15453141927719116
had,0.385026752948761,0.23849567770957947,0.2827965021133423,0.540525496006012,0.2904156446456909,0.2246210128068924,0.4407361149787903,0.3875846862792969,0.13678646087646484,0.43657350540161133,0.2477826625108719,0.385026752948761,0.4401516616344452,0.16765940189361572,0.9999999403953552,0.3941768705844879,0.20728366076946259
increased,0.244624063372612,0.1599731743335724,0.17135123908519745,0.20765343308448792,0.2132112979888916,0.17319391667842865,0.28310200572013855,0.3188653886318207,0.12894584238529205,0.1794322282075882,0.24995848536491394,0.244624063372612,0.22739072144031525,0.16167186200618744,0.3941768705844879,1.0000001192092896,0.09587585180997849
in,1.0,0.30808621644973755,0.30444321036338806,0.2593238651752472,0.324543833732605,0.2973747253417969,0.435920387506485,0.6662389636039734,0.16545431315898895,0.41690486669540405,0.3090210556983948,1.0,0.3598145842552185,0.1938578486442566,0.385026752948761,0.244624063372612,0.20430970191955566
weight,0.14912216365337372,0.20223349332809448,0.2190711498260498,0.15234823524951935,0.2379339188337326,0.1891583651304245,0.2684006989002228,0.19469641149044037,0.1901320368051529,0.09508898854255676,0.24245426058769226,0.14912216365337372,0.1432071179151535,0.22810639441013336,0.19172748923301697,0.3195142447948456,0.18111222982406616
