,when,was,ambulatory,care,pharmacy,approved,as,its,own,certification,?
in,0.4431333839893341,0.45514053106307983,0.2798520624637604,0.14557574689388275,0.22082467377185822,0.23346227407455444,0.3887844979763031,0.3793783485889435,0.31893372535705566,0.20362921059131622,0.20430970191955566
2011,0.07140792906284332,-0.022202642634510994,0.18223980069160461,-0.018077613785862923,0.09144299477338791,0.08360719680786133,0.10110048204660416,0.01314215175807476,0.02936835214495659,0.1851540207862854,0.005212190095335245
the,0.5091903209686279,0.48711544275283813,0.29588788747787476,0.1663842648267746,0.1938311904668808,0.30207422375679016,0.48381632566452026,0.559237003326416,0.334675133228302,0.22407793998718262,0.22068053483963013
board,0.2081456184387207,0.20878413319587708,0.20859570801258087,0.16108974814414978,0.08602525293827057,0.19380652904510498,0.16183848679065704,0.18509723246097565,0.1454804688692093,0.2590336203575134,0.1261475533246994
of,0.3757161796092987,0.4069072902202606,0.28195393085479736,0.20533065497875214,0.18226979672908783,0.3106788992881775,0.3886612355709076,0.48690423369407654,0.3269667625427246,0.23614463210105896,0.1826142966747284
pharmaceutical,0.1789206862449646,0.17267727851867676,0.3027089238166809,0.2184251993894577,0.7577381134033203,0.21854205429553986,0.16804049909114838,0.1711685061454773,0.10053457319736481,0.2406512051820755,0.11432135105133057
specialties,0.14120200276374817,0.1465916633605957,0.4205927550792694,0.38542407751083374,0.35933345556259155,0.23361656069755554,0.27013787627220154,0.19670557975769043,0.25759607553482056,0.4072920083999634,0.2691631317138672
approved,0.23851343989372253,0.27298814058303833,0.2090562880039215,0.20858407020568848,0.2444618046283722,1.0,0.2300160974264145,0.23809164762496948,0.2740545868873596,0.32354187965393066,0.25914356112480164
ambulatory,0.2748124599456787,0.19928742945194244,1.0,0.32014933228492737,0.31494998931884766,0.2090562880039215,0.20203964412212372,0.1613936573266983,0.2068479359149933,0.30310869216918945,0.11000050604343414
care,0.23263652622699738,0.18258117139339447,0.32014933228492737,1.0000001192092896,0.2922910749912262,0.20858407020568848,0.24254681169986725,0.16047397255897522,0.28617119789123535,0.23758378624916077,0.24279968440532684
pharmacy,0.21041381359100342,0.17978692054748535,0.31494998931884766,0.2922910749912262,1.0,0.2444618046283722,0.16661235690116882,0.18630439043045044,0.15463027358055115,0.27049046754837036,0.1355620175600052
practice,0.24361737072467804,0.21849672496318817,0.24767807126045227,0.2912295460700989,0.2685104310512543,0.2554093301296234,0.22643209993839264,0.15889233350753784,0.27508658170700073,0.2445409595966339,0.21386858820915222
as,0.4437963366508484,0.3677520453929901,0.20203964412212372,0.24254681169986725,0.16661235690116882,0.2300160974264145,1.0,0.31874480843544006,0.26007014513015747,0.1830512434244156,0.27043893933296204
a,0.44397395849227905,0.4508470594882965,0.28913846611976624,0.19697006046772003,0.21975059807300568,0.272470086812973,0.39550232887268066,0.4424409866333008,0.3093770742416382,0.24446265399456024,0.23916715383529663
separate,0.2902664840221405,0.1980229765176773,0.26764652132987976,0.2065652757883072,0.11395314335823059,0.2613128125667572,0.28611117601394653,0.26345041394233704,0.3713925778865814,0.19785545766353607,0.16835719347000122
board,0.2081456184387207,0.20878413319587708,0.20859570801258087,0.16108974814414978,0.08602525293827057,0.19380652904510498,0.16183848679065704,0.18509723246097565,0.1454804688692093,0.2590336203575134,0.1261475533246994
certification,0.1536160111427307,0.1895538568496704,0.30310869216918945,0.23758378624916077,0.27049046754837036,0.32354187965393066,0.1830512434244156,0.20145052671432495,0.13447724282741547,1.0,0.2274744212627411
.,0.475719153881073,0.40146201848983765,0.23750236630439758,0.22417111694812775,0.23916830122470856,0.29869166016578674,0.515582263469696,0.3566088080406189,0.3061371147632599,0.2123774290084839,0.4130953550338745
