,how,many,residents,does,the,greater,metropolitan,area,have,?
its,0.22449488937854767,0.3319723308086395,0.2942644953727722,0.33437713980674744,0.559237003326416,0.2608910799026489,0.2519954442977905,0.31524658203125,0.3852778375148773,0.15103481709957123
population,0.1651063710451126,0.2201971709728241,0.45314475893974304,0.14702445268630981,0.32044094800949097,0.26071324944496155,0.35963642597198486,0.49808502197265625,0.19700278341770172,0.14449454843997955
is,0.22544461488723755,0.2649032473564148,0.226833775639534,0.4403602182865143,0.5823672413825989,0.21338969469070435,0.20138509571552277,0.29283958673477173,0.3613572418689728,0.22961433231830597
estimated,0.21406520903110504,0.25811848044395447,0.3377112150192261,0.12240004539489746,0.29184040427207947,0.21372438967227936,0.259848028421402,0.38121527433395386,0.2658007740974426,0.18149758875370026
at,0.2154216170310974,0.2716965675354004,0.21241338551044464,0.17465277016162872,0.457212895154953,0.17670537531375885,0.21967443823814392,0.25113749504089355,0.29004791378974915,0.21978627145290375
1.740,0.07919737696647644,0.052587371319532394,0.17713133990764618,0.05869097262620926,0.13006961345672607,0.05415312945842743,0.10194197297096252,0.04793090000748634,0.12381912022829056,0.17895950376987457
million,0.21114659309387207,0.3520967364311218,0.2603285312652588,0.10680846869945526,0.277012437582016,0.131148561835289,0.264689564704895,0.20709379017353058,0.28469452261924744,0.23092924058437347
residents,0.1510731428861618,0.28597086668014526,0.9999998807907104,0.1642918884754181,0.28274044394493103,0.1642608791589737,0.31381869316101074,0.39504101872444153,0.2714991271495819,0.09602975845336914
within,0.24755704402923584,0.2613624930381775,0.24725818634033203,0.29514265060424805,0.39827480912208557,0.31309908628463745,0.24101825058460236,0.34595879912376404,0.32346946001052856,0.1870293766260147
a,0.29312583804130554,0.2872205972671509,0.2285219132900238,0.38201746344566345,0.5829201340675354,0.20286329090595245,0.1711602658033371,0.2782127559185028,0.338716596364975,0.23916715383529663
greater,0.11442330479621887,0.22031435370445251,0.1642608791589737,0.20582076907157898,0.2814446687698364,1.0000001192092896,0.31987830996513367,0.3258145749568939,0.23225228488445282,0.09723397344350815
metropolitan,0.08906085044145584,0.15455171465873718,0.31381869316101074,0.20880821347236633,0.24378018081188202,0.31987830996513367,1.0,0.4260755181312561,0.1485944390296936,0.1861504763364792
area,0.17030490934848785,0.2414858043193817,0.39504101872444153,0.13779224455356598,0.37834644317626953,0.3258145749568939,0.4260755181312561,1.0,0.26105478405952454,0.12640461325645447
of,0.2480744868516922,0.37253960967063904,0.28795862197875977,0.3119818866252899,0.733189046382904,0.34470728039741516,0.2863157391548157,0.3409860134124756,0.3802283704280853,0.1826142966747284
2.666,0.19196148216724396,0.09570005536079407,-0.07223670929670334,0.04021430015563965,-0.00478667626157403,0.026090029627084732,-0.02968936413526535,-0.12380308657884598,0.07419133186340332,0.11242707818746567
million,0.21114659309387207,0.3520967364311218,0.2603285312652588,0.10680846869945526,0.277012437582016,0.131148561835289,0.264689564704895,0.20709379017353058,0.28469452261924744,0.23092924058437347
residents,0.1510731428861618,0.28597086668014526,0.9999998807907104,0.1642918884754181,0.28274044394493103,0.1642608791589737,0.31381869316101074,0.39504101872444153,0.2714991271495819,0.09602975845336914
",",0.22659391164779663,0.40610817074775696,0.2648939788341522,0.28617382049560547,0.4933079481124878,0.25035545229911804,0.2417047619819641,0.2664283812046051,0.3541618287563324,0.31091248989105225
which,0.4852597713470459,0.5168171525001526,0.21712756156921387,0.39111801981925964,0.6521818041801453,0.3080105781555176,0.24593842029571533,0.3276861011981964,0.49652695655822754,0.25814583897590637
makes,0.3351230025291443,0.2597222924232483,0.10068687051534653,0.5149580240249634,0.3029823303222656,0.16741415858268738,0.14416411519050598,0.16977764666080475,0.28616786003112793,0.22145044803619385
warsaw,0.13025455176830292,0.1653265357017517,0.13838742673397064,0.16921466588974,0.23137180507183075,0.17170822620391846,0.23090645670890808,0.19728557765483856,0.14431846141815186,0.09769917279481888
the,0.33890387415885925,0.4335206151008606,0.28274044394493103,0.35928019881248474,1.0,0.2814446687698364,0.24378018081188202,0.37834644317626953,0.40389683842658997,0.22068053483963013
9th,0.17705106735229492,0.07257845997810364,-0.0019162124954164028,0.15875938534736633,0.15220077335834503,0.07452007383108139,-0.06543052196502686,0.0527387335896492,0.11177493631839752,0.06775698810815811
most-populous,0.11824274808168411,0.33379411697387695,0.45587098598480225,0.15716955065727234,0.3898422122001648,0.2984275221824646,0.4056040644645691,0.4568040668964386,0.25382858514785767,0.20652742683887482
capital,0.10716020315885544,0.13652990758419037,0.28001168370246887,0.08225840330123901,0.3049491047859192,0.2456800490617752,0.2678094208240509,0.31435662508010864,0.07304227352142334,0.0907452180981636
city,0.12024712562561035,0.21416836977005005,0.41451045870780945,0.10004369169473648,0.35769423842430115,0.2666052281856537,0.45149746537208557,0.41959723830223083,0.154191792011261,0.13423943519592285
in,0.2601168751716614,0.41474202275276184,0.27393898367881775,0.214483380317688,0.6662389636039734,0.26627716422080994,0.27762067317962646,0.33632898330688477,0.36843645572662354,0.20430970191955566
the,0.33890387415885925,0.4335206151008606,0.28274044394493103,0.35928019881248474,1.0,0.2814446687698364,0.24378018081188202,0.37834644317626953,0.40389683842658997,0.22068053483963013
european,0.123964823782444,0.24996337294578552,0.1761591136455536,0.11488570272922516,0.3423081040382385,0.20186972618103027,0.19802221655845642,0.1983111947774887,0.19048169255256653,0.14560863375663757
union,0.1126161515712738,0.18863573670387268,0.21079520881175995,0.10697764903306961,0.24421639740467072,0.23832298815250397,0.2049379199743271,0.14925482869148254,0.16471676528453827,0.07797172665596008
.,0.3287222981452942,0.3974229395389557,0.2494935691356659,0.3022993505001068,0.5934505462646484,0.20152446627616882,0.21727578341960907,0.2760866582393646,0.41614407300949097,0.4130953550338745
