,what,did,some,of,the,islamist,groups,supported,by,the,west,later,become,to,be,seen,as,?
during,0.24137552082538605,0.30679523944854736,0.2788774073123932,0.3869180977344513,0.4838213622570038,0.2468271404504776,0.23453179001808167,0.25118115544319153,0.3220438063144684,0.4838213622570038,0.23221606016159058,0.4405536353588104,0.2473139762878418,0.2828781306743622,0.24990400671958923,0.25113341212272644,0.29671990871429443,0.1325719803571701
the,0.42745697498321533,0.34736719727516174,0.4566698372364044,0.733189046382904,1.0,0.2459319531917572,0.27790749073028564,0.27276676893234253,0.4408751428127289,1.0,0.32918402552604675,0.4060266613960266,0.31731709837913513,0.535392165184021,0.4248143136501312,0.3442007005214691,0.48381632566452026,0.22068053483963013
1970s,-0.020239217206835747,0.08396200090646744,0.10716596990823746,0.060115184634923935,0.004102230537682772,0.09076283872127533,-0.038491521030664444,0.08137891441583633,-0.06383054703474045,0.004102230537682772,-0.05053737759590149,0.016011977568268776,0.08382399380207062,0.06756533682346344,0.0107100335881114,0.10406403988599777,0.05110866576433182,0.03861190751194954
and,0.31309178471565247,0.34479495882987976,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.19843706488609314,0.29783302545547485,0.3113573491573334,0.4289871156215668,0.5171257257461548,0.273951917886734,0.4216292202472687,0.3416603207588196,0.48971283435821533,0.41766801476478577,0.2522655725479126,0.49487000703811646,0.20544172823429108
sometimes,0.34229418635368347,0.28058236837387085,0.5743314027786255,0.296434611082077,0.35816407203674316,0.18701855838298798,0.2792103588581085,0.09360780566930771,0.22042182087898254,0.35816407203674316,0.12774071097373962,0.27345630526542664,0.22968845069408417,0.4055429697036743,0.40308091044425964,0.36319607496261597,0.3959874212741852,0.1751544177532196
later,0.2517229914665222,0.38386887311935425,0.35904672741889954,0.3458743393421173,0.4060266613960266,0.2074010819196701,0.16883455216884613,0.2931463122367859,0.3747883439064026,0.4060266613960266,0.21345829963684082,1.0,0.312420517206192,0.393297016620636,0.3267292380332947,0.1159261092543602,0.38482072949409485,0.1417175978422165
",",0.3087472915649414,0.3015086054801941,0.42400437593460083,0.4946078956127167,0.4933079481124878,0.18959079682826996,0.2671695053577423,0.2703314423561096,0.3680937886238098,0.4933079481124878,0.28857502341270447,0.35016918182373047,0.29676204919815063,0.44245919585227966,0.39254459738731384,0.28642043471336365,0.48816442489624023,0.31091248989105225
western,0.2454150915145874,0.15773870050907135,0.26199302077293396,0.32974064350128174,0.37920868396759033,0.19424201548099518,0.2193426489830017,0.09249088913202286,0.20149661600589752,0.37920868396759033,0.5031110048294067,0.2249227911233902,0.16510432958602905,0.18838192522525787,0.15455764532089233,0.21078090369701385,0.23040111362934113,0.17439141869544983
and,0.31309178471565247,0.34479495882987976,0.5337774157524109,0.5116966962814331,0.5171257257461548,0.19843706488609314,0.29783302545547485,0.3113573491573334,0.4289871156215668,0.5171257257461548,0.273951917886734,0.4216292202472687,0.3416603207588196,0.48971283435821533,0.41766801476478577,0.2522655725479126,0.49487000703811646,0.20544172823429108
pro-western,0.26026803255081177,0.16922079026699066,0.26059862971305847,0.36292025446891785,0.39345043897628784,0.2406150847673416,0.23515909910202026,0.13571536540985107,0.18828348815441132,0.39345043897628784,0.41309934854507446,0.22503867745399475,0.223199263215065,0.2021043300628662,0.16448184847831726,0.2250124216079712,0.22292545437812805,0.2474077045917511
