,how,tall,was,the,tower,'s,ultimate,height,?
the,0.33890387415885925,0.1970994472503662,0.48711544275283813,1.0,0.2398453801870346,-0.01540423184633255,0.293570339679718,0.2694929540157318,0.22068053483963013
tower,0.10226675122976303,0.41551387310028076,0.18529865145683289,0.2398453801870346,1.0,-0.06583263725042343,0.03996903821825981,0.26257744431495667,0.10395228117704391
was,0.16678167879581451,0.19623446464538574,1.0000001192092896,0.48711544275283813,0.18529865145683289,0.008974763564765453,0.21772019565105438,0.1334953010082245,0.18412111699581146
erected,0.11429601162672043,0.3513585925102234,0.2669670879840851,0.23663264513015747,0.28721264004707336,-0.07482609897851944,0.07930388301610947,0.2707613706588745,0.08063657581806183
to,0.44169697165489197,0.19570758938789368,0.3636345863342285,0.535392165184021,0.16907963156700134,0.03782717138528824,0.25435683131217957,0.18482448160648346,0.29463258385658264
its,0.22449488937854767,0.18816880881786346,0.3518870174884796,0.559237003326416,0.1954134702682495,0.03202139586210251,0.17219123244285583,0.2827153205871582,0.15103481709957123
full,0.24803219735622406,0.1816221922636032,0.1574539840221405,0.2988807260990143,0.10716821253299713,0.03059709072113037,0.22550734877586365,0.16139011085033417,0.168479785323143
187,0.048681069165468216,0.0031075894366949797,-0.0967063307762146,-0.008254610933363438,0.040058434009552,0.05164431780576706,-0.005726090632379055,-0.040610965341329575,0.0019458741880953312
feet,0.2148146629333496,0.5966626405715942,0.16205810010433197,0.24407297372817993,0.28460225462913513,-0.013876411132514477,0.043446674942970276,0.49547889828681946,0.14855161309242249
(,0.1676948219537735,0.15307529270648956,0.2980341613292694,0.33289089798927307,0.19051307439804077,0.0012731997994706035,0.19871936738491058,0.15773867070674896,0.40561532974243164
57,0.03440191596746445,-0.025577152147889137,-0.018628351390361786,-0.08058522641658783,-0.04442232847213745,0.020481398329138756,0.05011391639709473,0.022261904552578926,0.046542417258024216
m,0.17182649672031403,0.3483043909072876,0.19339345395565033,0.15156042575836182,0.2071608453989029,0.06595824658870697,-0.017292171716690063,0.314020574092865,0.2618667185306549
),0.17939934134483337,0.13932141661643982,0.3267642855644226,0.3456730246543884,0.18986791372299194,0.021107977256178856,0.20380131900310516,0.18131664395332336,0.42300865054130554
.,0.3287222981452942,0.2264290302991867,0.40146201848983765,0.5934505462646484,0.21111081540584564,-0.003708066651597619,0.1793738454580307,0.2575502097606659,0.4130953550338745
