,who,did,the,broncos,play,in,the,last,week,of,the,regular,season,?
osweiler,0.27503159642219543,0.21772395074367523,0.24842987954616547,0.28366371989250183,0.23583880066871643,0.3218567967414856,0.24842987954616547,0.18067331612110138,0.16928425431251526,0.20369164645671844,0.24842987954616547,0.191048726439476,0.16939762234687805,0.24945171177387238
was,0.3318818509578705,0.41399896144866943,0.48711544275283813,0.23574475944042206,0.23784595727920532,0.45514053106307983,0.48711544275283813,0.32424551248550415,0.24251437187194824,0.4069072902202606,0.48711544275283813,0.15137939155101776,0.24797968566417694,0.18412111699581146
injured,0.29879260063171387,0.24892206490039825,0.22383859753608704,0.3134211301803589,0.1902332305908203,0.24870866537094116,0.22383859753608704,0.1676417589187622,0.2862960994243622,0.19345925748348236,0.22383859753608704,0.17620393633842468,0.27514639496803284,0.12394905835390091
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2231253683567047,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.3187089264392853,0.4946078956127167,0.4933079481124878,0.2336544692516327,0.2232367992401123,0.31091248989105225
however,0.4020770490169525,0.5603718757629395,0.49814513325691223,0.18535612523555756,0.27193617820739746,0.3982149362564087,0.49814513325691223,0.343666136264801,0.32335108518600464,0.3800618350505829,0.49814513325691223,0.34662318229675293,0.2702409029006958,0.2152075469493866
",",0.3365725874900818,0.3015086054801941,0.4933079481124878,0.2558487057685852,0.2231253683567047,0.5201468467712402,0.4933079481124878,0.29026782512664795,0.3187089264392853,0.4946078956127167,0.4933079481124878,0.2336544692516327,0.2232367992401123,0.31091248989105225
leading,0.25606170296669006,0.20311816036701202,0.3809107840061188,0.24829493463039398,0.2027329057455063,0.33273574709892273,0.3809107840061188,0.21525533497333527,0.22400985658168793,0.29180192947387695,0.3809107840061188,0.23897695541381836,0.1614891141653061,0.1360926628112793
to,0.42656609416007996,0.4452643394470215,0.535392165184021,0.23674264550209045,0.272149920463562,0.45010748505592346,0.535392165184021,0.30156898498535156,0.27498435974121094,0.41548454761505127,0.535392165184021,0.30861178040504456,0.22382742166519165,0.29463258385658264
manning,0.33436715602874756,0.22743284702301025,0.27058160305023193,0.4807402193546295,0.2523941099643707,0.22345924377441406,0.27058160305023193,0.1576220989227295,0.305490642786026,0.20024974644184113,0.27058160305023193,0.23367728292942047,0.33529460430145264,0.15856626629829407
's,0.05599616840481758,0.05069678649306297,-0.01540423184633255,-0.037254199385643005,0.08983290195465088,-0.037580832839012146,-0.01540423184633255,0.03682802617549896,-0.04274718090891838,-0.03817026689648628,-0.01540423184633255,0.04493177309632301,0.06624794006347656,-0.023395681753754616
return,0.14819499850273132,0.21141748130321503,0.2543797492980957,0.16814765334129333,0.21261949837207794,0.1852470338344574,0.2543797492980957,0.22744311392307281,0.20239290595054626,0.20821265876293182,0.2543797492980957,0.17816661298274994,0.21203108131885529,0.14655634760856628
during,0.30551859736442566,0.30679523944854736,0.4838213622570038,0.2564375102519989,0.16004027426242828,0.4627237319946289,0.4838213622570038,0.3807850182056427,0.3375038504600525,0.3869180977344513,0.4838213622570038,0.25847193598747253,0.30325618386268616,0.1325719803571701
the,0.3733934462070465,0.34736719727516174,1.0,0.25985947251319885,0.24793598055839539,0.6662389636039734,1.0,0.3698786795139313,0.28402599692344666,0.733189046382904,1.0,0.3214086890220642,0.2507155239582062,0.22068053483963013
week,0.23591622710227966,0.2459598332643509,0.28402599692344666,0.302139014005661,0.21286006271839142,0.2674444317817688,0.28402599692344666,0.3663427233695984,0.9999998807907104,0.17998629808425903,0.28402599692344666,0.30205249786376953,0.3706488311290741,0.25105318427085876
17,0.05025482177734375,0.07127774506807327,0.10537172853946686,0.12987062335014343,0.09395641088485718,0.10391845554113388,0.10537172853946686,0.07501407712697983,0.0483018234372139,0.12138522416353226,0.10537172853946686,0.08269432187080383,0.16613055765628815,0.17603135108947754
regular,0.2929244339466095,0.26963475346565247,0.3214086890220642,0.26932692527770996,0.28230369091033936,0.23172755539417267,0.3214086890220642,0.21218666434288025,0.30205249786376953,0.22916868329048157,0.3214086890220642,1.0,0.4002528786659241,0.18334713578224182
season,0.13809308409690857,0.19368280470371246,0.2507155239582062,0.3664494454860687,0.32110530138015747,0.2184021919965744,0.2507155239582062,0.24131526052951813,0.3706488311290741,0.1598338931798935,0.2507155239582062,0.4002528786659241,1.0,0.16793298721313477
