,what,sea,bordered,genghis,khan,'s,empire,to,the,east,when,he,died,?
at,0.2838611304759979,0.21252158284187317,0.17579691112041473,0.17962470650672913,0.15931449830532074,-0.08481216430664062,0.18196320533752441,0.36524343490600586,0.457212895154953,0.25603312253952026,0.38876327872276306,0.3280475437641144,0.27932441234588623,0.21978627145290375
the,0.42745697498321533,0.30363768339157104,0.31512969732284546,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.32532164454460144,0.535392165184021,1.0,0.3383176326751709,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
time,0.36319252848625183,0.13546739518642426,0.13398589193820953,0.2322276532649994,0.15561453998088837,0.01301188487559557,0.2678830027580261,0.3679993152618408,0.43061500787734985,0.1498870700597763,0.4363728165626526,0.37626320123672485,0.22270911931991577,0.27391523122787476
of,0.33290785551071167,0.2707739472389221,0.3377665579319,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.30522286891937256,0.41548454761505127,0.733189046382904,0.314786434173584,0.3757161796092987,0.38706058263778687,0.25637882947921753,0.1826142966747284
his,0.26976513862609863,0.12100145220756531,0.1258130967617035,0.3744826912879944,0.26570460200309753,0.047556519508361816,0.22914105653762817,0.3715193271636963,0.4394008219242096,0.17724090814590454,0.37120407819747925,0.7171558737754822,0.38025936484336853,0.18075084686279297
death,0.2267695665359497,0.19130955636501312,0.10914727300405502,0.28730303049087524,0.14168724417686462,0.07207932323217392,0.15863066911697388,0.19568277895450592,0.21438048779964447,0.1293613314628601,0.21254116296768188,0.2806733548641205,0.49539607763290405,0.21149799227714539
",",0.3087472915649414,0.30078184604644775,0.3059317469596863,0.2891939878463745,0.19700400531291962,-0.0016132977325469255,0.27646857500076294,0.44245919585227966,0.4933079481124878,0.319791704416275,0.36674630641937256,0.40251094102859497,0.36026471853256226,0.31091248989105225
the,0.42745697498321533,0.30363768339157104,0.31512969732284546,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.32532164454460144,0.535392165184021,1.0,0.3383176326751709,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
mongol,0.15870186686515808,0.19492629170417786,0.1340743601322174,0.6244974732398987,0.5576101541519165,-0.05976467952132225,0.45230501890182495,0.2125127911567688,0.2924198508262634,0.20622029900550842,0.17596986889839172,0.17718079686164856,0.22795066237449646,0.12849251925945282
empire,0.21723191440105438,0.2750125825405121,0.1955622136592865,0.42237505316734314,0.38083162903785706,-0.011798231862485409,1.0000001192092896,0.21448755264282227,0.32532164454460144,0.30420103669166565,0.18422111868858337,0.22260785102844238,0.19949258863925934,0.14909450709819794
stretched,0.2521561086177826,0.26416918635368347,0.36280396580696106,0.19547493755817413,0.08600542694330215,0.05445682257413864,0.2798643410205841,0.27465128898620605,0.3302689790725708,0.3018758296966553,0.31579330563545227,0.20501339435577393,0.1904889941215515,0.13039647042751312
from,0.2737620174884796,0.19167837500572205,0.22276140749454498,0.19071364402770996,0.10581372678279877,-0.01936490088701248,0.19878821074962616,0.4069952368736267,0.40150508284568787,0.27024149894714355,0.405669629573822,0.3314535319805145,0.2637850046157837,0.19969791173934937
the,0.42745697498321533,0.30363768339157104,0.31512969732284546,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.32532164454460144,0.535392165184021,1.0,0.3383176326751709,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
caspian,0.13380584120750427,0.49073120951652527,0.3584357798099518,0.4340914487838745,0.3444531559944153,0.025569913908839226,0.26964113116264343,0.2237672507762909,0.30350741744041443,0.3616372346878052,0.1873561590909958,0.09140366315841675,0.18319281935691833,0.10965590178966522
sea,0.19525039196014404,1.0,0.3541077971458435,0.24159927666187286,0.14943081140518188,0.05089695379137993,0.2750125825405121,0.2749888300895691,0.30363768339157104,0.36872392892837524,0.20553374290466309,0.1586805135011673,0.17289069294929504,0.15551945567131042
to,0.455847829580307,0.2749888300895691,0.21746252477169037,0.2294713407754898,0.18221943080425262,0.03782717138528824,0.21448755264282227,1.0,0.535392165184021,0.24717837572097778,0.5423505902290344,0.385390967130661,0.15773509442806244,0.29463258385658264
the,0.42745697498321533,0.30363768339157104,0.31512969732284546,0.3448939025402069,0.21067845821380615,-0.01540423184633255,0.32532164454460144,0.535392165184021,1.0,0.3383176326751709,0.5091903209686279,0.4571082592010498,0.18710990250110626,0.22068053483963013
sea,0.19525039196014404,1.0,0.3541077971458435,0.24159927666187286,0.14943081140518188,0.05089695379137993,0.2750125825405121,0.2749888300895691,0.30363768339157104,0.36872392892837524,0.20553374290466309,0.1586805135011673,0.17289069294929504,0.15551945567131042
of,0.33290785551071167,0.2707739472389221,0.3377665579319,0.2938849925994873,0.17124508321285248,-0.03817026689648628,0.30522286891937256,0.41548454761505127,0.733189046382904,0.314786434173584,0.3757161796092987,0.38706058263778687,0.25637882947921753,0.1826142966747284
japan,0.1865565925836563,0.19555531442165375,0.1932867169380188,0.29811251163482666,0.2093915492296219,-0.0463767908513546,0.25211048126220703,0.24116237461566925,0.22735914587974548,0.20754046738147736,0.16531987488269806,0.2216217964887619,0.1615956872701645,0.1312343180179596
.,0.3567904531955719,0.2680719196796417,0.26018550992012024,0.25373268127441406,0.19819748401641846,-0.003708066651597619,0.2811720371246338,0.4645031690597534,0.5934505462646484,0.28351864218711853,0.475719153881073,0.38061028718948364,0.24093139171600342,0.4130953550338745
