,which,doctor,who-related,song,reached,number,one,in,the,uk,?
in,0.4840516746044159,0.25567495822906494,0.25770121812820435,0.22749996185302734,0.24389809370040894,0.3024539053440094,0.4129433035850525,1.0,0.6662389636039734,0.2261405885219574,0.20430970191955566
1988,-0.08652377128601074,-0.0009538475424051285,0.14209915697574615,0.08711006492376328,0.09432976692914963,-0.04010222479701042,-0.045343734323978424,0.004595467355102301,-0.009787061251699924,0.05014772713184357,0.08449683338403702
the,0.6521818041801453,0.2820442318916321,0.31703755259513855,0.300855815410614,0.29860952496528625,0.35145696997642517,0.5514441132545471,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
band,0.21879728138446808,0.17680174112319946,0.14413689076900482,0.48077964782714844,0.194508895277977,0.15924343466758728,0.19255365431308746,0.2001747488975525,0.25564542412757874,0.2515133023262024,0.1476995348930359
the,0.6521818041801453,0.2820442318916321,0.31703755259513855,0.300855815410614,0.29860952496528625,0.35145696997642517,0.5514441132545471,0.6662389636039734,1.0,0.2143084555864334,0.22068053483963013
justified,0.24785077571868896,0.16948449611663818,0.30654609203338623,0.2101781964302063,0.28105148673057556,0.24873505532741547,0.30249330401420593,0.17641499638557434,0.20756277441978455,0.17112207412719727,0.38761505484580994
ancients,0.3000074326992035,0.09256474673748016,0.2023572474718094,0.1433948576450348,0.08502700924873352,0.20559261739253998,0.258426308631897,0.22345533967018127,0.28229182958602905,0.19784913957118988,0.1411297470331192
of,0.5011631846427917,0.16895952820777893,0.3248978853225708,0.18425366282463074,0.18604008853435516,0.2778518795967102,0.4999135136604309,0.5696388483047485,0.733189046382904,0.21513383090496063,0.1826142966747284
mu,0.22946704924106598,0.10957446694374084,0.14310528337955475,0.2382827252149582,0.0828678086400032,0.09178829193115234,0.155207097530365,0.12113121896982193,0.17463549971580505,0.011585414409637451,0.23880930244922638
mu,0.22946704924106598,0.10957446694374084,0.14310528337955475,0.2382827252149582,0.0828678086400032,0.09178829193115234,0.155207097530365,0.12113121896982193,0.17463549971580505,0.011585414409637451,0.23880930244922638
(,0.2589828372001648,0.1570640504360199,0.27370327711105347,0.2101334184408188,0.20625555515289307,0.16158060729503632,0.2922096848487854,0.3087427020072937,0.33289089798927307,0.19727066159248352,0.40561532974243164
later,0.39698365330696106,0.21110832691192627,0.21453620493412018,0.2182619571685791,0.2275400459766388,0.18204212188720703,0.3542412519454956,0.40857815742492676,0.4060266613960266,0.13405103981494904,0.1417175978422165
