,what,could,the,supplemental,nutrition,assistance,program,purchase,?
conservative,0.1886831820011139,0.13236631453037262,0.19218477606773376,0.19271118938922882,0.21736963093280792,0.182512104511261,0.16700772941112518,0.17362765967845917,0.1597563922405243
mp,0.14097881317138672,0.14246529340744019,0.16571511328220367,0.053079262375831604,0.0685930922627449,0.1366237848997116,0.0943097248673439,0.14860771596431732,0.12648896872997284
alec,0.09767507016658783,0.12048505991697311,0.18049699068069458,0.13232338428497314,0.09529557824134827,0.1496584266424179,0.16167715191841125,0.1804334968328476,0.11408696323633194
shelbrooke,0.2311592549085617,0.2602657675743103,0.2947694659233093,0.22093060612678528,0.15339206159114838,0.18106065690517426,0.2677707374095917,0.3492625653743744,0.21218322217464447
was,0.22111038863658905,0.39896807074546814,0.48711544275283813,0.18326066434383392,0.13573236763477325,0.1815940886735916,0.1849333792924881,0.20900961756706238,0.18412111699581146
proposing,0.4465944766998291,0.4069580137729645,0.24575701355934143,0.2093193382024765,0.12304877489805222,0.2139849215745926,0.20137391984462738,0.17852143943309784,0.40302783250808716
the,0.42745697498321533,0.35393214225769043,1.0,0.26829391717910767,0.23902562260627747,0.19771957397460938,0.22986935079097748,0.242343470454216,0.22068053483963013
payments,0.23578545451164246,0.2955992519855499,0.24524469673633575,0.25195562839508057,0.21254055202007294,0.28200092911720276,0.2239094376564026,0.4726279377937317,0.1551275998353958
of,0.33290785551071167,0.29043012857437134,0.733189046382904,0.26677078008651733,0.2688787281513214,0.17943856120109558,0.17376001179218292,0.21814467012882233,0.1826142966747284
benefits,0.26291319727897644,0.3437507450580597,0.20434671640396118,0.3210730254650116,0.41520607471466064,0.358835905790329,0.2646506726741791,0.3001723885536194,0.25678688287734985
and,0.31309178471565247,0.3385082483291626,0.5171257257461548,0.30315637588500977,0.27281224727630615,0.2802697718143463,0.24895258247852325,0.1929796040058136,0.20544172823429108
tax,0.21278929710388184,0.23617878556251526,0.19507044553756714,0.22373831272125244,0.2729778587818146,0.18108625710010529,0.20611776411533356,0.3828403949737549,0.2097984105348587
credits,0.22962838411331177,0.19313719868659973,0.2230195701122284,0.2004610300064087,0.16096948087215424,0.20375320315361023,0.2756379246711731,0.24745610356330872,0.14918746054172516
on,0.34226128458976746,0.2953716814517975,0.5107308030128479,0.2615683674812317,0.17620907723903656,0.17466092109680176,0.23327119648456573,0.22003348171710968,0.2714994251728058
a,0.3320399522781372,0.3736826181411743,0.5829201340675354,0.27771055698394775,0.19956669211387634,0.22738111019134521,0.2779408395290375,0.24305202066898346,0.23916715383529663
``,0.008517155423760414,0.07445607334375381,0.029072100296616554,-0.006749933119863272,0.056861553341150284,0.0692327618598938,-0.09706025570631027,-0.06579681485891342,0.0685480609536171
welfare,0.24410170316696167,0.22169984877109528,0.26062023639678955,0.2904219329357147,0.4012604057788849,0.3735285997390747,0.2174430787563324,0.20524387061595917,0.17747683823108673
cash,0.1785680204629898,0.19561097025871277,0.20180898904800415,0.20351172983646393,0.148410364985466,0.1632033884525299,0.21502459049224854,0.34319281578063965,0.19009602069854736
card,0.17012731730937958,0.16602708399295807,0.17683711647987366,0.1822301745414734,0.09625480324029922,0.1459687352180481,0.19735969603061676,0.2784816324710846,0.1601250171661377
'',0.08143015950918198,-0.0027024701703339815,0.041273195296525955,0.0011084825964644551,-0.044817328453063965,-0.15369285643100739,0.004721565172076225,0.10507446527481079,0.018684765323996544
",",0.3087472915649414,0.27399855852127075,0.4933079481124878,0.2918967306613922,0.22126208245754242,0.26452720165252686,0.17760658264160156,0.220005065202713,0.31091248989105225
in,0.30808621644973755,0.29357993602752686,0.6662389636039734,0.24907776713371277,0.16635797917842865,0.14137481153011322,0.1994907110929489,0.18969708681106567,0.20430970191955566
the,0.42745697498321533,0.35393214225769043,1.0,0.26829391717910767,0.23902562260627747,0.19771957397460938,0.22986935079097748,0.242343470454216,0.22068053483963013
style,0.2488866001367569,0.16262125968933105,0.2331719547510147,0.1663587987422943,0.1751376837491989,0.14057128131389618,0.14763808250427246,0.11354460567235947,0.19862167537212372
of,0.33290785551071167,0.29043012857437134,0.733189046382904,0.26677078008651733,0.2688787281513214,0.17943856120109558,0.17376001179218292,0.21814467012882233,0.1826142966747284
