,where,was,tracy,wolfson,announcing,from,during,the,super,bowl,50,game,?
the,0.5003893971443176,0.48711544275283813,0.2243674397468567,0.2862018346786499,0.2676989734172821,0.40150508284568787,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.285271555185318,0.22068053483963013
network,0.16325446963310242,0.1994880586862564,0.19941557943820953,0.29285672307014465,0.23275136947631836,0.13736474514007568,0.16544248163700104,0.27187061309814453,0.1618313491344452,0.1329011172056198,-0.10369720309972763,0.2793661653995514,0.17853789031505585
's,0.0007701900321990252,0.008974763564765453,0.07884997129440308,-0.0293861273676157,-0.07058554142713547,-0.01936490088701248,0.011294117197394371,-0.01540423184633255,0.09726737439632416,-0.02838491089642048,-0.01041578408330679,0.07448072731494904,-0.023395681753754616
lead,0.16483327746391296,0.1970783770084381,0.20803309977054596,0.22914092242717743,0.17458204925060272,0.2400083839893341,0.1928889900445938,0.21995973587036133,0.13247919082641602,0.1691603809595108,-0.011630125343799591,0.18853990733623505,0.14552436769008636
broadcast,0.169870987534523,0.24068336188793182,0.22516964375972748,0.25907662510871887,0.3869698941707611,0.1824430525302887,0.24461494386196136,0.2713715434074402,0.1449931412935257,0.18237876892089844,-0.01586120016872883,0.2862359285354614,0.15760008990764618
team,0.24755612015724182,0.13986483216285706,0.14762702584266663,0.2825186252593994,0.22413812577724457,0.21108146011829376,0.18426461517810822,0.22564226388931274,0.23339706659317017,0.20460736751556396,0.07221189886331558,0.3462994396686554,0.11243411153554916
of,0.38066378235816956,0.4069072902202606,0.15498878061771393,0.27931320667266846,0.2686300277709961,0.4249346852302551,0.3869180977344513,0.733189046382904,0.14718765020370483,0.2243070751428604,0.006577443331480026,0.2298848181962967,0.1826142966747284
jim,0.15623456239700317,0.23169779777526855,0.35876357555389404,0.2846110165119171,0.2296900898218155,0.11698455363512039,0.1590706706047058,0.21709053218364716,0.14276659488677979,0.0972542092204094,-0.05183985456824303,0.17186978459358215,0.09886423498392105
nantz,0.11559884250164032,0.21084697544574738,0.39461013674736023,0.408816933631897,0.21029531955718994,0.11004193127155304,0.16068917512893677,0.1839083880186081,0.13554562628269196,0.15807414054870605,-0.09463199228048325,0.1806603968143463,0.09058576822280884
and,0.43859338760375977,0.3740963041782379,0.20381005108356476,0.3250291347503662,0.18568682670593262,0.3601827025413513,0.36462149024009705,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.25192898511886597,0.20544172823429108
phil,0.14342905580997467,0.15864568948745728,0.36492663621902466,0.2861931622028351,0.2533338963985443,0.10413173586130142,0.14380434155464172,0.1382283866405487,0.12924915552139282,0.17986120283603668,-0.0033568900544196367,0.21814431250095367,0.14019250869750977
simms,0.15725000202655792,0.2484177201986313,0.3455914855003357,0.38602977991104126,0.23733273148536682,0.12621887028217316,0.2436198592185974,0.24824075400829315,0.20765414834022522,0.25703784823417664,-0.03267424553632736,0.27701038122177124,0.133713960647583
called,0.3857341706752777,0.33927658200263977,0.10478118807077408,0.19732746481895447,0.1440904587507248,0.2703215777873993,0.354606956243515,0.489897221326828,0.23150385916233063,0.2441064715385437,0.12260814011096954,0.18780666589736938,0.18963319063186646
the,0.5003893971443176,0.48711544275283813,0.2243674397468567,0.2862018346786499,0.2676989734172821,0.40150508284568787,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.285271555185318,0.22068053483963013
contest,0.2593020796775818,0.22809730470180511,0.1448257565498352,0.15248821675777435,0.264910489320755,0.18954509496688843,0.2021019011735916,0.25173527002334595,0.16601161658763885,0.20366907119750977,0.08154749870300293,0.24918979406356812,0.18081821501255035
",",0.3149496018886566,0.45456063747406006,0.2476142942905426,0.3486311137676239,0.2502092719078064,0.39760664105415344,0.3225448727607727,0.4933079481124878,0.22322475910186768,0.1810409277677536,-0.025195008143782616,0.2653886377811432,0.31091248989105225
with,0.4142743945121765,0.27411898970603943,0.14200828969478607,0.26281148195266724,0.2536907494068146,0.26272761821746826,0.28545209765434265,0.4223487675189972,0.1518537551164627,0.18353787064552307,0.08371289074420929,0.19394829869270325,0.2433311939239502
tracy,0.1355733424425125,0.20683248341083527,1.0,0.33104896545410156,0.21035681664943695,0.1577277034521103,0.16942262649536133,0.2243674397468567,0.13884322345256805,0.1753399521112442,-0.07035528868436813,0.22456753253936768,0.1499924659729004
wolfson,0.23231859505176544,0.29762256145477295,0.33104896545410156,1.0,0.3669210970401764,0.221507728099823,0.1640806943178177,0.2862018346786499,0.15199582278728485,0.15026314556598663,-0.06371618062257767,0.3093126118183136,0.2640695571899414
and,0.43859338760375977,0.3740963041782379,0.20381005108356476,0.3250291347503662,0.18568682670593262,0.3601827025413513,0.36462149024009705,0.5171257257461548,0.18368244171142578,0.1698254644870758,0.0032697415444999933,0.25192898511886597,0.20544172823429108
evan,0.1370982527732849,0.2511838674545288,0.37166348099708557,0.3201426565647125,0.2348857969045639,0.13616947829723358,0.14626266062259674,0.16844803094863892,0.13580861687660217,0.14688833057880402,-0.03729528561234474,0.2361893355846405,0.15305468440055847
washburn,0.19197189807891846,0.22940026223659515,0.3613939583301544,0.43144088983535767,0.19086502492427826,0.18281854689121246,0.19044847786426544,0.2330774962902069,0.11922546476125717,0.1728300005197525,-0.040165118873119354,0.13444793224334717,0.18174831569194794
on,0.37630224227905273,0.3909217119216919,0.18140235543251038,0.24386495351791382,0.28268927335739136,0.36926645040512085,0.3347817361354828,0.5107308030128479,0.1569211632013321,0.1334993690252304,0.05590687692165375,0.22967135906219482,0.2714994251728058
the,0.5003893971443176,0.48711544275283813,0.2243674397468567,0.2862018346786499,0.2676989734172821,0.40150508284568787,0.4838213622570038,1.0,0.21959073841571808,0.21576224267482758,0.03602437674999237,0.285271555185318,0.22068053483963013
sidelines,0.26304981112480164,0.1830575168132782,0.2857207953929901,0.3875651955604553,0.3571804463863373,0.13158199191093445,0.2276092916727066,0.27194881439208984,0.2653641700744629,0.27716630697250366,0.018746130168437958,0.30739566683769226,0.29124948382377625
.,0.41390106081962585,0.40146201848983765,0.21984919905662537,0.37914037704467773,0.19765400886535645,0.41536515951156616,0.3485563397407532,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.04325474053621292,0.2581658959388733,0.4130953550338745
