,at,what,point,in,the,day,was,the,couple,married,?
on,0.4806317389011383,0.34226128458976746,0.24115808308124542,0.46853652596473694,0.5107308030128479,0.3332281708717346,0.3909217119216919,0.5107308030128479,0.27639469504356384,0.1440107524394989,0.2714994251728058
the,0.457212895154953,0.42745697498321533,0.3084787130355835,0.6662389636039734,1.0,0.3062323033809662,0.48711544275283813,1.0,0.18582691252231598,0.10720405727624893,0.22068053483963013
evening,0.34640082716941833,0.21739105880260468,0.14554564654827118,0.25771504640579224,0.26509222388267517,0.3926416337490082,0.25208455324172974,0.26509222388267517,0.2526625692844391,0.19401511549949646,0.15503956377506256
of,0.42558613419532776,0.33290785551071167,0.269877165555954,0.5696388483047485,0.733189046382904,0.2934032380580902,0.4069072902202606,0.733189046382904,0.15835928916931152,0.1619977355003357,0.1826142966747284
the,0.457212895154953,0.42745697498321533,0.3084787130355835,0.6662389636039734,1.0,0.3062323033809662,0.48711544275283813,1.0,0.18582691252231598,0.10720405727624893,0.22068053483963013
same,0.32705798745155334,0.3764382302761078,0.21467936038970947,0.3692481815814972,0.4583131968975067,0.2921173870563507,0.27172183990478516,0.4583131968975067,0.21517515182495117,0.17225345969200134,0.22649677097797394
day,0.27667680382728577,0.2990210950374603,0.11718875169754028,0.2671984136104584,0.3062323033809662,1.0,0.24314451217651367,0.3062323033809662,0.15339376032352448,0.13971970975399017,0.2141837179660797
",",0.38314947485923767,0.3087472915649414,0.28971099853515625,0.5201468467712402,0.4933079481124878,0.30821847915649414,0.45456063747406006,0.4933079481124878,0.2916649580001831,0.3299272358417511,0.31091248989105225
the,0.457212895154953,0.42745697498321533,0.3084787130355835,0.6662389636039734,1.0,0.3062323033809662,0.48711544275283813,1.0,0.18582691252231598,0.10720405727624893,0.22068053483963013
couple,0.23493659496307373,0.2139109969139099,0.13233695924282074,0.24837493896484375,0.18582691252231598,0.15339376032352448,0.22558839619159698,0.18582691252231598,1.0,0.5108579993247986,0.27183201909065247
was,0.36707764863967896,0.22111038863658905,0.17757032811641693,0.45514053106307983,0.48711544275283813,0.24314451217651367,1.0000001192092896,0.48711544275283813,0.22558839619159698,0.3079395592212677,0.18412111699581146
married,0.23491297662258148,0.13977670669555664,0.08588491380214691,0.21549314260482788,0.10720405727624893,0.13971970975399017,0.3079395592212677,0.10720405727624893,0.5108579993247986,1.0,0.18062160909175873
by,0.2368064820766449,0.2455483376979828,0.16723552346229553,0.370934396982193,0.4408751428127289,0.14199325442314148,0.4752357602119446,0.4408751428127289,0.191969633102417,0.17593929171562195,0.17966607213020325
bugenhagen,0.2328096479177475,0.16125154495239258,0.21634769439697266,0.30368977785110474,0.3107275068759918,0.17997492849826813,0.27804237604141235,0.3107275068759918,0.2361772060394287,0.23101550340652466,0.18383605778217316
.,0.4549728035926819,0.3567904531955719,0.26374325156211853,0.5591574311256409,0.5934505462646484,0.24232520163059235,0.40146201848983765,0.5934505462646484,0.30736932158470154,0.2611352503299713,0.4130953550338745
